,age,educational-num,capital-gain,capital-loss,hours-per-week,workclass,marital-status,occupation,relationship,race,gender,native-country
38865,21,9,0,0,60,Private,Never-married,Transport-moving,Not-in-family,White,Male,United-States
17212,19,10,0,0,10,Unknown,Never-married,Unknown,Own-child,White,Female,United-States
9312,32,9,0,0,45,Unknown,Married-civ-spouse,Unknown,Husband,Black,Male,United-States
15512,35,13,0,0,40,Private,Divorced,Transport-moving,Not-in-family,White,Male,United-States
23576,21,12,0,0,35,Private,Never-married,Adm-clerical,Own-child,White,Male,United-States
47936,48,13,0,0,70,Self-emp-inc,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States
810,46,15,0,0,90,Private,Never-married,Prof-specialty,Not-in-family,White,Male,United-States
34933,17,7,0,0,15,Private,Never-married,Handlers-cleaners,Own-child,White,Male,United-States
12616,47,9,0,0,40,Unknown,Divorced,Unknown,Unmarried,White,Female,United-States
7801,25,5,0,0,40,Private,Never-married,Adm-clerical,Unmarried,White,Female,Mexico
38169,17,8,0,0,20,Private,Never-married,Handlers-cleaners,Own-child,White,Male,United-States
2547,51,9,2105,0,20,Unknown,Married-civ-spouse,Unknown,Husband,Asian-Pac-Islander,Male,South
29528,44,10,0,0,40,Private,Divorced,Adm-clerical,Other-relative,White,Female,United-States
22581,77,10,0,0,40,Self-emp-not-inc,Never-married,Craft-repair,Not-in-family,White,Male,United-States
32785,30,13,0,0,40,Private,Never-married,Prof-specialty,Other-relative,White,Female,United-States
10019,42,13,0,0,40,Private,Married-civ-spouse,Prof-specialty,Husband,White,Male,Italy
24901,32,12,0,2002,42,Private,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
21931,35,9,0,0,48,Private,Never-married,Machine-op-inspct,Own-child,White,Male,United-States
27636,73,9,0,0,15,Unknown,Widowed,Unknown,Not-in-family,White,Female,United-States
46413,25,10,0,0,40,Private,Never-married,Adm-clerical,Own-child,White,Female,United-States
34180,39,10,2202,0,44,Local-gov,Never-married,Adm-clerical,Not-in-family,White,Female,United-States
32877,47,9,0,0,40,Private,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
21167,34,9,0,0,30,Private,Separated,Exec-managerial,Unmarried,White,Female,United-States
2325,20,10,0,0,35,Private,Never-married,Sales,Other-relative,White,Female,United-States
48193,62,9,0,0,18,Unknown,Married-civ-spouse,Unknown,Husband,White,Male,United-States
