,income_binary
38865,0
17212,0
9312,0
15512,0
23576,0
47936,1
810,0
34933,0
12616,0
7801,0
38169,0
2547,0
29528,0
22581,0
32785,0
10019,1
24901,0
21931,0
27636,0
46413,0
34180,0
32877,1
21167,0
2325,0
48193,0
29271,0
45142,0
25268,0
30970,0
45461,0
28544,0
31756,1
11062,0
21782,0
26678,0
29156,1
14229,1
5587,0
34356,0
30639,0
6739,0
18764,0
35245,0
749,0
48644,0
20427,0
32817,0
15514,0
28175,0
29876,0
7111,0
19620,0
41737,1
26481,0
42021,0
10426,0
33887,0
41096,1
6216,0
44950,1
33984,0
13328,1
30996,1
35674,0
28213,0
29640,1
47193,0
11462,0
44670,1
25536,0
12868,0
39552,0
35137,0
31448,0
14633,0
16255,1
20122,0
40039,0
25993,0
2602,0
18422,0
11884,0
30973,0
9799,0
36465,0
46026,0
33100,0
42207,1
1839,0
39431,0
44857,0
48629,0
24040,0
38738,0
939,0
24332,1
21992,1
38082,0
47289,1
36640,0
21069,0
35570,0
18538,0
22215,0
6075,0
46254,0
4411,0
3021,1
7219,0
16322,0
11597,0
9311,0
4259,0
12412,0
4069,0
48372,0
1706,1
45713,0
46859,1
12909,1
44946,0
18144,0
4147,0
30767,0
22074,1
8561,0
47448,0
26232,0
1860,0
14492,0
19630,1
2402,1
41308,0
35916,1
37426,0
32152,0
37732,1
3079,0
2359,1
10845,1
16437,0
40469,1
3053,0
26951,0
12147,1
45632,1
18781,0
1314,1
47957,0
21322,0
413,0
26923,0
9469,0
36289,1
21772,0
11627,0
32773,1
23968,0
10226,0
38770,0
20654,0
36433,1
3552,0
21566,1
46654,1
46846,0
3086,0
19263,0
33372,0
15374,0
12735,0
48841,1
25336,0
17300,0
31920,0
7475,0
42060,0
11556,0
2038,1
19069,0
47693,1
2392,0
8720,0
7,1
28294,0
25306,0
15108,1
27067,1
18204,0
46623,1
18900,0
9518,0
13081,0
9356,0
22139,0
36697,0
40908,0
13183,0
27835,1
45311,1
3805,1
17800,0
3795,0
15847,1
23653,0
48597,0
17261,0
17640,0
47898,0
18001,0
25758,0
32715,0
30824,0
7387,1
47856,0
6325,0
2979,0
20922,1
32153,0
15780,0
21952,0
25344,1
19807,0
45721,1
35958,0
21528,0
14388,1
40184,0
22434,0
6118,0
37934,0
43732,0
40796,0
22439,0
48145,0
8781,0
36502,0
19422,0
29619,1
31432,0
40235,0
13319,0
15571,0
46119,0
9135,0
16035,0
3794,0
20591,0
42800,0
7970,0
22278,1
23824,1
4978,0
11459,0
12805,1
14458,0
25362,0
5747,0
35465,0
3941,0
48578,1
22610,0
6813,0
11783,0
33173,0
29191,0
2723,0
30162,1
38027,0
46435,0
29094,0
24239,1
33093,0
40500,0
8648,0
32327,1
36719,0
19627,0
12910,0
39346,0
8609,0
5657,0
24884,0
38307,1
44500,0
34216,0
31227,0
15526,0
10220,0
43819,0
11071,0
2425,1
29906,1
37884,0
12129,0
44163,0
36126,0
1830,1
23878,0
16488,0
6069,0
20074,0
44933,1
22752,0
43440,1
37033,0
46247,0
32251,0
15041,1
33716,0
10180,0
11694,0
11229,0
3544,0
44553,1
10664,0
18005,0
32912,1
21849,1
1766,0
44777,0
34472,0
8104,0
12703,1
19672,0
44620,1
28566,0
43851,0
36928,0
39706,0
1472,0
13168,0
9785,1
14905,0
23923,0
37318,1
24876,0
33002,1
34018,0
24975,1
42837,0
34780,0
32928,0
24886,0
30927,0
15426,1
18395,0
46329,0
10589,0
39427,0
31838,0
898,0
17820,0
5729,0
6823,0
23672,0
12865,0
3153,0
11398,0
16718,0
21178,1
40344,1
41360,1
25337,0
23637,0
5684,1
35965,0
26139,0
833,1
22625,1
10973,0
16967,0
15421,0
11601,1
29166,0
5457,0
7501,0
13649,0
41574,0
3362,0
12359,0
33249,0
32586,0
44154,0
23377,0
36243,0
41598,0
47867,0
15067,0
13917,1
12562,0
12052,0
29980,0
1379,1
8222,0
42142,0
33252,1
32808,1
14574,0
18592,1
13663,1
28661,0
16229,0
13364,0
7919,0
22548,0
36501,0
25370,0
16046,0
18728,0
8167,1
48008,1
2069,0
25766,0
12637,0
12409,0
20967,0
26872,0
3081,0
44947,0
30116,0
14128,0
46718,0
1881,0
10191,0
45374,1
48468,0
44586,0
9081,0
47157,0
20869,0
28123,1
19007,1
3777,0
38684,0
25962,0
30122,1
29137,0
34205,0
33617,1
36365,0
43528,1
1523,0
44753,0
28080,1
34786,0
21055,0
13229,1
21181,1
44138,0
15533,0
47768,0
9995,0
29890,0
27138,0
19279,0
42643,0
33142,0
8498,0
1399,1
23104,1
45727,0
9729,0
19005,1
38141,0
11516,0
29406,1
12340,0
34468,0
44830,0
39698,1
34782,0
48271,1
44492,0
11806,0
29860,0
32597,0
15994,0
48416,1
35988,1
13766,0
11953,0
336,0
32732,0
33374,0
40363,0
27078,0
147,1
30815,0
9130,0
43272,0
36846,0
10453,0
29685,0
14191,1
22097,0
24347,0
25864,0
9306,0
21047,0
7648,0
19259,0
45149,1
29177,0
39443,0
32782,0
18841,1
4988,1
9016,0
14684,0
567,0
18938,0
34397,0
24118,1
47142,0
28752,0
47782,0
22611,1
3893,0
37109,0
16554,0
24660,0
9294,0
41569,1
21463,0
28555,0
3948,0
44588,0
9807,0
34170,0
27516,0
22745,0
35272,0
27041,0
9054,0
47492,0
42530,1
10143,0
11369,1
6243,0
15247,0
37675,0
33096,0
42914,0
36007,1
31706,1
4113,0
20262,0
40242,1
23301,0
29390,1
41623,0
15171,0
19943,0
3406,0
3588,0
33706,0
16957,0
24217,0
27777,0
33336,0
18790,1
3458,1
3858,0
19232,0
32314,0
27089,1
48679,0
