audition_id,actor_id,manager_id,film_id,role_id,audition_round,audition_date,withdrawal_requested,experience_years,role_match_score,accent_match,availability_match,line_accuracy_score,special_skill_match,self_tape_quality_score,manager_rating,prior_collaboration,days_before_deadline,callback
AU000001,A001,M01,F01,RL0001,1,2023-07-25,False,4.1,0.180468,0,0,0.721376,0,0.162849,0.504453,0,14,0
AU000002,A001,M01,F02,RL0025,1,2024-02-22,False,4.1,0.373595,1,0,0.481558,1,0.790987,0.461481,1,7,0
AU000003,A001,M01,F03,RL0049,1,2025-05-12,False,4.1,0.244088,0,1,0.267911,1,0.474299,0.740787,0,30,0
AU000004,A001,M01,F04,RL0073,1,2023-11-30,False,4.1,0.0,0,1,0.557942,0,0.329009,0.850367,1,0,0
AU000005,A001,M01,F05,RL0097,1,2024-04-14,False,4.1,0.312216,0,1,0.600623,0,0.574602,0.540014,0,10,0
AU000006,A001,M01,F06,RL0121,1,2025-03-17,False,4.1,0.253473,1,1,0.584517,1,0.737339,0.596037,1,26,1
AU000007,A001,M01,F07,RL0145,1,2023-07-30,False,4.1,0.522448,1,1,0.68584,0,0.683917,0.514751,0,3,0
AU000008,A001,M01,F08,RL0169,1,2024-11-22,False,4.1,0.534417,1,1,0.593979,0,0.547761,0.342792,1,12,1
AU000009,A001,M01,F09,RL0193,1,2024-01-12,False,4.1,0.017197,1,1,0.299167,0,0.013234,0.645339,0,24,0
AU000010,A001,M01,F10,RL0217,1,2022-03-23,False,4.1,0.225674,0,1,0.384913,0,0.640635,0.519482,0,26,0
AU000011,A001,M01,F11,RL0241,1,2025-05-18,False,4.1,0.299125,1,1,0.824069,0,0.698363,0.30799,1,1,0
AU000012,A001,M01,F12,RL0265,1,2025-05-13,False,4.1,0.816869,1,1,0.757437,1,0.597607,0.718769,0,4,1
AU000013,A001,M01,F13,RL0289,1,2021-10-31,False,4.1,0.617143,1,1,0.824667,0,0.395872,0.420944,0,14,0
AU000014,A001,M01,F14,RL0313,1,2025-07-03,False,4.1,0.542472,0,1,0.231828,1,0.573896,0.573051,0,0,1
AU000015,A001,M01,F15,RL0337,1,2021-04-25,False,4.1,0.060677,0,0,0.723528,0,0.603675,0.347412,0,28,0
AU000016,A001,M01,F16,RL0361,1,2022-07-28,False,4.1,0.473607,0,1,0.815296,1,0.665828,0.474842,0,5,0
AU000017,A001,M01,F17,RL0385,1,2022-02-02,False,4.1,0.0,0,1,0.770846,1,0.583582,0.635354,0,5,0
AU000018,A001,M01,F18,RL0409,1,2024-08-30,False,4.1,0.4135,0,0,0.514843,1,0.576769,0.470815,1,17,0
AU000019,A001,M01,F19,RL0433,1,2025-02-16,False,4.1,0.20556,1,0,0.147882,1,0.525379,0.662928,0,21,0
AU000020,A001,M01,F20,RL0457,1,2025-04-06,False,4.1,0.397706,0,1,0.475869,0,0.334242,0.457896,0,9,1
AU000021,A001,M01,F21,RL0481,1,2024-09-08,False,4.1,0.342081,0,1,0.515445,0,0.223995,0.640464,0,15,0
AU000022,A001,M01,F22,RL0505,1,2024-07-27,False,4.1,0.296763,1,1,0.606293,0,0.631565,0.657322,0,5,1
AU000023,A001,M01,F23,RL0529,1,2022-12-31,False,4.1,0.47665,0,1,0.673734,0,0.786698,0.540189,1,23,0
AU000024,A001,M01,F24,RL0553,1,2023-12-16,False,4.1,0.143557,1,1,0.318491,0,0.706453,0.626896,0,4,0
AU000025,A001,M01,F25,RL0577,1,2024-12-21,False,4.1,0.188857,1,1,0.583549,0,0.696174,0.544665,0,20,0
AU000026,A001,M01,F26,RL0601,1,2024-05-24,False,4.1,0.049009,0,1,0.448525,1,0.480788,0.635916,0,24,0
AU000027,A001,M01,F27,RL0625,1,2022-07-26,False,4.1,0.42407,1,0,0.650581,0,0.856819,0.611915,0,3,0
AU000028,A001,M01,F28,RL0649,1,2024-08-01,True,4.1,0.282415,1,1,0.328589,1,0.852754,0.769112,0,15,0
AU000029,A001,M01,F29,RL0673,1,2021-09-21,False,4.1,0.224808,1,1,0.647231,0,0.068998,0.656798,0,8,0
AU000030,A001,M01,F30,RL0697,1,2025-04-25,False,4.1,0.234646,1,1,0.31659,0,0.587769,0.514236,1,25,0
AU000031,A001,M01,F31,RL0721,1,2022-09-07,False,4.1,0.186294,1,0,0.653704,0,0.210202,0.298697,0,29,1
AU000032,A001,M01,F32,RL0745,1,2023-12-11,False,4.1,0.0,0,1,0.526393,0,0.348701,0.646778,0,1,0
AU000033,A001,M01,F33,RL0769,1,2022-10-17,False,4.1,0.0,1,1,0.729584,0,0.882507,0.741844,1,10,0
AU000034,A001,M01,F34,RL0793,1,2021-10-21,False,4.1,0.612302,1,1,0.616909,0,0.786182,0.396137,0,3,1
AU000035,A001,M01,F35,RL0817,1,2025-05-08,False,4.1,0.438728,1,1,0.480739,1,0.673365,0.548542,0,1,0
AU000036,A001,M01,F36,RL0841,1,2022-05-28,False,4.1,0.0,0,0,0.415916,0,0.425696,0.518403,0,17,0
AU000037,A001,M01,F37,RL0865,1,2021-02-19,False,4.1,0.296648,0,1,0.359766,0,0.568023,0.710902,0,3,0
AU000038,A001,M01,F38,RL0889,1,2021-09-16,False,4.1,0.0,0,0,0.307141,0,0.341889,0.59586,0,0,0
AU000039,A001,M01,F39,RL0913,1,2021-02-06,False,4.1,0.0,0,1,0.772473,0,0.737317,0.36541,0,28,0
AU000040,A001,M01,F40,RL0937,1,2021-07-07,False,4.1,0.01459,0,0,0.221719,0,0.487395,0.703909,0,25,0
AU000041,A001,M01,F41,RL0961,1,2024-12-07,False,4.1,0.004009,0,1,0.883707,0,0.453854,0.339903,1,10,0
AU000042,A001,M01,F42,RL0985,1,2024-07-17,False,4.1,0.819511,0,1,0.607281,0,0.480023,0.509751,0,25,0
AU000043,A001,M01,F43,RL1009,1,2024-06-05,False,4.1,0.04772,0,1,0.699199,1,0.747462,0.473328,0,25,0
AU000044,A001,M01,F44,RL1033,1,2021-02-23,False,4.1,0.035738,0,1,0.586835,1,0.372748,0.330491,1,8,0
AU000045,A001,M01,F45,RL1057,1,2022-10-17,False,4.1,0.550887,1,0,0.440811,0,0.805583,0.654358,0,23,0
AU000046,A001,M01,F46,RL1081,1,2025-01-16,False,4.1,0.262403,1,1,0.499534,1,0.731014,0.465115,0,12,1
