field_name,table,role,classifier_allowed
assessment_id,assessment,pseudonymous identifier,False
recipient_id,assessment,pseudonymous identifier,False
donor_id,assessment,pseudonymous identifier,False
hospital_id,assessment,pseudonymous identifier,False
assessment_date,assessment,audit-only,False
training_consent_status,assessment,audit-only,False
training_consent_version,assessment,audit-only,False
retention_expiry_date,assessment,audit-only,False
recipient_sex,assessment,audit-only,False
recipient_ethnicity,assessment,audit-only,False
recipient_region,assessment,audit-only,False
distance_to_transplant_centre_km,assessment,audit-only,False
recipient_age,assessment,classifier input,True
donor_age,assessment,classifier input,True
donor_type,assessment,classifier input,True
kidney_failure_cause,assessment,classifier input,True
previous_transplant,assessment,classifier input,True
dialysis_months,assessment,classifier input,True
abo_compatibility_category,assessment,classifier input,True
hla_mismatch_count,assessment,classifier input,True
antibody_risk_score,assessment,classifier input,True
cold_ischaemia_hours,assessment,classifier input,True
days_since_transplant,assessment,classifier input,True
creatinine_mg_dl,assessment,classifier input,True
creatinine_change_pct,assessment,classifier input,True
urine_output_ml_24h,assessment,classifier input,True
tacrolimus_level_ng_ml,assessment,classifier input,True
medication_adherence_pct,assessment,classifier input,True
infection_indicator,assessment,classifier input,True
previous_rejection,assessment,classifier input,True
acute_rejection_within_30_days,assessment,target,False
