table,field_name,plain_language_meaning,data_type,unit,static_or_time_varying,source,role,supplied_to_classifier,personal_sensitive_data_justification
assessment,assessment_id,Unique pseudonymous assessment record identifier.,string,,time-varying,Python-controlled,identifier,False,"Synthetic direct or pseudonymous identifier kept separate for audit, joins and future deletion requests; never supplied to the classifier."
assessment,recipient_id,Pseudonymous recipient join key.,string,,static,Python-controlled,identifier,False,"Synthetic direct or pseudonymous identifier kept separate for audit, joins and future deletion requests; never supplied to the classifier."
assessment,donor_id,Pseudonymous donor join key.,string,,static,Python-controlled,identifier,False,"Synthetic direct or pseudonymous identifier kept separate for audit, joins and future deletion requests; never supplied to the classifier."
assessment,hospital_id,Pseudonymous transplant-hospital identifier.,string,,static,Python-controlled,identifier,False,"Synthetic direct or pseudonymous identifier kept separate for audit, joins and future deletion requests; never supplied to the classifier."
assessment,assessment_date,Calendar date of the assessment.,date (YYYY-MM-DD),,time-varying,Python-controlled,audit field,False,"Synthetic audit/provenance field required for consent, retention, chronology or integrity checks; excluded from the classifier."
assessment,training_consent_status,Consent status applicable to this assessment.,string,,time-varying,Python-controlled,audit field,False,"Synthetic audit/provenance field required for consent, retention, chronology or integrity checks; excluded from the classifier."
assessment,training_consent_version,Consent version applicable to this assessment.,string,,time-varying,Python-controlled,audit field,False,"Synthetic audit/provenance field required for consent, retention, chronology or integrity checks; excluded from the classifier."
assessment,retention_expiry_date,Date after which this assessment is eligible for retention-based removal.,date (YYYY-MM-DD),,time-varying,Python-controlled,audit field,False,"Synthetic audit/provenance field required for consent, retention, chronology or integrity checks; excluded from the classifier."
assessment,recipient_sex,Synthetic recipient sex category.,string,,static,Python-controlled,audit field,False,Synthetic sensitive demographic retained for audit only and excluded from the classifier.
assessment,recipient_ethnicity,Synthetic recipient ethnicity category.,string,,static,Python-controlled,audit field,False,Synthetic sensitive demographic retained for audit only and excluded from the classifier.
assessment,recipient_region,Synthetic recipient region.,string,,static,Python-controlled,audit field,False,Synthetic sensitive demographic retained for audit only and excluded from the classifier.
assessment,distance_to_transplant_centre_km,Synthetic distance from residence to transplant centre.,number,km,static,Python-controlled,audit field,False,"Synthetic audit/provenance field required for consent, retention, chronology or integrity checks; excluded from the classifier."
assessment,recipient_age,Recipient age at transplant.,integer,years,static,Python-controlled,classifier feature,True,Synthetic clinical predictor retained for the approved classifier.
assessment,donor_age,Donor age at donation.,integer,years,static,Python-controlled,classifier feature,True,Synthetic clinical predictor retained for the approved classifier.
assessment,donor_type,Living or deceased donor category.,string,,static,Python-controlled,classifier feature,True,Synthetic clinical predictor retained for the approved classifier.
assessment,kidney_failure_cause,Synthetic cause of kidney failure.,string,,static,Python-controlled,classifier feature,True,Synthetic clinical predictor retained for the approved classifier.
assessment,previous_transplant,Whether the recipient previously received a transplant.,integer,,static,Python-controlled,classifier feature,True,Synthetic clinical predictor retained for the approved classifier.
assessment,dialysis_months,Months on dialysis before transplant.,integer,months,static,Python-controlled,classifier feature,True,Synthetic clinical predictor retained for the approved classifier.
assessment,abo_compatibility_category,ABO compatibility derived from donor and recipient blood groups.,string,,static,Python-derived,classifier feature,True,Synthetic clinical predictor retained for the approved classifier.
assessment,hla_mismatch_count,Count of HLA mismatches.,integer,,static,Python-controlled,classifier feature,True,Synthetic clinical predictor retained for the approved classifier.
assessment,antibody_risk_score,Synthetic antibody-risk score.,number,,static,Python-controlled,classifier feature,True,Synthetic clinical predictor retained for the approved classifier.
assessment,cold_ischaemia_hours,Cold-ischaemia duration.,number,hours,static,Python-controlled,classifier feature,True,Synthetic clinical predictor retained for the approved classifier.
assessment,days_since_transplant,Scheduled assessment day after transplant.,integer,days,time-varying,Python-controlled,classifier feature,True,Synthetic clinical predictor retained for the approved classifier.
assessment,creatinine_mg_dl,Serum creatinine measurement.,number,mg/dL,time-varying,Qwen-generated,classifier feature,True,Synthetic clinical predictor retained for the approved classifier.
assessment,creatinine_change_pct,Percentage creatinine change from baseline or the prior assessment.,number,percent,time-varying,Python-derived,classifier feature,True,Synthetic clinical predictor retained for the approved classifier.
assessment,urine_output_ml_24h,Urine output over 24 hours.,number,mL/24h,time-varying,Qwen-generated,classifier feature,True,Synthetic clinical predictor retained for the approved classifier.
assessment,tacrolimus_level_ng_ml,Tacrolimus trough concentration.,number,ng/mL,time-varying,Qwen-generated,classifier feature,True,Synthetic clinical predictor retained for the approved classifier.
assessment,medication_adherence_pct,Estimated medication adherence.,number,percent,time-varying,Qwen-generated,classifier feature,True,Synthetic clinical predictor retained for the approved classifier.
assessment,infection_indicator,Whether a controlled infection episode occurs on the assessment day.,integer,,time-varying,Python-derived,classifier feature,True,Synthetic clinical predictor retained for the approved classifier.
assessment,previous_rejection,Whether a confirmed rejection event occurred before the assessment.,integer,,time-varying,Python-derived,classifier feature,True,Synthetic clinical predictor retained for the approved classifier.
assessment,acute_rejection_within_30_days,Whether a confirmed rejection event occurs in the next 30 days.,integer,,time-varying,Python-derived,target,False,"Synthetic derived outcome retained for supervised evaluation, not as an input feature."
identity,entity_id,Pseudonymous recipient or donor join key.,string,,static,Python-controlled,identifier,False,"Synthetic direct or pseudonymous identifier kept separate for audit, joins and future deletion requests; never supplied to the classifier."
identity,person_id,Synthetic direct person identifier retained only in the identity table.,string,,static,Python-controlled,identifier,False,"Synthetic direct or pseudonymous identifier kept separate for audit, joins and future deletion requests; never supplied to the classifier."
identity,person_role,Whether the synthetic person is a recipient or donor.,string,,static,Python-controlled,identifier,False,"Synthetic direct or pseudonymous identifier kept separate for audit, joins and future deletion requests; never supplied to the classifier."
identity,full_name,Synthetic placeholder name.,string,,static,Python-controlled,identifier,False,"Synthetic direct or pseudonymous identifier kept separate for audit, joins and future deletion requests; never supplied to the classifier."
identity,date_of_birth,Synthetic date of birth.,date (YYYY-MM-DD),,static,Python-controlled,identifier,False,"Synthetic direct or pseudonymous identifier kept separate for audit, joins and future deletion requests; never supplied to the classifier."
identity,email_address,Non-routable synthetic email address.,string,,static,Python-controlled,identifier,False,"Synthetic direct or pseudonymous identifier kept separate for audit, joins and future deletion requests; never supplied to the classifier."
identity,postcode,Synthetic postcode-like value.,string,,static,Python-controlled,identifier,False,"Synthetic direct or pseudonymous identifier kept separate for audit, joins and future deletion requests; never supplied to the classifier."
identity,hospital_number,Synthetic hospital number.,string,,static,Python-controlled,identifier,False,"Synthetic direct or pseudonymous identifier kept separate for audit, joins and future deletion requests; never supplied to the classifier."
identity,current_consent_status,Current synthetic identity-level consent status.,string,,static,Python-controlled,audit field,False,"Synthetic direct or pseudonymous identifier kept separate for audit, joins and future deletion requests; never supplied to the classifier."
identity,current_consent_version,Current synthetic identity-level consent version.,string,,static,Python-controlled,audit field,False,"Synthetic direct or pseudonymous identifier kept separate for audit, joins and future deletion requests; never supplied to the classifier."
identity,consent_granted_date,Synthetic consent-granted date.,date (YYYY-MM-DD),,static,Python-controlled,audit field,False,"Synthetic direct or pseudonymous identifier kept separate for audit, joins and future deletion requests; never supplied to the classifier."
identity,consent_withdrawal_date,"Synthetic consent-withdrawal date, blank when not withdrawn.",date (YYYY-MM-DD),,static,Python-controlled,audit field,False,"Synthetic direct or pseudonymous identifier kept separate for audit, joins and future deletion requests; never supplied to the classifier."
