field_name,purpose,model_training_allowed
person_id,legacy joined audit-only export,False
person_role,legacy joined audit-only export,False
full_name,legacy joined audit-only export,False
date_of_birth,legacy joined audit-only export,False
email_address,legacy joined audit-only export,False
postcode,legacy joined audit-only export,False
hospital_number,legacy joined audit-only export,False
training_consent_status,legacy joined audit-only export,False
training_consent_version,legacy joined audit-only export,False
consent_granted_date,legacy joined audit-only export,False
consent_withdrawal_date,legacy joined audit-only export,False
retention_expiry_date,legacy joined audit-only export,False
assessment_id,legacy joined audit-only export,False
recipient_id,legacy joined audit-only export,False
donor_id,legacy joined audit-only export,False
hospital_id,legacy joined audit-only export,False
assessment_date,legacy joined audit-only export,False
recipient_sex,legacy joined audit-only export,False
recipient_ethnicity,legacy joined audit-only export,False
recipient_region,legacy joined audit-only export,False
distance_to_transplant_centre_km,legacy joined audit-only export,False
recipient_blood_group,legacy joined audit-only export,False
donor_blood_group,legacy joined audit-only export,False
recipient_age,legacy joined audit-only export,False
donor_age,legacy joined audit-only export,False
donor_type,legacy joined audit-only export,False
kidney_failure_cause,legacy joined audit-only export,False
previous_transplant,legacy joined audit-only export,False
dialysis_months,legacy joined audit-only export,False
abo_compatibility_category,legacy joined audit-only export,False
hla_mismatch_count,legacy joined audit-only export,False
antibody_risk_score,legacy joined audit-only export,False
cold_ischaemia_hours,legacy joined audit-only export,False
days_since_transplant,legacy joined audit-only export,False
creatinine_mg_dl,legacy joined audit-only export,False
creatinine_change_pct,legacy joined audit-only export,False
urine_output_ml_24h,legacy joined audit-only export,False
tacrolimus_level_ng_ml,legacy joined audit-only export,False
medication_adherence_pct,legacy joined audit-only export,False
infection_indicator,legacy joined audit-only export,False
previous_rejection,legacy joined audit-only export,False
acute_rejection_within_30_days,legacy joined audit-only export,False
