field,day,unique_values,dominant_count,dominant_fraction,dominant_value
recipient_age,7,10,1,0.1,35.0
recipient_age,14,10,1,0.1,35.0
recipient_age,30,10,1,0.1,35.0
recipient_age,60,10,1,0.1,35.0
recipient_age,90,10,1,0.1,35.0
recipient_age,180,10,1,0.1,35.0
donor_age,7,10,1,0.1,42.0
donor_age,14,10,1,0.1,42.0
donor_age,30,10,1,0.1,42.0
donor_age,60,10,1,0.1,42.0
donor_age,90,10,1,0.1,42.0
donor_age,180,10,1,0.1,42.0
dialysis_months,7,10,1,0.1,12.0
dialysis_months,14,10,1,0.1,12.0
dialysis_months,30,10,1,0.1,12.0
dialysis_months,60,10,1,0.1,12.0
dialysis_months,90,10,1,0.1,12.0
dialysis_months,180,10,1,0.1,12.0
hla_mismatch_count,7,6,3,0.3,2.0
hla_mismatch_count,14,6,3,0.3,2.0
hla_mismatch_count,30,6,3,0.3,2.0
hla_mismatch_count,60,6,3,0.3,2.0
hla_mismatch_count,90,6,3,0.3,2.0
hla_mismatch_count,180,6,3,0.3,2.0
antibody_risk_score,7,10,1,0.1,0.1
antibody_risk_score,14,10,1,0.1,0.1
antibody_risk_score,30,10,1,0.1,0.1
antibody_risk_score,60,10,1,0.1,0.1
antibody_risk_score,90,10,1,0.1,0.1
antibody_risk_score,180,10,1,0.1,0.1
cold_ischaemia_hours,7,10,1,0.1,3.0
cold_ischaemia_hours,14,10,1,0.1,3.0
cold_ischaemia_hours,30,10,1,0.1,3.0
cold_ischaemia_hours,60,10,1,0.1,3.0
cold_ischaemia_hours,90,10,1,0.1,3.0
cold_ischaemia_hours,180,10,1,0.1,3.0
days_since_transplant,7,1,10,1.0,7.0
days_since_transplant,14,1,10,1.0,14.0
days_since_transplant,30,1,10,1.0,30.0
days_since_transplant,60,1,10,1.0,60.0
days_since_transplant,90,1,10,1.0,90.0
days_since_transplant,180,1,10,1.0,180.0
creatinine_mg_dl,7,6,2,0.2,1.2
creatinine_mg_dl,14,6,3,0.3,1.1
creatinine_mg_dl,30,8,2,0.2,1.0
creatinine_mg_dl,60,7,3,0.3,2.1
creatinine_mg_dl,90,6,3,0.3,1.2
creatinine_mg_dl,180,7,3,0.3,1.1
creatinine_change_pct,7,7,2,0.2,9.090909090909078
creatinine_change_pct,14,9,2,0.2,-15.38461538461538
creatinine_change_pct,30,9,2,0.2,-9.0909090909091
creatinine_change_pct,60,10,1,0.1,-9.999999999999998
creatinine_change_pct,90,9,2,0.2,-14.285714285714285
creatinine_change_pct,180,8,3,0.3,-8.333333333333321
urine_output_ml_24h,7,3,7,0.7,2100.0
urine_output_ml_24h,14,4,5,0.5,1950.0
urine_output_ml_24h,30,6,3,0.3,1200.0
urine_output_ml_24h,60,8,2,0.2,1800.0
urine_output_ml_24h,90,9,2,0.2,1400.0
urine_output_ml_24h,180,8,2,0.2,1350.0
tacrolimus_level_ng_ml,7,2,9,0.9,12.5
tacrolimus_level_ng_ml,14,4,4,0.4,11.8
tacrolimus_level_ng_ml,30,7,3,0.3,10.2
tacrolimus_level_ng_ml,60,4,4,0.4,9.5
tacrolimus_level_ng_ml,90,8,2,0.2,8.1
tacrolimus_level_ng_ml,180,7,4,0.4,11.0
medication_adherence_pct,7,2,7,0.7,98.0
medication_adherence_pct,14,4,6,0.6,95.0
medication_adherence_pct,30,5,3,0.3,97.0
medication_adherence_pct,60,6,3,0.3,96.0
medication_adherence_pct,90,7,3,0.3,98.0
medication_adherence_pct,180,4,4,0.4,100.0
