feature,oriented_univariate_auroc,positive_negative_range_overlap
recipient_age,0.538961038961039,True
donor_age,0.8617810760667903,True
donor_type,0.6335807050092765,
kidney_failure_cause,0.7671614100185528,
previous_transplant,0.7115027829313544,True
dialysis_months,0.538961038961039,True
abo_compatibility_category,0.5612244897959184,
hla_mismatch_count,0.8840445269016698,True
antibody_risk_score,0.8951762523191095,True
cold_ischaemia_hours,0.7949907235621522,True
days_since_transplant,0.6762523191094619,True
creatinine_mg_dl,0.8608534322820037,True
creatinine_change_pct,0.9025974025974026,True
urine_output_ml_24h,0.5565862708719851,True
tacrolimus_level_ng_ml,0.5204081632653061,True
medication_adherence_pct,0.8070500927643784,True
infection_indicator,0.5602968460111317,True
previous_rejection,0.5769944341372913,True
