scenario,selected_identifier,forget_count,forget_percentage,retained_test_count,evaluation_set_name,model,evaluation_threshold,threshold_label,seed,accuracy,precision,recall,f1,specificity,balanced_accuracy,auroc,pr_auc,binary_cross_entropy,confusion_matrix
s1_actor_withdrawal,A034,415,0.009880952380952381,8920,scenario_retained_test,original_baseline,0.32,fixed_baseline_validation_threshold,42,0.6743273542600897,0.5348886532343584,0.779839208410637,0.6345452258145678,0.614315863524446,0.6970775359675415,0.7678219578689405,0.6268142595069549,0.5469871275105761,"[[3493, 2193], [712, 2522]]"
s1_actor_withdrawal,A034,415,0.009880952380952381,8920,scenario_retained_test,full_retraining,0.32,fixed_baseline_validation_threshold,42,0.679372197309417,0.5408475316732198,0.7656153370439085,0.6338965693804404,0.6303200844178685,0.6979677107308885,0.7677983290012835,0.625196953517891,0.5473767952720795,"[[3584, 2102], [758, 2476]]"
s2_submission_withdrawal,True,2137,0.05088095238095238,8590,scenario_retained_test,original_baseline,0.32,fixed_baseline_validation_threshold,42,0.6736903376018626,0.5342888643880926,0.7780989081567117,0.6335468688717479,0.6143170197224251,0.6962079639395684,0.7677123987759046,0.6278044633611335,0.5471200704559921,"[[3364, 2112], [691, 2423]]"
s2_submission_withdrawal,True,2137,0.05088095238095238,8590,scenario_retained_test,full_retraining,0.32,fixed_baseline_validation_threshold,42,0.681024447031432,0.5426940639269406,0.7633269107257546,0.6343741659994663,0.6342220598977356,0.6987744853117451,0.7676460439505276,0.6269841132735153,0.5473641353933831,"[[3473, 2003], [737, 2377]]"
s3_agency_withdrawal,M20,4224,0.10057142857142858,8079,scenario_retained_test,original_baseline,0.32,fixed_baseline_validation_threshold,42,0.6786731031068202,0.5402943237561317,0.7864671880312819,0.6405427859318749,0.6169715842740366,0.7017193861526593,0.7714778340184256,0.6317454717702223,0.5446322610258031,"[[3170, 1968], [628, 2313]]"
s3_agency_withdrawal,M20,4224,0.10057142857142858,8079,scenario_retained_test,full_retraining,0.32,fixed_baseline_validation_threshold,42,0.6789206584973387,0.5403770072143356,0.7895273716422986,0.6416137054434927,0.6156091864538731,0.7025682790480858,0.7719903131906871,0.6315356653989791,0.5443108271553676,"[[3163, 1975], [619, 2322]]"
s4_project_closure,F50,6289,0.14973809523809523,7616,scenario_retained_test,original_baseline,0.32,fixed_baseline_validation_threshold,42,0.6759453781512605,0.5424757281553398,0.7931156848828956,0.6442778898818103,0.6071279699874947,0.7001218274351952,0.7705627803280939,0.6361992740313938,0.5476467490121298,"[[2913, 1885], [583, 2235]]"
s4_project_closure,F50,6289,0.14973809523809523,7616,scenario_retained_test,full_retraining,0.32,fixed_baseline_validation_threshold,42,0.6794905462184874,0.5463031196266274,0.7892122072391767,0.6456670053708811,0.6150479366402668,0.7021300719397218,0.7713714624410277,0.6379746868080941,0.5471322945199681,"[[2951, 1847], [594, 2224]]"
s5_retention_expiry,2021-09-20,6298,0.14995238095238095,7681,scenario_retained_test,original_baseline,0.32,fixed_baseline_validation_threshold,42,0.677515948444213,0.5374907201187825,0.781294964028777,0.636856765870107,0.6186492552540298,0.6999721096414033,0.7720241354355813,0.6316690160523434,0.5432142468264602,"[[3032, 1869], [608, 2172]]"
s5_retention_expiry,2021-09-20,6298,0.14995238095238095,7681,scenario_retained_test,full_retraining,0.32,fixed_baseline_validation_threshold,42,0.686889727900013,0.5490452524195658,0.7550359712230216,0.6357716189610783,0.6482350540705978,0.7016355126468097,0.772686237869529,0.6317677435606652,0.5433336430421687,"[[3177, 1724], [681, 2099]]"
