scenario,model,forget_rows,mean_absolute_probability_difference_from_full,absolute_bce_difference_from_full,prediction_agreement_with_full,mean_true_label_confidence_difference_from_full,absolute_true_label_confidence_difference_from_full,ks_truth_ratio_p_value_vs_full,ks_truth_ratio_statistic_vs_full,reference_normalised_forgetfulness
s1_actor_withdrawal,original,415,0.010360431,0.001058804372091493,0.9855421686746988,-0.002748228205614822,0.002748228205614822,0.917830126278171,0.03855421686746988,0.0
s1_actor_withdrawal,gradient_ascent,415,0.0106573,0.0009332429549680499,0.9855421686746988,-0.0030166655330055026,0.0030166655330055026,0.8777231858355168,0.04096385542168675,-0.028654099
s1_actor_withdrawal,full_retraining,415,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
s2_submission_withdrawal,original,2137,0.01683448,0.0019244135378559957,0.9691155825924193,-0.00032919941484854665,0.00032919941484854665,0.8689321345424169,0.018249883013570427,0.0
s2_submission_withdrawal,gradient_ascent,2137,0.016766718,0.0018388487244056506,0.9691155825924193,-0.00018441997848506197,0.00018441997848506197,0.8881979505463847,0.017781937295273748,0.0040252805
s2_submission_withdrawal,full_retraining,2137,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
s3_agency_withdrawal,original,4224,0.016816728,0.0017118702781971917,0.9595170454545454,0.0016557291603407354,0.0016557291603407354,0.626031744178105,0.016335227272727272,0.0
s3_agency_withdrawal,gradient_ascent,4224,0.01729903,0.0016071654743431418,0.9590435606060606,0.0012659742108855898,0.0012659742108855898,0.804488224321594,0.01396780303030303,-0.028679848
s3_agency_withdrawal,full_retraining,4224,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
s4_project_closure,original,6289,0.016792266,0.0011357318203176758,0.9731276832564796,0.00013587760312094854,0.00013587760312094854,0.4698167025361828,0.015105740181268883,0.0
s4_project_closure,gradient_ascent,6289,0.01831922,0.0005328036475137354,0.9691524884719351,-0.0010668319610158683,0.0010668319610158683,0.26199394618136407,0.01796788042614088,-0.09093201
s4_project_closure,full_retraining,6289,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
s5_retention_expiry,original,6298,0.019119825,0.0009604258280532241,0.9680851063829787,-0.0018761266778862806,0.0018761266778862806,0.4844544938098272,0.014925373134328358,0.0
s5_retention_expiry,gradient_ascent,6298,0.021319712,0.0007430466103317546,0.9660209590346142,-0.0019214472175353992,0.0019214472175353992,0.614829976724147,0.013496348046999047,-0.115057826
s5_retention_expiry,full_retraining,6298,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
