scenario,metric,point_difference,ci_lower,ci_upper,valid_resamples,unique_cluster_count,bootstrap_method
s1_actor_withdrawal,pr_auc,0.001621031810433271,-0.00021227983858392304,0.0032986472956980815,1000,7841,paired_actor_role_cluster_bootstrap
s1_actor_withdrawal,balanced_accuracy,-0.0009752278105626955,-0.0041899527750861336,0.0021574238691552776,1000,7841,paired_actor_role_cluster_bootstrap
s1_actor_withdrawal,bce,-0.00038993516558494257,-0.0013280184494178864,0.0005610351649584203,1000,7841,paired_actor_role_cluster_bootstrap
s1_actor_withdrawal,f1,0.0006970746341307121,-0.002623732452684574,0.0040098124318964,1000,7841,paired_actor_role_cluster_bootstrap
s1_actor_withdrawal,auroc,3.4804315996339596e-05,-0.0006641143356472784,0.0007644954106548002,1000,7841,paired_actor_role_cluster_bootstrap
s2_submission_withdrawal,pr_auc,0.0008106009187007768,-0.0010604707809075075,0.0026355450034189344,1000,7591,paired_actor_role_cluster_bootstrap
s2_submission_withdrawal,balanced_accuracy,-0.0031174746063045156,-0.006749937134791423,0.00010763183670808005,1000,7591,paired_actor_role_cluster_bootstrap
s2_submission_withdrawal,bce,-0.0002448623255996152,-0.0011471279205470752,0.0007289033166630793,1000,7591,paired_actor_role_cluster_bootstrap
s2_submission_withdrawal,f1,-0.001459461656190486,-0.005209562376714563,0.0018306203473514655,1000,7591,paired_actor_role_cluster_bootstrap
s2_submission_withdrawal,auroc,5.626818820070323e-05,-0.0007978925464548426,0.0008486746144185041,1000,7591,paired_actor_role_cluster_bootstrap
s3_agency_withdrawal,pr_auc,0.00017908076881634205,-0.002401072517122052,0.0028860453639115405,1000,7000,paired_actor_role_cluster_bootstrap
s3_agency_withdrawal,balanced_accuracy,-0.0008031310995046947,-0.004573864107607914,0.003010783319435393,1000,7000,paired_actor_role_cluster_bootstrap
s3_agency_withdrawal,bce,0.00035040270088981806,-0.000727448646691109,0.0013776922377362968,1000,7000,paired_actor_role_cluster_bootstrap
s3_agency_withdrawal,f1,-0.0006977170312979508,-0.004669288689878687,0.0031960081670113797,1000,7000,paired_actor_role_cluster_bootstrap
s3_agency_withdrawal,auroc,-0.0004966627308654603,-0.0015199617585031939,0.0006520638226455819,1000,7000,paired_actor_role_cluster_bootstrap
s4_project_closure,pr_auc,-0.00173149822017582,-0.004731281410025529,0.0010404449588959552,1000,7566,paired_actor_role_cluster_bootstrap
s4_project_closure,balanced_accuracy,-0.0017408779563048427,-0.005485552718621595,0.0023055568877386402,1000,7566,paired_actor_role_cluster_bootstrap
s4_project_closure,bce,0.000655420112193994,-0.00046872546459270634,0.0018431375274535085,1000,7566,paired_actor_role_cluster_bootstrap
s4_project_closure,f1,-0.00022933580069683934,-0.004116372689632811,0.003943746928345373,1000,7566,paired_actor_role_cluster_bootstrap
s4_project_closure,auroc,-0.000795184354966838,-0.002084612965935903,0.00030960660030559227,1000,7566,paired_actor_role_cluster_bootstrap
s5_retention_expiry,pr_auc,-0.00012968150572900683,-0.002646598676060466,0.002059646815716206,1000,6726,paired_actor_role_cluster_bootstrap
s5_retention_expiry,balanced_accuracy,-0.0015991817849536627,-0.005610470956687291,0.002663731249934897,1000,6726,paired_actor_role_cluster_bootstrap
s5_retention_expiry,bce,-5.67920278475853e-05,-0.0012409237362763447,0.0012752678539103169,1000,6726,paired_actor_role_cluster_bootstrap
s5_retention_expiry,f1,0.0014947361791086688,-0.0029566297643199594,0.006344725833557802,1000,6726,paired_actor_role_cluster_bootstrap
s5_retention_expiry,auroc,-0.0006788366491055076,-0.0017691789262196307,0.00035490990525602594,1000,6726,paired_actor_role_cluster_bootstrap
