scenario,model,retained_test_rows,threshold,threshold_label,auroc,pr_auc,f1,balanced_accuracy,bce,brier_score,accuracy,precision,recall,specificity,confusion_matrix
s1_actor_withdrawal,gradient_ascent,8920,0.32,fixed_baseline_validation_threshold,0.7678331333172799,0.6268179853283242,0.6345936440145711,0.6969924829203258,0.5469868601064947,0.18489076619842854,0.6738789237668161,0.5343769832874974,0.7810760667903525,0.612908899050299,"[[3485, 2201], [708, 2526]]"
s1_actor_withdrawal,full_retraining,8920,0.32,fixed_baseline_validation_threshold,0.7677983290012835,0.625196953517891,0.6338965693804404,0.6979677107308885,0.5473767952720796,0.1851248212051986,0.679372197309417,0.5408475316732198,0.7656153370439085,0.6303200844178685,"[[3584, 2102], [758, 2476]]"
s2_submission_withdrawal,gradient_ascent,8590,0.32,fixed_baseline_validation_threshold,0.7677023121387283,0.627794714192216,0.6329147043432758,0.6956570107054406,0.5471192730677836,0.18488302726850284,0.6733410942956927,0.5339955849889625,0.7768143866409762,0.614499634769905,"[[3365, 2111], [695, 2419]]"
s2_submission_withdrawal,full_retraining,8590,0.32,fixed_baseline_validation_threshold,0.7676460439505276,0.6269841132735152,0.6343741659994663,0.6987744853117451,0.5473641353933832,0.18506103184951928,0.681024447031432,0.5426940639269406,0.7633269107257546,0.6342220598977356,"[[3473, 2003], [737, 2377]]"
s3_agency_withdrawal,gradient_ascent,8079,0.32,fixed_baseline_validation_threshold,0.7714936504598217,0.6317147461677954,0.6409159884121948,0.7017651479485811,0.5446612298562574,0.18381757707610644,0.6778066592400049,0.5392293407613742,0.7898673920435226,0.6136629038536395,"[[3153, 1985], [618, 2323]]"
s3_agency_withdrawal,full_retraining,8079,0.32,fixed_baseline_validation_threshold,0.7719903131906871,0.6315356653989791,0.6416137054434927,0.7025682790480858,0.5443108271553676,0.1836684765883792,0.6789206584973387,0.5403770072143356,0.7895273716422986,0.6156091864538731,"[[3163, 1975], [619, 2322]]"
s4_project_closure,gradient_ascent,7616,0.32,fixed_baseline_validation_threshold,0.7705762780860609,0.6362431885879183,0.6454376695701842,0.7003891939834169,0.5477877146321621,0.18526109635044305,0.6739758403361344,0.5400238948626045,0.8019872249822569,0.5987911629845769,"[[2873, 1925], [558, 2260]]"
s4_project_closure,full_retraining,7616,0.32,fixed_baseline_validation_threshold,0.7713714624410277,0.6379746868080941,0.6456670053708811,0.7021300719397218,0.5471322945199681,0.18499133598793652,0.6794905462184874,0.5463031196266274,0.7892122072391767,0.6150479366402668,"[[2951, 1847], [594, 2224]]"
s5_retention_expiry,gradient_ascent,7681,0.32,fixed_baseline_validation_threshold,0.7720074012204234,0.6316380620549362,0.6372663551401869,0.700036330861856,0.5432768510143211,0.1832666266714734,0.6766046087748991,0.5363815142576205,0.7848920863309352,0.6151805753927769,"[[3015, 1886], [598, 2182]]"
s5_retention_expiry,full_retraining,7681,0.32,fixed_baseline_validation_threshold,0.772686237869529,0.6317677435606652,0.6357716189610783,0.7016355126468097,0.5433336430421687,0.18332072261850216,0.686889727900013,0.5490452524195658,0.7550359712230216,0.6482350540705978,"[[3177, 1724], [681, 2099]]"
