scenario,model,retained_test_rows,threshold,threshold_label,auroc,pr_auc,f1,balanced_accuracy,bce,brier_score,accuracy,precision,recall,specificity,confusion_matrix
s1_actor_withdrawal,original,8920,0.32,fixed_baseline_validation_threshold,0.7678219578689405,0.626814259506955,0.6345452258145678,0.6970775359675415,0.5469871275105761,0.1848908822841693,0.6743273542600897,0.5348886532343584,0.779839208410637,0.614315863524446,"[[3493, 2193], [712, 2522]]"
s1_actor_withdrawal,retain_set_finetuning,8920,0.32,fixed_baseline_validation_threshold,0.7685930366134879,0.6275693911366077,0.6365034606511151,0.7005448615669208,0.5468061693025629,0.18482499029133503,0.6820627802690583,0.5435639229422067,0.7677798392084106,0.6333098839254309,"[[3601, 2085], [751, 2483]]"
s1_actor_withdrawal,full_retraining,8920,0.32,fixed_baseline_validation_threshold,0.7677983290012835,0.625196953517891,0.6338965693804404,0.6979677107308885,0.5473767952720796,0.1851248212051986,0.679372197309417,0.5408475316732198,0.7656153370439085,0.6303200844178685,"[[3584, 2102], [758, 2476]]"
s2_submission_withdrawal,original,8590,0.32,fixed_baseline_validation_threshold,0.7677123987759046,0.6278044633611335,0.6335468688717479,0.6962079639395684,0.5471200704559919,0.18488046047563872,0.6736903376018626,0.5342888643880926,0.7780989081567117,0.6143170197224251,"[[3364, 2112], [691, 2423]]"
s2_submission_withdrawal,retain_set_finetuning,8590,0.32,fixed_baseline_validation_threshold,0.7681961175360644,0.6280052323076148,0.6341140664284769,0.6978076928670586,0.5470899745649092,0.18487045434621563,0.6781140861466822,0.5392752644609498,0.7694283879254977,0.6261869978086194,"[[3429, 2047], [718, 2396]]"
s2_submission_withdrawal,full_retraining,8590,0.32,fixed_baseline_validation_threshold,0.7676460439505276,0.6269841132735152,0.6343741659994663,0.6987744853117451,0.5473641353933832,0.18506103184951928,0.681024447031432,0.5426940639269406,0.7633269107257546,0.6342220598977356,"[[3473, 2003], [737, 2377]]"
s3_agency_withdrawal,original,8079,0.32,fixed_baseline_validation_threshold,0.7714778340184256,0.6317454717702223,0.6405427859318749,0.7017193861526593,0.5446322610258031,0.1838071046125494,0.6786731031068202,0.5402943237561317,0.7864671880312819,0.6169715842740366,"[[3170, 1968], [628, 2313]]"
s3_agency_withdrawal,retain_set_finetuning,8079,0.32,fixed_baseline_validation_threshold,0.7721783898703832,0.632768229970933,0.6424344885883347,0.7049646353635247,0.5445691266813221,0.18379535009166706,0.6858522094318604,0.5484724560981477,0.7752465147908875,0.634682755936162,"[[3261, 1877], [661, 2280]]"
s3_agency_withdrawal,full_retraining,8079,0.32,fixed_baseline_validation_threshold,0.7719903131906871,0.6315356653989791,0.6416137054434927,0.7025682790480858,0.5443108271553676,0.1836684765883792,0.6789206584973387,0.5403770072143356,0.7895273716422986,0.6156091864538731,"[[3163, 1975], [619, 2322]]"
s4_project_closure,original,7616,0.32,fixed_baseline_validation_threshold,0.7705627803280939,0.6361992740313938,0.6442778898818103,0.7001218274351952,0.5476467490121298,0.1852091802963556,0.6759453781512605,0.5424757281553398,0.7931156848828956,0.6071279699874947,"[[2913, 1885], [583, 2235]]"
s4_project_closure,retain_set_finetuning,7616,0.32,fixed_baseline_validation_threshold,0.7709975930354231,0.637266666839136,0.644678093043353,0.7004456996660839,0.547695453848724,0.18516938506020636,0.6760766806722689,0.5425454545454546,0.794180269694819,0.6067111296373489,"[[2911, 1887], [580, 2238]]"
s4_project_closure,full_retraining,7616,0.32,fixed_baseline_validation_threshold,0.7713714624410277,0.6379746868080941,0.6456670053708811,0.7021300719397218,0.5471322945199681,0.18499133598793652,0.6794905462184874,0.5463031196266274,0.7892122072391767,0.6150479366402668,"[[2951, 1847], [594, 2224]]"
s5_retention_expiry,original,7681,0.32,fixed_baseline_validation_threshold,0.7720241354355813,0.6316690160523434,0.636856765870107,0.6999721096414033,0.5432142468264602,0.18324219667538932,0.677515948444213,0.5374907201187825,0.781294964028777,0.6186492552540298,"[[3032, 1869], [608, 2172]]"
s5_retention_expiry,retain_set_finetuning,7681,0.32,fixed_baseline_validation_threshold,0.772557024773978,0.6324012521038311,0.6385902031063322,0.7031408213563816,0.5431791034534318,0.18317701446184462,0.6849368571800547,0.5459652706843718,0.7690647482014389,0.6372168945113242,"[[3123, 1778], [642, 2138]]"
s5_retention_expiry,full_retraining,7681,0.32,fixed_baseline_validation_threshold,0.772686237869529,0.6317677435606652,0.6357716189610783,0.7016355126468097,0.5433336430421687,0.18332072261850216,0.686889727900013,0.5490452524195658,0.7550359712230216,0.6482350540705978,"[[3177, 1724], [681, 2099]]"
