train_index,audition_id,callback,shard,slice,actor_role_key
1046,AU001047,0,4,2,A001|RL0430
57136,AU057137,0,4,4,A096|RL0915
32313,AU032314,1,4,2,A052|RL0993
11782,AU011783,0,3,5,A017|RL1199
24727,AU024728,1,2,2,A039|RL0845
4522,AU004523,1,3,4,A004|RL1040
24802,AU024803,0,2,4,A039|RL0295
21732,AU021733,0,4,3,A034|RL0650
41670,AU041671,0,4,1,A069|RL1107
58055,AU058056,0,3,1,A097|RL0346
40080,AU040081,0,3,3,A066|RL0246
20172,AU020173,1,4,5,A031|RL0581
23646,AU023647,1,3,4,A037|RL0990
15380,AU015381,0,4,2,A023|RL1197
20479,AU020480,0,4,5,A031|RL0899
22683,AU022684,1,3,2,A035|RL0442
17044,AU017045,0,2,4,A025|RL1181
10759,AU010760,1,1,4,A015|RL1184
26101,AU026102,0,4,5,A041|RL0682
57143,AU057144,0,4,2,A096|RL1083
25875,AU025876,1,4,3,A041|RL1133
1061,AU001062,0,2,4,A001|RL0790
34876,AU034877,0,5,3,A057|RL0220
29525,AU029526,0,5,1,A047|RL1066
42125,AU042126,1,5,1,A070|RL0769
37730,AU037731,1,4,4,A062|RL0628
18648,AU018649,1,3,3,A028|RL0201
44214,AU044215,0,3,2,A073|RL0681
502,AU000503,0,3,4,A001|RL0299
54998,AU054999,1,3,1,A092|RL0153
6977,AU006978,0,3,2,A009|RL0025
15987,AU015988,1,5,3,A024|RL1180
4372,AU004373,0,2,5,A004|RL0965
11295,AU011296,0,1,1,A016|RL1192
14126,AU014127,0,4,5,A021|RL1191
45460,AU045461,0,1,4,A075|RL1019
4622,AU004623,1,5,5,A004|RL1090
41034,AU041035,0,2,2,A068|RL0626
37623,AU037624,1,5,5,A062|RL0410
45628,AU045629,0,3,4,A076|RL0843
34680,AU034681,0,1,4,A056|RL0923
3934,AU003935,0,1,1,A003|RL0560
1090,AU001091,0,3,4,A001|RL0311
12175,AU012176,0,4,5,A017|RL1184
25763,AU025764,0,1,4,A041|RL0795
50440,AU050441,0,1,2,A084|RL0417
3473,AU003474,1,3,2,A002|RL0778
48849,AU048850,0,3,1,A081|RL0707
56353,AU056354,1,5,2,A094|RL0348
30757,AU030758,1,3,5,A050|RL0313
5164,AU005165,1,3,2,A005|RL0466
38040,AU038041,1,2,2,A062|RL1018
34163,AU034164,1,5,1,A056|RL0265
39381,AU039382,0,2,3,A065|RL0603
23787,AU023788,0,5,4,A037|RL0849
41552,AU041553,0,1,1,A069|RL0625
54090,AU054091,1,1,3,A091|RL0986
45209,AU045210,1,4,3,A075|RL0870
29947,AU029948,0,5,3,A048|RL1087
23131,AU023132,0,5,3,A036|RL1087
44445,AU044446,1,1,2,A074|RL0842
45270,AU045271,0,5,1,A075|RL1159
23536,AU023537,1,2,3,A037|RL0700
19947,AU019948,0,1,1,A030|RL0588
59548,AU059549,1,1,4,A100|RL0028
20768,AU020769,1,5,2,A032|RL0078
12347,AU012348,0,3,4,A018|RL1188
6993,AU006994,0,3,1,A009|RL0409
35264,AU035265,1,5,2,A057|RL0132
23547,AU023548,0,2,2,A037|RL0964
46191,AU046192,1,3,5,A077|RL0747
41472,AU041473,0,3,4,A068|RL0563
54834,AU054835,0,1,2,A092|RL0917
26073,AU026074,0,1,1,A041|RL0010
18576,AU018577,0,4,2,A028|RL0823
11995,AU011996,0,5,2,A017|RL1196
13996,AU013997,0,4,4,A020|RL1181
2799,AU002800,0,2,3,A001|RL0154
12467,AU012468,0,1,4,A018|RL1188
57630,AU057631,0,1,3,A097|RL0721
39318,AU039319,0,2,2,A065|RL0266
29635,AU029636,0,3,5,A048|RL0649
2409,AU002410,0,5,3,A001|RL0194
39096,AU039097,0,1,1,A064|RL0321
47094,AU047095,1,1,3,A078|RL0586
45623,AU045624,0,4,1,A076|RL0723
1145,AU001146,0,3,2,A001|RL0456
38664,AU038665,0,3,2,A063|RL0036
16971,AU016972,0,4,4,A025|RL1180
35852,AU035853,0,5,5,A058|RL0612
16265,AU016266,0,2,4,A024|RL1194
57650,AU057651,0,3,2,A097|RL0026
11427,AU011428,0,2,3,A016|RL1180
40466,AU040467,0,3,4,A067|RL0602
41292,AU041293,1,1,1,A068|RL0943
