shard,slice,rows_used,epochs,training_bce,validation_bce,runtime_seconds,checkpoint_hash
1,1,1680,2,0.6491954235803513,0.6334176659584045,0.7162471669726074,3e115306c708f45211c2dbd29157f24abc987f04e0df6f858b964ff798377e83
1,2,3360,2,0.5884874738398053,0.5707619190216064,0.4723578749690205,7c35e97531521ceb9ef5d7ae015fa436710bc05d68f1688a63427290e9adcd51
1,3,5040,2,0.5555841899107373,0.5488361120223999,0.6530793750425801,53db51ef27b3a2885758dbd5664be51567c006630095dda5b0e7871e76e84cbe
1,4,6720,2,0.5567179336434319,0.5470989346504211,0.8174021249869838,52fa3ebcaf59ff43f1b70abe09c661727cbedb0223a37c159b9a3fa1c46f1673
1,5,8400,2,0.55101736278761,0.5456387996673584,1.013600999955088,53a5a5bebab1d8065f6527d03d44e1a46ba592e989ef32bff8a22883a1db7882
2,1,1680,2,0.6701245432808286,0.6478059887886047,0.20602970896288753,cb2b519c67d98cf26d3080615c089a803948f6bd8181c97affc117bbd722a947
2,2,3360,2,0.598311356135777,0.5840781331062317,0.39865137496963143,f9440f43b11568aca3fb4b82c8e3e96aae6a921f1ec04734f04aa73fa09c80eb
2,3,5040,2,0.5740933022801838,0.559971809387207,0.6216663749655709,7077142c88520f566ebf6e949bb7592953320b95642c31ec55f4492f2f97b334
2,4,6720,2,0.5624392668406168,0.5535159707069397,0.7775008330354467,d0cf6d167cf149e78c8efa02b35fe3015e47748b884f68e5714c48c3f5357074
2,5,8400,2,0.5565926099958874,0.550864040851593,0.9860560829984024,3807a2cb4bedfce3219c069fdf651f0d931811d77fb72b7b5826221beb058a79
3,1,1680,2,0.6635206074941726,0.6553977727890015,0.2029460419435054,c2571974489785ab919262333e421a753fda62471dfd1d0abdf485836b478319
3,2,3360,2,0.6099502234231858,0.5899600982666016,0.4059545840136707,c3216f0aee1d4244d3286288bbf62015cafbefd1b357e7551fae3736eb538b08
3,3,5040,2,0.5581907865546999,0.5479027032852173,0.6068552499637008,a808ba11d7f29ac4b8eb57e83d5492e0b2accb40ec48c44947bed846eb4f55e3
3,4,6720,2,0.5521354224000659,0.5455204248428345,0.7979834999423474,1607c0a752f2b4109984c0effb42a43272d3dfd6a957d47bdc1cf8d33eb59472
3,5,8400,2,0.5516823416664487,0.5445348620414734,1.0206100420327857,0777100e28ba4118825e55479439ab0f5422c84d16515cfc2793062f53d19af2
4,1,1680,2,0.6642555094900585,0.650946855545044,0.2185218749800697,61071d69f5e5a748dd57767c5a4c44aef232da18dd76cdad51c6540229b6cccf
4,2,3360,2,0.5852150394803002,0.5682041049003601,0.3948656669817865,6f74b0d76e60ed454106b879b77930d444107eac7b707dcbe76ee102e035c1f2
4,3,5040,2,0.560710038268377,0.5531389713287354,0.6019427919527516,c81102f77b293df9197ac2c8afbb42b360739c81b7d250f7afa49daa4019c8b7
4,4,6720,2,0.5572277157079606,0.5486835837364197,0.7807183330878615,9526600fcd46334bc9d846ed66c258e50803eb93b911a4f1087c6eb1f850f023
4,5,8400,2,0.554278712272644,0.5458961725234985,1.010454917093739,8e5c37694dcd96dfe8f08c49731cd573cc59aced2bc1fd41cf0a35afe6e39b10
5,1,1680,2,0.6756923544974555,0.6705286502838135,0.20885058399289846,6fee9bf78c2b54fbc5e3486d5a1b04f5f4032c702ead1890ff8e37fb857dd62c
5,2,3360,2,0.6374698196138654,0.6183144450187683,0.4299183749826625,961dfd21e450bd86323b8a8f3a7e4eafb2134a35292d2bf6e983fe32c08e393e
5,3,5040,2,0.5705787758032481,0.5550581812858582,0.6317019590642303,69d636dbbed0253c9300ecb5b9f5ae474964eb59ad0d2bb78391aef4cc1464fd
5,4,6720,2,0.5629408336821057,0.5477334856987,0.8485890419688076,f91d99f6e4a8d2b0440a56ddde6354227d8685d6440184c97ab51afc28c54428
5,5,8400,2,0.5590486303965251,0.5456551909446716,1.0403115409426391,f47c2d598398709e676ce7579839814145c226ca871c607da2859cf95c818a40
