scenario,shard,slice,rows_used,training_bce,contains_forget_rows
s1_actor_withdrawal,1,1,1664,0.6504762379022745,False
s1_actor_withdrawal,1,2,3330,0.5911364212408438,False
s1_actor_withdrawal,1,3,4992,0.558901710387988,False
s1_actor_withdrawal,1,4,6658,0.5601839178243748,False
s1_actor_withdrawal,1,5,8318,0.5508867329231505,False
s1_actor_withdrawal,2,1,1665,0.6723656333602585,False
s1_actor_withdrawal,2,2,3327,0.6018005498436646,False
s1_actor_withdrawal,2,3,4994,0.5760991424381805,False
s1_actor_withdrawal,2,4,6656,0.5635290842216748,False
s1_actor_withdrawal,2,5,8323,0.5594267053063008,False
s1_actor_withdrawal,3,1,1665,0.6647122500537036,False
s1_actor_withdrawal,3,2,3332,0.621649548858583,False
s1_actor_withdrawal,3,3,4990,0.5629515094126394,False
s1_actor_withdrawal,3,4,6655,0.556515419465272,False
s1_actor_withdrawal,3,5,8312,0.5524973365638667,False
s1_actor_withdrawal,4,1,1668,0.6661375841076711,False
s1_actor_withdrawal,4,2,3332,0.5853324579734619,False
s1_actor_withdrawal,4,3,4996,0.5632602476758705,False
s1_actor_withdrawal,4,4,6656,0.5577501706205882,False
s1_actor_withdrawal,4,5,8319,0.5562367631503776,False
s1_actor_withdrawal,5,1,1666,0.6752418847788139,False
s1_actor_withdrawal,5,2,3329,0.6386473831846822,False
s1_actor_withdrawal,5,3,4988,0.5770381377425878,False
s1_actor_withdrawal,5,4,6649,0.5676866558498503,False
s1_actor_withdrawal,5,5,8313,0.5610062001873752,False
