scenario,shard,slice,rows_used,epochs,training_bce,validation_bce,runtime_seconds
s1_actor_withdrawal,1,1,1664,2,0.6504762379022745,0.6363218426704407,0.2470574170583859
s1_actor_withdrawal,1,2,3330,2,0.5911364212408438,0.5765159130096436,0.4789447080111131
s1_actor_withdrawal,1,3,4992,2,0.558901710387988,0.5503098964691162,0.6681844589766115
s1_actor_withdrawal,1,4,6658,2,0.5601839178243748,0.5475881695747375,0.855327665922232
s1_actor_withdrawal,1,5,8318,2,0.5508867329231505,0.5460584759712219,1.0799295830074698
s1_actor_withdrawal,2,1,1665,2,0.6723656333602585,0.6505962014198303,0.3085313750198111
s1_actor_withdrawal,2,2,3327,2,0.6018005498436646,0.5855585336685181,0.4746022920589894
s1_actor_withdrawal,2,3,4994,2,0.5760991424381805,0.5596746206283569,0.599736167001538
s1_actor_withdrawal,2,4,6656,2,0.5635290842216748,0.5535909533500671,0.7820274999830872
s1_actor_withdrawal,2,5,8323,2,0.5594267053063008,0.5500109791755676,1.1263842079788446
s1_actor_withdrawal,3,1,1665,2,0.6647122500537036,0.6588277220726013,0.21756166697014123
s1_actor_withdrawal,3,2,3332,2,0.621649548858583,0.6041064858436584,0.4795737500535324
s1_actor_withdrawal,3,3,4990,2,0.5629515094126394,0.5497457385063171,0.6231169160455465
s1_actor_withdrawal,3,4,6655,2,0.556515419465272,0.5451195240020752,0.8059320409083739
s1_actor_withdrawal,3,5,8312,2,0.5524973365638667,0.5449062585830688,1.0344685000600293
s1_actor_withdrawal,4,1,1668,2,0.6661375841076711,0.6528026461601257,0.20761641603894532
s1_actor_withdrawal,4,2,3332,2,0.5853324579734619,0.5674847960472107,0.41959599999245256
s1_actor_withdrawal,4,3,4996,2,0.5632602476758705,0.5544900298118591,0.6095041669905186
s1_actor_withdrawal,4,4,6656,2,0.5577501706205882,0.5492144227027893,0.8180133749265224
s1_actor_withdrawal,4,5,8319,2,0.5562367631503776,0.5469322800636292,1.046206625062041
s1_actor_withdrawal,5,1,1666,2,0.6752418847788139,0.6711700558662415,0.20660383300855756
s1_actor_withdrawal,5,2,3329,2,0.6386473831846822,0.6215987205505371,0.39206429210025817
s1_actor_withdrawal,5,3,4988,2,0.5770381377425878,0.5569247007369995,0.6579537499928847
s1_actor_withdrawal,5,4,6649,2,0.5676866558498503,0.5492881536483765,0.8361431249650195
s1_actor_withdrawal,5,5,8313,2,0.5610062001873752,0.5460127592086792,0.9751294580055401
