scenario,shard,slice,rows_used,epochs,training_bce,validation_bce,runtime_seconds
s4_project_closure,1,1,1436,2,0.6562609577909485,0.6456607580184937,0.27326308307237923
s4_project_closure,1,2,2866,2,0.603229182921168,0.5862997174263,0.4285080829868093
s4_project_closure,1,3,4298,2,0.563949992596798,0.5534629225730896,0.6014590420527384
s4_project_closure,1,4,5738,2,0.5673317469009833,0.551173985004425,0.6781331660458818
s4_project_closure,1,5,7180,2,0.5554842255241692,0.5499876141548157,1.0567339999834076
s4_project_closure,2,1,1455,2,0.6808175386841764,0.6626530885696411,0.25305295805446804
s4_project_closure,2,2,2891,2,0.6125725043846719,0.5942620038986206,0.4563372500706464
s4_project_closure,2,3,4313,2,0.5868122522940968,0.5681485533714294,0.6677884591044858
s4_project_closure,2,4,5753,2,0.5690286499654523,0.5568156242370605,0.7414838750846684
s4_project_closure,2,5,7174,2,0.5633806061671576,0.5530414581298828,0.9792495419969782
s4_project_closure,3,1,1415,2,0.6675372961553162,0.6623514294624329,0.28474220901262015
s4_project_closure,3,2,2844,2,0.6283681121891896,0.611322283744812,0.39596525009255856
s4_project_closure,3,3,4268,2,0.5668730588303399,0.5525324940681458,0.5724797080038115
s4_project_closure,3,4,5695,2,0.5557110034655436,0.5480613112449646,0.6926159579306841
s4_project_closure,3,5,7130,2,0.5546304172921147,0.54744553565979,1.0130130829056725
s4_project_closure,4,1,1402,2,0.6701599587387433,0.6625619530677795,0.17458770901430398
s4_project_closure,4,2,2847,2,0.596112859491972,0.5792837738990784,0.44532070797868073
s4_project_closure,4,3,4286,2,0.5662246277217714,0.5576447248458862,0.5952597090508789
s4_project_closure,4,4,5716,2,0.5600118340521613,0.5517755150794983,0.7737825829535723
s4_project_closure,4,5,7143,2,0.5571000187166362,0.5496919751167297,0.92739133303985
s4_project_closure,5,1,1404,2,0.6793989853301958,0.6741810441017151,0.17063150007743388
s4_project_closure,5,2,2807,2,0.65405289454523,0.6410329341888428,0.3391455420060083
s4_project_closure,5,3,4230,2,0.5887795789867428,0.5648120045661926,0.5568444998934865
s4_project_closure,5,4,5674,2,0.571348026851806,0.5529418587684631,0.7424043340142816
s4_project_closure,5,5,7084,2,0.5639187357373187,0.5484814047813416,0.8953737090341747
