scenario,shard,slice,rows_used,training_bce,contains_forget_rows
s5_retention_expiry,1,1,1450,0.6535131946925459,False
s5_retention_expiry,1,2,2863,0.5992402856765491,False
s5_retention_expiry,1,3,4308,0.5583734593130198,False
s5_retention_expiry,1,4,5722,0.5596866784542435,False
s5_retention_expiry,1,5,7141,0.5472390728994438,False
s5_retention_expiry,2,1,1450,0.6780024897641149,False
s5_retention_expiry,2,2,2872,0.6030074802945915,False
s5_retention_expiry,2,3,4299,0.5796363435531389,False
s5_retention_expiry,2,4,5715,0.5620587830885606,False
s5_retention_expiry,2,5,7128,0.551925046977772,False
s5_retention_expiry,3,1,1428,0.66691351454465,False
s5_retention_expiry,3,2,2865,0.6220830976026844,False
s5_retention_expiry,3,3,4296,0.5614088247608207,False
s5_retention_expiry,3,4,5733,0.554574379626939,False
s5_retention_expiry,3,5,7171,0.5525373717536988,False
s5_retention_expiry,4,1,1424,0.6694815882136312,False
s5_retention_expiry,4,2,2861,0.5988224150833655,False
s5_retention_expiry,4,3,4300,0.5685658440479012,False
s5_retention_expiry,4,4,5724,0.5597706954434233,False
s5_retention_expiry,4,5,7144,0.5553129938788803,False
s5_retention_expiry,5,1,1414,0.6763574128609567,False
s5_retention_expiry,5,2,2839,0.646472136732473,False
s5_retention_expiry,5,3,4250,0.5801743373309864,False
s5_retention_expiry,5,4,5678,0.5638013793658774,False
s5_retention_expiry,5,5,7118,0.5592911661458371,False
