scenario,shard,slice,rows_used,epochs,training_bce,validation_bce,runtime_seconds
s5_retention_expiry,1,1,1450,2,0.6535131946925459,0.6413423418998718,0.21990625001490116
s5_retention_expiry,1,2,2863,2,0.5992402856765491,0.5827656984329224,0.35079491697251797
s5_retention_expiry,1,3,4308,2,0.5583734593130198,0.551452100276947,0.53159683290869
s5_retention_expiry,1,4,5722,2,0.5596866784542435,0.5486394166946411,0.6782102501019835
s5_retention_expiry,1,5,7141,2,0.5472390728994438,0.5471595525741577,0.9194524579215795
s5_retention_expiry,2,1,1450,2,0.6780024897641149,0.660056471824646,0.19904695905279368
s5_retention_expiry,2,2,2872,2,0.6030074802945915,0.5913642644882202,0.3594922909978777
s5_retention_expiry,2,3,4299,2,0.5796363435531389,0.5674160122871399,0.5120382918976247
s5_retention_expiry,2,4,5715,2,0.5620587830885606,0.5569571256637573,0.7886548340320587
s5_retention_expiry,2,5,7128,2,0.551925046977772,0.5533199906349182,0.9166671670973301
s5_retention_expiry,3,1,1428,2,0.66691351454465,0.6593489646911621,0.19966016605030745
s5_retention_expiry,3,2,2865,2,0.6220830976026844,0.6024749279022217,0.3551236669300124
s5_retention_expiry,3,3,4296,2,0.5614088247608207,0.5505415797233582,0.552253458998166
s5_retention_expiry,3,4,5733,2,0.554574379626939,0.5473033785820007,0.7721421659225598
s5_retention_expiry,3,5,7171,2,0.5525373717536988,0.5464667081832886,0.8988679170142859
s5_retention_expiry,4,1,1424,2,0.6694815882136312,0.6606389880180359,0.1778690000064671
s5_retention_expiry,4,2,2861,2,0.5988224150833655,0.5787402987480164,0.4467233329778537
s5_retention_expiry,4,3,4300,2,0.5685658440479012,0.55636066198349,0.596033125068061
s5_retention_expiry,4,4,5724,2,0.5597706954434233,0.5497506856918335,0.7099990419810638
s5_retention_expiry,4,5,7144,2,0.5553129938788803,0.5471275448799133,0.9299845419591293
s5_retention_expiry,5,1,1414,2,0.6763574128609567,0.6733588576316833,0.20956729201134294
s5_retention_expiry,5,2,2839,2,0.646472136732473,0.6374858021736145,0.3796215410111472
s5_retention_expiry,5,3,4250,2,0.5801743373309864,0.5646567344665527,0.5175624589901417
s5_retention_expiry,5,4,5678,2,0.5638013793658774,0.5518635511398315,0.7288440829142928
s5_retention_expiry,5,5,7118,2,0.5592911661458371,0.5495188236236572,0.9538019159808755
