scenario,comparison_type,reference_model,forget_set_row_count,ks_p_value,ks_statistic,probability_mae,prediction_agreement,absolute_bce_difference,absolute_true_label_confidence_difference,truth_ratio_definition,seed,fixed_threshold
Actor withdrawal — 1%,cross_method_vs_monolithic_full_retraining,Monolithic full-retraining external reference,415,0.169587295504896,0.07710843373493977,0.016784633,0.9710843373493976,0.0020291949721009117,0.0080230045390417,"(1 - p_correct) / p_correct, where p_correct = y*p + (1-y)*(1-p)",42,0.32
Submission withdrawal — 5%,cross_method_vs_monolithic_full_retraining,Monolithic full-retraining external reference,2137,0.07960728969768804,0.03883949461862424,0.020582128,0.9611605053813758,0.0018623040200708152,0.005042831617842025,"(1 - p_correct) / p_correct, where p_correct = y*p + (1-y)*(1-p)",42,0.32
Agency withdrawal — 10%,cross_method_vs_monolithic_full_retraining,Monolithic full-retraining external reference,4224,0.06613648354002198,0.028409090909090908,0.023844305,0.9498106060606061,0.00043805322337509,0.0028235021825160356,"(1 - p_correct) / p_correct, where p_correct = y*p + (1-y)*(1-p)",42,0.32
Project closure — 15%,cross_method_vs_monolithic_full_retraining,Monolithic full-retraining external reference,6289,3.4026239419242567e-06,0.04595325170933376,0.024682593,0.9610430911114645,0.0013511276134509087,0.005663332634656237,"(1 - p_correct) / p_correct, where p_correct = y*p + (1-y)*(1-p)",42,0.32
Retention expiry — 15%,cross_method_vs_monolithic_full_retraining,Monolithic full-retraining external reference,6298,4.699592592428063e-07,0.04922197523023182,0.02515337,0.9563353445538266,0.0011100914830692865,0.006215126535811799,"(1 - p_correct) / p_correct, where p_correct = y*p + (1-y)*(1-p)",42,0.32
Actor withdrawal — 1%,method_matched_vs_clean_retain_only_sisa,Clean retain-only SISA method-matched reference,415,1.0,0.0,0.0,1.0,0.0,0.0,"(1 - p_correct) / p_correct, where p_correct = y*p + (1-y)*(1-p)",42,0.32
Submission withdrawal — 5%,method_matched_vs_clean_retain_only_sisa,Clean retain-only SISA method-matched reference,2137,1.0,0.0,0.0,1.0,0.0,0.0,"(1 - p_correct) / p_correct, where p_correct = y*p + (1-y)*(1-p)",42,0.32
Agency withdrawal — 10%,method_matched_vs_clean_retain_only_sisa,Clean retain-only SISA method-matched reference,4224,1.0,0.0,0.0,1.0,0.0,0.0,"(1 - p_correct) / p_correct, where p_correct = y*p + (1-y)*(1-p)",42,0.32
Project closure — 15%,method_matched_vs_clean_retain_only_sisa,Clean retain-only SISA method-matched reference,6289,1.0,0.0,0.0,1.0,0.0,0.0,"(1 - p_correct) / p_correct, where p_correct = y*p + (1-y)*(1-p)",42,0.32
Retention expiry — 15%,method_matched_vs_clean_retain_only_sisa,Clean retain-only SISA method-matched reference,6298,1.0,0.0,0.0,1.0,0.0,0.0,"(1 - p_correct) / p_correct, where p_correct = y*p + (1-y)*(1-p)",42,0.32
