shard,affected,earliest_affected_slice,replayed_slices,replayed_rows,training_row_exposures,source_checkpoint_hash,source_checkpoint_kind,final_checkpoint_hash,scenario
1,True,1,5,24962,49924,dc45e5660873c2a06950fcb3b3d068595a28219689785cd8f14b4aa73c853ef7,reinitialization,85caede6ca2cd2d2ea759ffccbd4729c24c6c075e8a37c68722018d297042280,s1_actor_withdrawal
2,True,1,5,24965,49930,d513949bd687c4585e08eae2a7d70b204c77ea80454fff123c74328b29abcd6d,reinitialization,96a440414847b7f7a9d7a099d9204802e8479606009e8fdbfdbd2a6abd42d724,s1_actor_withdrawal
3,True,1,5,24954,49908,a6f6d2036710b3a92f18359e921f67c10d3fe7bf96e21427017e5028a4c60685,reinitialization,36b782b7635fd13fa23c1e50b6d7be5f9354c1b22d07b973bab3a6d091695d5a,s1_actor_withdrawal
4,True,1,5,24971,49942,31057e312a5740d64d7e9b7c1ccfd38d6b463ef0192e342f42c80a508b025888,reinitialization,add4437e6dc66ead837f7484e58aec9db8c6b26c99cc4c13ce84614981ab9380,s1_actor_withdrawal
5,True,1,5,24945,49890,aa0556849c0eec3859ba20c3742fceddd135dd5d83a854bc995a91eb7f198531,reinitialization,70b90452c8473d579edd5e0d26a89a1b585f18e98e83f2861c8a85beafb615c6,s1_actor_withdrawal
1,True,1,5,23850,47700,dc45e5660873c2a06950fcb3b3d068595a28219689785cd8f14b4aa73c853ef7,reinitialization,b91414b2c308a51bbff1b8542c9b3d395427e35d129a5cedcdee085e44d180ad,s2_submission_withdrawal
2,True,1,5,23801,47602,d513949bd687c4585e08eae2a7d70b204c77ea80454fff123c74328b29abcd6d,reinitialization,b73af1b2982171c5eab2a5ec4579719bc95a473496fdf01556f97b7c83e20c43,s2_submission_withdrawal
3,True,1,5,23896,47792,a6f6d2036710b3a92f18359e921f67c10d3fe7bf96e21427017e5028a4c60685,reinitialization,9a190250583c5670891533b5373fcff68ea8c8aa7c67c536dde9cac017842d40,s2_submission_withdrawal
4,True,1,5,23904,47808,31057e312a5740d64d7e9b7c1ccfd38d6b463ef0192e342f42c80a508b025888,reinitialization,417c334dd405e8062f02310ddc73b8ba654b6946049bb3b7ac20564ff104e824,s2_submission_withdrawal
5,True,1,5,23896,47792,aa0556849c0eec3859ba20c3742fceddd135dd5d83a854bc995a91eb7f198531,reinitialization,25717f710b9a3874c1a8bb31f8dba20cfb08734a94f08fb464af4724c74db222,s2_submission_withdrawal
1,True,1,5,22632,45264,dc45e5660873c2a06950fcb3b3d068595a28219689785cd8f14b4aa73c853ef7,reinitialization,4a27d03f08c0a960b5c7a1004f74e46d9cd2a6fd93d87334da487f13f4fd18b4,s3_agency_withdrawal
2,True,1,5,22606,45212,d513949bd687c4585e08eae2a7d70b204c77ea80454fff123c74328b29abcd6d,reinitialization,4d21144645efaa4ab4163b711a7d533c9c76ed8b9ee43f4fc1cbf207a50d44e2,s3_agency_withdrawal
3,True,1,5,22642,45284,a6f6d2036710b3a92f18359e921f67c10d3fe7bf96e21427017e5028a4c60685,reinitialization,62abfa06fe3e7d6630d7569e9c157742b5342dcd5c5cecb01097ebb14d8e9bd9,s3_agency_withdrawal
4,True,1,5,22659,45318,31057e312a5740d64d7e9b7c1ccfd38d6b463ef0192e342f42c80a508b025888,reinitialization,4fe10f79020b12f0ec405ec9f7b7c729ed562449338bf9a5004523647f86cccd,s3_agency_withdrawal
5,True,1,5,22628,45256,aa0556849c0eec3859ba20c3742fceddd135dd5d83a854bc995a91eb7f198531,reinitialization,93a2458e0bea18c6e7e0d25b4b81ca07bb5025a475cc274cc0a648f2572d825e,s3_agency_withdrawal
1,True,1,5,21518,43036,dc45e5660873c2a06950fcb3b3d068595a28219689785cd8f14b4aa73c853ef7,reinitialization,4fd370f7837cfe6bee1f6864b9a44758cd329b0b16c6b83b35322bb4e0103b96,s4_project_closure
2,True,1,5,21586,43172,d513949bd687c4585e08eae2a7d70b204c77ea80454fff123c74328b29abcd6d,reinitialization,466e75c5f9a820e478e4911f7861692670ffe95c41f4095cb0cfcf09a6a6d093,s4_project_closure
3,True,1,5,21352,42704,a6f6d2036710b3a92f18359e921f67c10d3fe7bf96e21427017e5028a4c60685,reinitialization,3abd8ff87d825c04d17ed9dfeac12a366b36433efb1cf3998bd210ee6d70afb8,s4_project_closure
4,True,1,5,21394,42788,31057e312a5740d64d7e9b7c1ccfd38d6b463ef0192e342f42c80a508b025888,reinitialization,982932d8309d2ddc45ad189988235bce94a0438d639379d6426342a85e25f990,s4_project_closure
5,True,1,5,21199,42398,aa0556849c0eec3859ba20c3742fceddd135dd5d83a854bc995a91eb7f198531,reinitialization,fcf35797e9dd8dddbd45be3d37c0ca161320c7be30944e93fd15d90332fe5b24,s4_project_closure
1,True,1,5,21484,42968,dc45e5660873c2a06950fcb3b3d068595a28219689785cd8f14b4aa73c853ef7,reinitialization,89d80e55120ef7b21e4d57072bff1056d59b57b433f606b1af9af2a7e3350de0,s5_retention_expiry
2,True,1,5,21464,42928,d513949bd687c4585e08eae2a7d70b204c77ea80454fff123c74328b29abcd6d,reinitialization,28ed4de8497484a1ca79086c09968f96fc2ed1b10b426a4d40a1fac289a7aacf,s5_retention_expiry
3,True,1,5,21493,42986,a6f6d2036710b3a92f18359e921f67c10d3fe7bf96e21427017e5028a4c60685,reinitialization,6dcd2a205bcf3400f959fc94977fbf9c6dc4d0b468e2b8639076ae727cad5526,s5_retention_expiry
4,True,1,5,21453,42906,31057e312a5740d64d7e9b7c1ccfd38d6b463ef0192e342f42c80a508b025888,reinitialization,d81e311e8898eb8823f9a1926ef82cd81bcaf453bf6af84080e70c9ae7005a57,s5_retention_expiry
5,True,1,5,21299,42598,aa0556849c0eec3859ba20c3742fceddd135dd5d83a854bc995a91eb7f198531,reinitialization,16b0c87bb7b8c2cde4d7b6dcd02c05747b6bbc538dac33561fe2036a7d293571,s5_retention_expiry
