shard,slice,rows,callback_rate,unique_actor_role_pairs,repeated_actor_role_pairs,additional_round_rows
1,1,1680,0.3613095238095238,1621,49,59
1,2,1680,0.3613095238095238,1616,55,64
1,3,1680,0.3607142857142857,1617,53,63
1,4,1680,0.3607142857142857,1610,55,70
1,5,1680,0.3607142857142857,1620,51,60
2,1,1680,0.3613095238095238,1626,46,54
2,2,1680,0.3613095238095238,1611,54,69
2,3,1680,0.3613095238095238,1604,61,76
2,4,1680,0.3607142857142857,1619,50,61
2,5,1680,0.3607142857142857,1603,59,77
3,1,1680,0.3607142857142857,1595,69,85
3,2,1680,0.3607142857142857,1601,58,79
3,3,1680,0.3613095238095238,1609,57,71
3,4,1680,0.3613095238095238,1608,58,72
3,5,1680,0.3613095238095238,1612,58,68
4,1,1680,0.3607142857142857,1593,69,87
4,2,1680,0.3607142857142857,1618,55,62
4,3,1680,0.3613095238095238,1610,58,70
4,4,1680,0.3613095238095238,1608,64,72
4,5,1680,0.3613095238095238,1612,57,68
5,1,1680,0.3607142857142857,1595,69,85
5,2,1680,0.3607142857142857,1596,70,84
5,3,1680,0.3613095238095238,1608,60,72
5,4,1680,0.3613095238095238,1617,53,63
5,5,1680,0.3613095238095238,1598,70,82
