epoch,retain_training_bce,retained_validation_bce,retained_validation_pr_auc,forget_loss,ks_d,probability_mae,elapsed_seconds,scenario
1,0.08876703824344422,0.09157146365112728,0.28571195617276074,0.06054581290160391,0.06428571428571428,0.0043913466,1.738193874945864,s1_recipient_withdrawal
2,0.08871889196304016,0.09128829411665598,0.28871284732524394,0.06136621103105513,0.030952380952380953,0.0040025692,3.017490499885753,s1_recipient_withdrawal
3,0.0882169589084923,0.09118740074502098,0.29500699377526696,0.06048734049862838,0.06666666666666667,0.004436474,4.297354415990412,s1_recipient_withdrawal
4,0.08796777846134873,0.09132339846425586,0.2903212561564929,0.06075803737453135,0.04523809523809524,0.0042185457,5.589358165860176,s1_recipient_withdrawal
5,0.08812715284823798,0.09149551173713472,0.2878050647606044,0.06243176806592037,0.030952380952380953,0.0048644124,6.988741582958028,s1_recipient_withdrawal
6,0.08790117514827264,0.09159226067198648,0.28874722042656775,0.060898716099988974,0.06428571428571428,0.004152319,8.450953166000545,s1_recipient_withdrawal
7,0.0881259047136449,0.09177860985861884,0.2887501152273374,0.0628175327608995,0.02619047619047619,0.0051379455,9.730016749817878,s1_recipient_withdrawal
1,0.09059996479734742,0.09162623227967157,0.28655974523308286,0.05298305768073568,0.07714285714285714,0.0037871897,1.4605093749705702,s2_living_donor_withdrawal
2,0.09018333292993387,0.09130894205305311,0.2893749900251764,0.05218505694668247,0.08238095238095237,0.0037961456,2.8138196668587625,s2_living_donor_withdrawal
3,0.08997436022250575,0.09178781633906895,0.283665675653216,0.05264326853132069,0.0680952380952381,0.003900691,4.167829375015572,s2_living_donor_withdrawal
4,0.08953153216450435,0.09138526644309362,0.28725825059276155,0.05280841092812734,0.0880952380952381,0.003787478,5.5593344590161,s2_living_donor_withdrawal
5,0.08994754060617366,0.09138874228133095,0.28748652138841213,0.05324741454813082,0.09571428571428571,0.0039133797,6.947577999904752,s2_living_donor_withdrawal
6,0.08972250532349549,0.09203650624222226,0.2849860287927825,0.053714469029096934,0.03666666666666667,0.004678069,8.252784000011161,s2_living_donor_withdrawal
1,0.0883644666806573,0.09146453455274488,0.29540989836071374,0.0912500377723257,0.008809523809523809,0.0049976762,1.3328756659757346,s3_hospital_withdrawal
2,0.08778601718248513,0.09171007613708944,0.29631360079110475,0.09143471811838784,0.04071428571428572,0.0060619675,2.574483208125457,s3_hospital_withdrawal
3,0.08771802025812643,0.09145725809129668,0.29595549878353794,0.09175815553208524,0.02214285714285714,0.0055457186,3.9242951250635087,s3_hospital_withdrawal
4,0.0877981386109004,0.09208467798468507,0.2929376480597655,0.09186105772726055,0.03166666666666667,0.006028955,5.252579333027825,s3_hospital_withdrawal
5,0.087512604310399,0.09194363666537367,0.2939385713135887,0.0920198567504946,0.07523809523809524,0.006880521,6.573682666057721,s3_hospital_withdrawal
1,0.08766148235747423,0.09376649428296972,0.2885072340809727,0.09751124219089104,0.055,0.0055902186,1.368640375090763,s4_invalid_consent
2,0.08719728881167987,0.09435214714135652,0.28410724169707535,0.09766881999728125,0.0419047619047619,0.0060727117,2.62017404101789,s4_invalid_consent
3,0.08691934650379514,0.09448779685997669,0.2850226238955547,0.09779870528031782,0.02880952380952381,0.005474057,3.8110268749296665,s4_invalid_consent
4,0.08696495737821337,0.0941227842554634,0.2845859634029035,0.0979826131525218,0.016666666666666666,0.005317777,5.030071499990299,s4_invalid_consent
5,0.08698996475606999,0.09414326034210346,0.28340811194286736,0.09817871882968827,0.014523809523809524,0.0052508055,6.281848374987021,s4_invalid_consent
1,0.08913250707027291,0.08993046539656717,0.28469914927698053,0.08391183717221117,0.04079365079365079,0.0070350016,1.259578833123669,s5_retention_expiry
2,0.08875690557542636,0.08972015195484598,0.2860576985906999,0.08446416160816383,0.025873015873015874,0.005675475,2.417007500072941,s5_retention_expiry
3,0.08874454044327348,0.08981329786010002,0.2863854254494032,0.08464887145271134,0.010158730158730159,0.0061020274,3.5739569580182433,s5_retention_expiry
4,0.08885872945314696,0.08993894692707656,0.2869761717896192,0.08467525110938523,0.010634920634920634,0.006290196,4.800693541066721,s5_retention_expiry
5,0.08842417381474284,0.09045388245508307,0.2786097929814278,0.08555852673630943,0.013174603174603174,0.0063737025,5.981461625080556,s5_retention_expiry
6,0.0881762662830473,0.09047316282461489,0.2782054639610119,0.08528187678553578,0.03571428571428571,0.0067564403,7.130632708081976,s5_retention_expiry
