scenario,method,subset,row_count,ks_d_before,ks_d_after,probability_mae_before,probability_mae_after
s1_recipient_withdrawal,retain_set_finetuning,all,420,0.030952380952380953,0.06666666666666667,0.003571422304958105,0.004436473827809095
s1_recipient_withdrawal,retain_set_finetuning,target_0,412,0.03155339805825243,0.06796116504854369,0.0031336236279457808,0.003917754627764225
s1_recipient_withdrawal,retain_set_finetuning,target_1,8,,,,
s2_living_donor_withdrawal,retain_set_finetuning,all,2100,0.07238095238095238,0.08238095238095237,0.003337122267112136,0.0037961455527693033
s2_living_donor_withdrawal,retain_set_finetuning,target_0,2072,0.07335907335907337,0.0834942084942085,0.0030684901867061853,0.003466957714408636
s2_living_donor_withdrawal,retain_set_finetuning,target_1,28,0.10714285714285714,0.10714285714285714,0.02321590669453144,0.028156045824289322
s3_hospital_withdrawal,retain_set_finetuning,all,4200,0.026904761904761904,0.008809523809523809,0.00506889121606946,0.004997676238417625
s3_hospital_withdrawal,retain_set_finetuning,target_0,4069,0.0277709510936348,0.009093143278446793,0.004078398924320936,0.003951769322156906
s3_hospital_withdrawal,retain_set_finetuning,target_1,131,0.0916030534351145,0.0916030534351145,0.03583464026451111,0.03748466446995735
s4_invalid_consent,retain_set_finetuning,all,4200,0.025,0.055,0.005408147349953651,0.005590218584984541
s4_invalid_consent,retain_set_finetuning,target_0,4067,0.025817555938037865,0.05679862306368331,0.004864418879151344,0.0051482063718140125
s4_invalid_consent,retain_set_finetuning,target_1,133,0.06766917293233082,0.06015037593984962,0.02203476056456566,0.01910649985074997
s5_retention_expiry,retain_set_finetuning,all,6300,0.016031746031746032,0.025873015873015874,0.005738104693591595,0.005675475113093853
s5_retention_expiry,retain_set_finetuning,target_0,6124,0.016492488569562376,0.026616590463749184,0.004351503681391478,0.004434189293533564
s5_retention_expiry,retain_set_finetuning,target_1,176,0.11363636363636363,0.11931818181818182,0.05398550257086754,0.048866573721170425
