scenario,model,mean,std
s1_recipient_withdrawal,full_retraining,0.4973723072562358,0.01252709287568329
s1_recipient_withdrawal,original,0.4969606009070294,0.013209926866987914
s1_recipient_withdrawal,retain_set_finetuning,0.49704903628117914,0.012987220595996805
s2_living_donor_withdrawal,full_retraining,0.498436768707483,0.0035576766963794216
s2_living_donor_withdrawal,original,0.49820003401360546,0.0035442362375956615
s2_living_donor_withdrawal,retain_set_finetuning,0.4984220975056689,0.003547933824782792
s3_hospital_withdrawal,full_retraining,0.5072797619047619,0.002925733017738468
s3_hospital_withdrawal,original,0.5075372831632653,0.002889699289259404
s3_hospital_withdrawal,retain_set_finetuning,0.5077213123582767,0.002968795339070959
s4_invalid_consent,full_retraining,0.49711227607709746,0.00427454647816698
s4_invalid_consent,original,0.5010195606575965,0.004273712820440431
s4_invalid_consent,retain_set_finetuning,0.5002892899659864,0.004307350610062092
s5_retention_expiry,full_retraining,0.5085625629881582,0.003035382904375316
s5_retention_expiry,original,0.5110660985134794,0.003114434110076011
s5_retention_expiry,retain_set_finetuning,0.5121716861929957,0.0030729839764829865
