epoch,training_bce,retained_validation_bce
1,0.18733169713524545,0.0991577971049682
2,0.10160314235804963,0.09489996310396977
3,0.09830061475101973,0.09385488996995944
4,0.09721515151716414,0.09298051901447935
5,0.09590315091676739,0.0930397687547551
6,0.09465769892062793,0.0923893389022239
7,0.09411192037144295,0.09226821229898546
8,0.09336538083246108,0.09227062433741422
9,0.09339741740657502,0.09178502275874434
10,0.09277709450124025,0.0921729855850602
11,0.09197038595582925,0.09141526956919693
12,0.09170266016858633,0.09045104043382227
13,0.09161158261512842,0.09087461307412739
14,0.09140406537623633,0.09112055831794798
15,0.09074078333060615,0.09082651090337232
16,0.09034096692206145,0.09064045112081034
17,0.09084497699133154,0.09080875552765182
18,0.09038237310006839,0.09125716515419267
