scenario,metric,comparison,point_estimate,ci_lower,ci_upper,valid_repetitions
s1_recipient_withdrawal,pr_auc,original,0.28185606663871515,0.21342163515836932,0.34697810834584847,500
s1_recipient_withdrawal,pr_auc,full_retraining,0.2882462767157738,0.22094610274692042,0.35308003098894014,500
s1_recipient_withdrawal,pr_auc,full_minus_original,0.0063902100770586445,-0.004865833772005696,0.018811715879181994,500
s1_recipient_withdrawal,recall,original,0.6129032258064516,0.5496884363372954,0.6782608695652174,500
s1_recipient_withdrawal,recall,full_retraining,0.6129032258064516,0.5426174088365141,0.6792589332863932,500
s1_recipient_withdrawal,recall,full_minus_original,0.0,-0.026865024139649144,0.024963689179375453,500
s2_living_donor_withdrawal,pr_auc,original,0.28185606663871515,0.21865621126424695,0.3481487069026366,500
s2_living_donor_withdrawal,pr_auc,full_retraining,0.2926999950902171,0.228957970818204,0.36086229659785785,500
s2_living_donor_withdrawal,pr_auc,full_minus_original,0.01084392845150195,-0.0028060722728528854,0.02369955656903081,500
s2_living_donor_withdrawal,recall,original,0.6129032258064516,0.5476337175333298,0.6782317581240328,500
s2_living_donor_withdrawal,recall,full_retraining,0.625,0.5623142414860681,0.6884150896414343,500
s2_living_donor_withdrawal,recall,full_minus_original,0.012096774193548376,-0.01967678405931416,0.04169992757704994,500
s3_hospital_withdrawal,pr_auc,original,0.2688204889778076,0.20707365387028295,0.33492963120613684,500
s3_hospital_withdrawal,pr_auc,full_retraining,0.26531856068046694,0.20438841838265318,0.3334636461960054,500
s3_hospital_withdrawal,pr_auc,full_minus_original,-0.0035019282973406396,-0.0202225435826743,0.01477167578374439,500
s3_hospital_withdrawal,recall,original,0.6308411214953271,0.5662398373983739,0.6968313480673555,500
s3_hospital_withdrawal,recall,full_retraining,0.5887850467289719,0.5292732788182537,0.6463711033392743,500
s3_hospital_withdrawal,recall,full_minus_original,-0.0420560747663552,-0.0827927837129611,-0.009848319378716162,500
s4_invalid_consent,pr_auc,original,0.28190973198272923,0.22262717881581334,0.35299262820676824,500
s4_invalid_consent,pr_auc,full_retraining,0.2883878668281908,0.2324521601347194,0.36246585313856167,500
s4_invalid_consent,pr_auc,full_minus_original,0.006478134845461558,-0.007388738197954721,0.01959855574003335,500
s4_invalid_consent,recall,original,0.6100917431192661,0.5463387000596304,0.6696139791634271,500
s4_invalid_consent,recall,full_retraining,0.6055045871559633,0.5398449920508744,0.6696858617300131,500
s4_invalid_consent,recall,full_minus_original,-0.004587155963302725,-0.02900361821798477,0.018104013104013123,500
s5_retention_expiry,pr_auc,original,0.2696475244683515,0.20402916894216494,0.33701258282791274,500
s5_retention_expiry,pr_auc,full_retraining,0.27214121530807034,0.20569582033311054,0.34098335802401825,500
s5_retention_expiry,pr_auc,full_minus_original,0.002493690839718843,-0.014279839291755938,0.018615768999855033,500
s5_retention_expiry,recall,original,0.6037735849056604,0.5328109452736318,0.6648648648648648,500
s5_retention_expiry,recall,full_retraining,0.5613207547169812,0.4953450854700855,0.629147472184267,500
s5_retention_expiry,recall,full_minus_original,-0.04245283018867918,-0.08316048034934498,-0.004853305054789692,500
