scenario,method,subset,row_count,ks_d_before,ks_d_after,probability_mae_before,probability_mae_after
s1_recipient_withdrawal,gradient_ascent,all,420,0.030952380952380953,0.05476190476190476,0.003571422304958105,0.004080826882272959
s1_recipient_withdrawal,gradient_ascent,target_0,412,0.03155339805825243,0.055825242718446605,0.0031336236279457808,0.0036271593999117613
s1_recipient_withdrawal,gradient_ascent,target_1,8,,,,
s2_living_donor_withdrawal,gradient_ascent,all,2100,0.07238095238095238,0.043333333333333335,0.003337122267112136,0.006458959076553583
s2_living_donor_withdrawal,gradient_ascent,target_0,2072,0.07335907335907337,0.04391891891891892,0.0030684901867061853,0.005783021915704012
s2_living_donor_withdrawal,gradient_ascent,target_1,28,0.10714285714285714,0.17857142857142858,0.02321590669453144,0.056478340178728104
s3_hospital_withdrawal,gradient_ascent,all,4200,0.026904761904761904,0.07904761904761905,0.00506889121606946,0.008148514665663242
s3_hospital_withdrawal,gradient_ascent,target_0,4069,0.0277709510936348,0.08159252887687392,0.004078398924320936,0.007096771616488695
s3_hospital_withdrawal,gradient_ascent,target_1,131,0.0916030534351145,0.1297709923664122,0.03583464026451111,0.0408167690038681
s4_invalid_consent,gradient_ascent,all,4200,0.025,0.11261904761904762,0.005408147349953651,0.010461325757205486
s4_invalid_consent,gradient_ascent,target_0,4067,0.025817555938037865,0.11630194246373247,0.004864418879151344,0.009523731656372547
s4_invalid_consent,gradient_ascent,target_1,133,0.06766917293233082,0.10526315789473684,0.02203476056456566,0.03913193196058273
s5_retention_expiry,gradient_ascent,all,6300,0.016031746031746032,0.05015873015873016,0.005738104693591595,0.0057876817882061005
s5_retention_expiry,gradient_ascent,target_0,6124,0.016492488569562376,0.051600261267145654,0.004351503681391478,0.005131596699357033
s5_retention_expiry,gradient_ascent,target_1,176,0.11363636363636363,0.056818181818181816,0.05398550257086754,0.028616447001695633
