scenario,model,mean,std
s1_recipient_withdrawal,full_retraining,0.4973723072562358,0.01252709287568329
s1_recipient_withdrawal,gradient_ascent,0.4961955782312925,0.013232982491899409
s1_recipient_withdrawal,original,0.4969606009070294,0.013209926866987914
s2_living_donor_withdrawal,full_retraining,0.498436768707483,0.0035576766963794216
s2_living_donor_withdrawal,gradient_ascent,0.49893182539682535,0.0034691111353997205
s2_living_donor_withdrawal,original,0.49820003401360546,0.0035442362375956615
s3_hospital_withdrawal,full_retraining,0.5072797619047619,0.002925733017738468
s3_hospital_withdrawal,gradient_ascent,0.5066616680839002,0.0031268164594109708
s3_hospital_withdrawal,original,0.5075372831632653,0.002889699289259404
s4_invalid_consent,full_retraining,0.49711227607709746,0.00427454647816698
s4_invalid_consent,gradient_ascent,0.5000311904761905,0.004308116506803925
s4_invalid_consent,original,0.5010195606575965,0.004273712820440431
s5_retention_expiry,full_retraining,0.5085625629881582,0.003035382904375316
s5_retention_expiry,gradient_ascent,0.5116526051902242,0.0031573207714015302
s5_retention_expiry,original,0.5110660985134794,0.003114434110076011
