scenario,model,retained_test_rows,threshold,auroc,pr_auc,brier_score,bce,f1,balanced_accuracy,precision,recall,specificity,tn,fp,fn,tp
s1_recipient_withdrawal,original,9000,0.07,0.8784945929409683,0.28185606663871515,0.022991789128271618,0.09306326627518845,0.2809611829944547,0.7674890900513063,0.18225419664268586,0.6129032258064516,0.9220749542961609,8070,682,96,152
s1_recipient_withdrawal,gradient_ascent,9000,0.07,0.8782352052249808,0.2807612870378431,0.023071704649340517,0.09328274694884547,0.25774058577405856,0.7651799404375774,0.16261879619852165,0.6209677419354839,0.909392138939671,7959,793,94,154
s1_recipient_withdrawal,full_retraining,9000,0.07,0.8774381523854455,0.28824627671577385,0.022884932404322524,0.0928962659293797,0.27711941659070194,0.7666321430677596,0.1790341578327444,0.6129032258064516,0.9203610603290676,8055,697,96,152
s2_living_donor_withdrawal,original,9000,0.07,0.8784945929409683,0.28185606663871515,0.022991789128271618,0.09306326627518845,0.2809611829944547,0.7674890900513063,0.18225419664268586,0.6129032258064516,0.9220749542961609,8070,682,96,152
s2_living_donor_withdrawal,gradient_ascent,9000,0.07,0.8781287779383147,0.2807022094748848,0.02341828881300605,0.09441353915636742,0.24063400576368876,0.7811062540543727,0.14649122807017545,0.6733870967741935,0.8888254113345521,7779,973,81,167
s2_living_donor_withdrawal,full_retraining,9000,0.07,0.8762393480568498,0.29269999509021716,0.022850027306251817,0.09294873627124574,0.26747195858498707,0.7693098720292504,0.17014270032930845,0.625,0.9136197440585009,7996,756,93,155
s3_hospital_withdrawal,original,8100,0.07,0.8854695769860702,0.2688204889778076,0.02225820246846235,0.08944024207865632,0.2774922918807811,0.7758567768267911,0.17786561264822134,0.6308411214953271,0.9208724321582551,7262,624,79,135
s3_hospital_withdrawal,gradient_ascent,8100,0.07,0.8808346033785177,0.25287262905540114,0.02265986369604249,0.0924681141380806,0.28613138686131384,0.7053224571641215,0.208067940552017,0.45794392523364486,0.952700989094598,7513,373,116,98
s3_hospital_withdrawal,full_retraining,8100,0.07,0.8799665087307211,0.26531856068046694,0.022323366201643966,0.09037167530151681,0.2571428571428571,0.7538142834456425,0.16449086161879894,0.5887850467289719,0.918843520162313,7246,640,88,126
s4_invalid_consent,original,8100,0.07,0.8739492374915322,0.28190973198272923,0.022436402060873415,0.091838039362066,0.2802950474183351,0.7671113371774965,0.18194254445964433,0.6100917431192661,0.924130931235727,7284,598,85,133
s4_invalid_consent,gradient_ascent,8100,0.07,0.8731763698032214,0.27874900775935696,0.022656836164756226,0.09386943146416382,0.3,0.7169104381368302,0.21784232365145229,0.481651376146789,0.9521695001268714,7505,377,113,105
s4_invalid_consent,full_retraining,8100,0.07,0.8732270019484647,0.2883878668281908,0.022474720592057584,0.09196557655774797,0.2613861386138614,0.760884747269938,0.16666666666666666,0.6055045871559633,0.9162649073839128,7222,660,86,132
s5_retention_expiry,original,7692,0.07,0.8753487286852992,0.2696475244683515,0.02328167100169426,0.09431018756935469,0.2752688172043011,0.7624482897790335,0.17827298050139276,0.6037735849056604,0.9211229946524064,6890,590,84,128
s5_retention_expiry,gradient_ascent,7692,0.07,0.8750145040863687,0.26937380425832624,0.023331741431126544,0.09533659003348194,0.2774725274725275,0.7104669054585814,0.19573643410852712,0.47641509433962265,0.94451871657754,7065,415,111,101
s5_retention_expiry,full_retraining,7692,0.07,0.8698655534254868,0.27214121530807034,0.023234672297364485,0.09497093636853567,0.26269315673289184,0.7422245484814852,0.17146974063400577,0.5613207547169812,0.9231283422459893,6905,575,93,119
