shard,slice,slice_rows,actual_row_visits,training_bce
0,1,1680,5040,0.4980815823116
0,2,1680,5040,0.2295001292276004
0,3,1680,5040,0.14122390061143844
0,4,1680,5040,0.07510395229808868
0,5,1680,5040,0.10421116091902294
1,1,1680,5040,0.5307654016547733
1,2,1680,5040,0.22248761556924335
1,3,1680,5040,0.12550085754621595
1,4,1680,5040,0.15795022481017643
1,5,1680,5040,0.12941779309795015
2,1,1680,5040,0.6353925281100803
2,2,1680,5040,0.3461711726491413
2,3,1680,5040,0.13602455282022083
2,4,1680,5040,0.1327916927753933
2,5,1680,5040,0.11369372090649983
3,1,1680,5040,0.6743351226761227
3,2,1680,5040,0.35360061592525904
3,3,1680,5040,0.14461500885940734
3,4,1680,5040,0.1287904805607266
3,5,1680,5040,0.08707906433514186
4,1,1680,5040,0.7208577545862349
4,2,1680,5040,0.5665597706560105
4,3,1680,5040,0.3294442106807043
4,4,1680,5040,0.15218566921022203
4,5,1680,5040,0.13082457359821079
