scenario,shard,slice,slice_rows,actual_row_visits,training_bce
s1_recipient_withdrawal,0,1,1668,5004,0.5003347747045741
s1_recipient_withdrawal,0,2,1662,4986,0.23885057348648897
s1_recipient_withdrawal,0,3,1680,5040,0.14336138850166685
s1_recipient_withdrawal,0,4,1644,4932,0.07531804396617563
s1_recipient_withdrawal,0,5,1638,4914,0.10482505057272408
s1_recipient_withdrawal,1,1,1668,5004,0.5330643249596718
s1_recipient_withdrawal,1,2,1668,5004,0.22516187387023517
s1_recipient_withdrawal,1,3,1668,5004,0.12426095510081803
s1_recipient_withdrawal,1,4,1668,5004,0.16058279760926367
s1_recipient_withdrawal,1,5,1674,5022,0.13131873981677789
s1_recipient_withdrawal,2,1,1650,4950,0.6424833078095408
s1_recipient_withdrawal,2,2,1656,4968,0.37622783257477527
s1_recipient_withdrawal,2,3,1656,4968,0.15451077910533081
s1_recipient_withdrawal,2,4,1668,5004,0.1339746258146376
s1_recipient_withdrawal,2,5,1668,5004,0.11269169864799383
s1_recipient_withdrawal,3,1,1668,5004,0.6760099017076927
s1_recipient_withdrawal,3,2,1668,5004,0.35553436436289126
s1_recipient_withdrawal,3,3,1674,5022,0.14536499326558333
s1_recipient_withdrawal,3,4,1668,5004,0.1312989454856403
s1_recipient_withdrawal,3,5,1644,4932,0.08744602917488861
s1_recipient_withdrawal,4,1,1662,4986,0.7234361693173396
s1_recipient_withdrawal,4,2,1680,5040,0.5798427858996013
s1_recipient_withdrawal,4,3,1674,5022,0.3457425596798525
s1_recipient_withdrawal,4,4,1662,4986,0.15929702488571776
s1_recipient_withdrawal,4,5,1644,4932,0.1354028847814815
