scenario,shard,slice,slice_rows,actual_row_visits,training_bce
s2_living_donor_withdrawal,0,1,1596,4788,0.5069822600810052
s2_living_donor_withdrawal,0,2,1566,4698,0.253841667349235
s2_living_donor_withdrawal,0,3,1596,4788,0.150134600898128
s2_living_donor_withdrawal,0,4,1596,4788,0.07733411152062061
s2_living_donor_withdrawal,0,5,1602,4806,0.10723354539063093
s2_living_donor_withdrawal,1,1,1614,4842,0.5414425141921668
s2_living_donor_withdrawal,1,2,1620,4860,0.2467405816532457
s2_living_donor_withdrawal,1,3,1560,4680,0.13131041819723244
s2_living_donor_withdrawal,1,4,1626,4878,0.16561754618806887
s2_living_donor_withdrawal,1,5,1572,4716,0.14005114958701345
s2_living_donor_withdrawal,2,1,1596,4788,0.6438430673695646
s2_living_donor_withdrawal,2,2,1566,4698,0.3804891560751613
s2_living_donor_withdrawal,2,3,1584,4752,0.15849732058216828
s2_living_donor_withdrawal,2,4,1608,4824,0.13354841105726425
s2_living_donor_withdrawal,2,5,1578,4734,0.11949766654541687
s2_living_donor_withdrawal,3,1,1614,4842,0.6827206731778145
s2_living_donor_withdrawal,3,2,1608,4824,0.3865256958933019
s2_living_donor_withdrawal,3,3,1626,4878,0.1584533530991187
s2_living_donor_withdrawal,3,4,1596,4788,0.13512895981887776
s2_living_donor_withdrawal,3,5,1590,4770,0.08644197834206577
s2_living_donor_withdrawal,4,1,1602,4806,0.7251210878950033
s2_living_donor_withdrawal,4,2,1608,4824,0.5878261736475215
s2_living_donor_withdrawal,4,3,1596,4788,0.3768225506184593
s2_living_donor_withdrawal,4,4,1608,4824,0.18372132288134513
s2_living_donor_withdrawal,4,5,1572,4716,0.1416537577667107
