scenario,shard,slice,slice_rows,actual_row_visits,training_bce
s3_hospital_withdrawal,0,1,1500,4500,0.5168933461772071
s3_hospital_withdrawal,0,2,1566,4698,0.27126543867100855
s3_hospital_withdrawal,0,3,1470,4410,0.13681582673590065
s3_hospital_withdrawal,0,4,1440,4320,0.07273633397287793
s3_hospital_withdrawal,0,5,1530,4590,0.10400916950245569
s3_hospital_withdrawal,1,1,1536,4608,0.5506063492761718
s3_hospital_withdrawal,1,2,1512,4536,0.27586221744879635
s3_hospital_withdrawal,1,3,1464,4392,0.14534079233262492
s3_hospital_withdrawal,1,4,1512,4536,0.16810117154735316
s3_hospital_withdrawal,1,5,1518,4554,0.1405384824936412
s3_hospital_withdrawal,2,1,1494,4482,0.6514529794361484
s3_hospital_withdrawal,2,2,1548,4644,0.4068312464501712
s3_hospital_withdrawal,2,3,1518,4554,0.17589173515375947
s3_hospital_withdrawal,2,4,1524,4572,0.13342371584288612
s3_hospital_withdrawal,2,5,1536,4608,0.11386274815433556
s3_hospital_withdrawal,3,1,1488,4464,0.6944397824639488
s3_hospital_withdrawal,3,2,1518,4554,0.417652035366824
s3_hospital_withdrawal,3,3,1518,4554,0.18363292928871797
s3_hospital_withdrawal,3,4,1542,4626,0.1207790794040262
s3_hospital_withdrawal,3,5,1494,4482,0.08657914412734445
s3_hospital_withdrawal,4,1,1548,4644,0.7262865970301073
s3_hospital_withdrawal,4,2,1500,4500,0.5948513298034668
s3_hospital_withdrawal,4,3,1494,4482,0.40030505770500724
s3_hospital_withdrawal,4,4,1500,4500,0.2118929037782881
s3_hospital_withdrawal,4,5,1530,4590,0.14148311141983877
