scenario,shard,slice,slice_rows,actual_row_visits,training_bce
s4_invalid_consent,0,1,1524,4572,0.518006230563525
s4_invalid_consent,0,2,1512,4536,0.2754475312468446
s4_invalid_consent,0,3,1566,4698,0.15287618550304252
s4_invalid_consent,0,4,1518,4554,0.07556967378287631
s4_invalid_consent,0,5,1524,4572,0.10341352365474271
s4_invalid_consent,1,1,1518,4554,0.5503309398405271
s4_invalid_consent,1,2,1536,4608,0.27369727235701347
s4_invalid_consent,1,3,1530,4590,0.1467318519787591
s4_invalid_consent,1,4,1464,4392,0.1728651272862444
s4_invalid_consent,1,5,1506,4518,0.13264051300398066
s4_invalid_consent,2,1,1542,4626,0.6471852553622629
s4_invalid_consent,2,2,1476,4428,0.39432289052246494
s4_invalid_consent,2,3,1488,4464,0.16723788051622315
s4_invalid_consent,2,4,1524,4572,0.13198529049584662
s4_invalid_consent,2,5,1512,4536,0.1116362521441315
s4_invalid_consent,3,1,1470,4410,0.6935970282068058
s4_invalid_consent,3,2,1494,4482,0.41761993934990094
s4_invalid_consent,3,3,1554,4662,0.1803741024600135
s4_invalid_consent,3,4,1506,4518,0.1248610681347506
s4_invalid_consent,3,5,1506,4518,0.09012876892971117
s4_invalid_consent,4,1,1494,4482,0.7290911204258494
s4_invalid_consent,4,2,1512,4536,0.6063379792519558
s4_invalid_consent,4,3,1542,4626,0.4146770371846497
s4_invalid_consent,4,4,1506,4518,0.20126538844420458
s4_invalid_consent,4,5,1476,4428,0.14640284997984
