scenario,shard,slice,slice_rows,actual_row_visits,training_bce
s5_retention_expiry,0,1,1428,4284,0.5169882341648907
s5_retention_expiry,0,2,1410,4230,0.27777623560975345
s5_retention_expiry,0,3,1386,4158,0.1638576341698868
s5_retention_expiry,0,4,1416,4248,0.08264623708644156
s5_retention_expiry,0,5,1392,4176,0.11715383218223108
s5_retention_expiry,1,1,1416,4248,0.5521322476998561
s5_retention_expiry,1,2,1452,4356,0.2744568211973206
s5_retention_expiry,1,3,1464,4392,0.1385763143689689
s5_retention_expiry,1,4,1398,4194,0.1681787948780078
s5_retention_expiry,1,5,1416,4248,0.13646037385513105
s5_retention_expiry,2,1,1446,4338,0.6535696973169712
s5_retention_expiry,2,2,1476,4428,0.41806658103644795
s5_retention_expiry,2,3,1464,4392,0.19095862066485192
s5_retention_expiry,2,4,1398,4194,0.14523467123615041
s5_retention_expiry,2,5,1440,4320,0.11368750284115474
s5_retention_expiry,3,1,1398,4194,0.7031157301560321
s5_retention_expiry,3,2,1446,4338,0.4514283483591207
s5_retention_expiry,3,3,1374,4122,0.20468869383823288
s5_retention_expiry,3,4,1464,4392,0.13650168722770253
s5_retention_expiry,3,5,1446,4338,0.09055065008978681
s5_retention_expiry,4,1,1404,4212,0.7333640693372924
s5_retention_expiry,4,2,1434,4302,0.6200481548746039
s5_retention_expiry,4,3,1482,4446,0.44121376430725545
s5_retention_expiry,4,4,1410,4230,0.2417747409349356
s5_retention_expiry,4,5,1440,4320,0.15302811905189798
