scenario,subset,row_count,ks_d_before,ks_d_after,probability_mae_before,probability_mae_after
s1_recipient_withdrawal,all,420,0.2904761904761905,0.3119047619047619,0.020013146102428436,0.020805081352591515
s1_recipient_withdrawal,target_0,412,0.2961165048543689,0.3179611650485437,0.01841972954571247,0.01920968107879162
s1_recipient_withdrawal,target_1,8,,,,
s2_living_donor_withdrawal,all,2100,0.24285714285714285,0.3157142857142857,0.01258973777294159,0.013778669759631157
s2_living_donor_withdrawal,target_0,2072,0.24613899613899615,0.319980694980695,0.011348511092364788,0.012537647038698196
s2_living_donor_withdrawal,target_1,28,0.42857142857142855,0.42857142857142855,0.1044405847787857,0.10561437159776688
s3_hospital_withdrawal,all,4200,0.31166666666666665,0.37452380952380954,0.020747801288962364,0.022889329120516777
s3_hospital_withdrawal,target_0,4069,0.3217006635536987,0.3865814696485623,0.017133235931396484,0.019159600138664246
s3_hospital_withdrawal,target_1,131,0.3893129770992366,0.42748091603053434,0.13302010297775269,0.138738751411438
s4_invalid_consent,all,4200,0.26666666666666666,0.32666666666666666,0.022152191027998924,0.02410208247601986
s4_invalid_consent,target_0,4067,0.27538726333907054,0.3373493975903614,0.01845012977719307,0.020289761945605278
s4_invalid_consent,target_1,133,0.3609022556390977,0.40601503759398494,0.13535739481449127,0.1406787633895874
s5_retention_expiry,all,6300,0.29428571428571426,0.3984126984126984,0.01771693490445614,0.02084353007376194
s5_retention_expiry,target_0,6124,0.30274330502939256,0.40986283474853036,0.015190784819424152,0.018170759081840515
s5_retention_expiry,target_1,176,0.3693181818181818,0.42613636363636365,0.10561542212963104,0.11384370177984238
