scenario,model,retained_test_rows,operational_threshold,threshold_label,auroc,pr_auc,brier_score,bce,f1,balanced_accuracy,precision,recall,specificity,tn,fp,fn,tp
s1_recipient_withdrawal,initial_sisa,9000,0.05,frozen_sisa_validation_threshold,0.8479149466297103,0.1995927162922747,0.02507986408105833,0.10397245390090704,0.18865671641791046,0.7460506722887303,0.1107217939733707,0.6370967741935484,0.8550045703839122,7483,1269,90,158
s1_recipient_withdrawal,sisa_replay,9000,0.05,frozen_sisa_validation_threshold,0.8445774606357255,0.19467440103876385,0.02512316212023865,0.10461827835915868,0.18326693227091634,0.7475858052721589,0.10669317428760769,0.6491935483870968,0.8459780621572212,7404,1348,87,161
s1_recipient_withdrawal,clean_retain_only_sisa_model_reference,9000,0.05,frozen_sisa_validation_threshold,0.8445774606357255,0.19467440103876385,0.02512316212023865,0.10461827835915868,0.18326693227091634,0.7475858052721589,0.10669317428760769,0.6491935483870968,0.8459780621572212,7404,1348,87,161
s1_recipient_withdrawal,original_monolithic,9000,0.07,fixed_baseline_validation_threshold,0.8784945929409683,0.28185606663871515,0.022991789128271618,0.09306326627518845,0.2809611829944547,0.7674890900513063,0.18225419664268586,0.6129032258064516,0.9220749542961609,8070,682,96,152
s1_recipient_withdrawal,monolithic_full_retraining,9000,0.07,fixed_baseline_validation_threshold,0.8774381523854455,0.28824627671577385,0.022884932404322524,0.0928962659293797,0.27711941659070194,0.7666321430677596,0.1790341578327444,0.6129032258064516,0.9203610603290676,8055,697,96,152
s2_living_donor_withdrawal,initial_sisa,9000,0.05,frozen_sisa_validation_threshold,0.8479149466297103,0.1995927162922747,0.02507986408105833,0.10397245390090704,0.18865671641791046,0.7460506722887303,0.1107217939733707,0.6370967741935484,0.8550045703839122,7483,1269,90,158
s2_living_donor_withdrawal,sisa_replay,9000,0.05,frozen_sisa_validation_threshold,0.8464613618269741,0.19335145612422394,0.02520321185854741,0.10517922428501117,0.19284414796846575,0.7496093058913723,0.11349036402569593,0.6411290322580645,0.8580895795246801,7510,1242,89,159
s2_living_donor_withdrawal,clean_retain_only_sisa_model_reference,9000,0.05,frozen_sisa_validation_threshold,0.8464613618269741,0.19335145612422394,0.02520321185854741,0.10517922428501117,0.19284414796846575,0.7496093058913723,0.11349036402569593,0.6411290322580645,0.8580895795246801,7510,1242,89,159
s2_living_donor_withdrawal,original_monolithic,9000,0.07,fixed_baseline_validation_threshold,0.8784945929409683,0.28185606663871515,0.022991789128271618,0.09306326627518845,0.2809611829944547,0.7674890900513063,0.18225419664268586,0.6129032258064516,0.9220749542961609,8070,682,96,152
s2_living_donor_withdrawal,monolithic_full_retraining,9000,0.07,fixed_baseline_validation_threshold,0.8762393480568498,0.29269999509021716,0.022850027306251817,0.09294873627124574,0.26747195858498707,0.7693098720292504,0.17014270032930845,0.625,0.9136197440585009,7996,756,93,155
