scenario,method,forget_rows,positive_forget_rows,retained_test_pr_auc,retained_test_recall,brier_score,ks_d_before,ks_d_after,ks_d_improvement,probability_mae_before,probability_mae_after,probability_mae_improvement,probability_mae_after_ci_lower,probability_mae_after_ci_upper,membership_attack_auc_before,membership_attack_auc_after,result_label,runtime_seconds,full_retraining_runtime_seconds,speed_up
s1_recipient_withdrawal,fine_tuning,420,8,0.284432646714097,0.5604838709677419,0.0229736099595825,0.0309523809523809,0.0666666666666666,-0.0357142857142857,0.0035714223,0.004436474,-0.0008650515,0.0032369489141274,0.0057706998311914,0.4969606009070294,0.4970490362811791,worsened,9.731586124980822,36.94112924998626,3.7960029100661186
s2_living_donor_withdrawal,fine_tuning,2100,28,0.284709272590514,0.592741935483871,0.0229372295360119,0.0723809523809523,0.0823809523809523,-0.0099999999999999,0.0033371223,0.0037961456,-0.0004590233,0.0032065486535429,0.0045430444530211,0.4982000340136054,0.4984220975056689,worsened,8.254648791858926,28.041029500076547,3.3969984922595087
s3_hospital_withdrawal,fine_tuning,4200,131,0.2698831876734275,0.6261682242990654,0.0223156431102884,0.0269047619047619,0.0088095238095238,0.018095238095238,0.005068891,0.0049976762,7.121498e-05,0.0043893289985135,0.0055882464861497,0.5075372831632653,0.5077213123582767,mixed,6.575286957900971,26.190132166957483,3.983116225138585
s4_invalid_consent,fine_tuning,4200,133,0.2827062107090946,0.5779816513761468,0.0224503733599948,0.025,0.055,-0.03,0.0054081473,0.0055902186,-0.00018207124,0.0050366451963782,0.0062047540908679,0.5010195606575965,0.5002892899659864,mixed,6.283174958080053,28.528546083020046,4.540466606987099
s5_retention_expiry,fine_tuning,6300,176,0.2724874923570067,0.5660377358490566,0.0232546264301667,0.016031746031746,0.0258730158730158,-0.0098412698412698,0.0057381047,0.005675475,6.262958e-05,0.0052367234951816,0.0062178585794754,0.5110660985134794,0.5121716861929957,mixed,7.132033333182335,22.477784916060045,3.1516657124245926
s1_recipient_withdrawal,gradient_ascent,420,8,0.2807612870378431,0.6209677419354839,0.0230717046493405,0.0309523809523809,0.0547619047619047,-0.0238095238095238,0.0035714223,0.004080827,-0.0005094046,0.0030891756934579,0.0052470157970674,0.4969606009070294,0.4961955782312925,worsened,1.417933417018503,36.94112924998626,26.052795432145604
s2_living_donor_withdrawal,gradient_ascent,2100,28,0.2807022094748848,0.6733870967741935,0.023418288813006,0.0723809523809523,0.0433333333333333,0.029047619047619,0.0033371223,0.006458959,-0.0031218368,0.0053328964393585,0.0076195479137822,0.4982000340136054,0.4989318253968253,mixed,1.6431759169790894,28.041029500076547,17.065141480182362
s3_hospital_withdrawal,gradient_ascent,4200,131,0.2528726290554011,0.4579439252336448,0.0226598636960424,0.0269047619047619,0.079047619047619,-0.0521428571428571,0.005068891,0.008148515,-0.0030796234,0.0071976207313127,0.0091303660534322,0.5075372831632653,0.5066616680839002,worsened,2.1205216250382364,26.190132166957483,12.350797019806498
s4_invalid_consent,gradient_ascent,4200,133,0.2787490077593569,0.481651376146789,0.0226568361647562,0.025,0.1126190476190476,-0.0876190476190476,0.0054081473,0.010461326,-0.0050531784,0.0094907397869974,0.011573466588743,0.5010195606575965,0.5000311904761905,worsened,1.8662250828929243,28.528546083020046,15.286765966512778
s5_retention_expiry,gradient_ascent,6300,176,0.2693738042583262,0.4764150943396226,0.0233317414311265,0.016031746031746,0.0501587301587301,-0.0341269841269841,0.0057381047,0.005787682,-4.9577095e-05,0.005324743327219,0.0062469095806591,0.5110660985134794,0.5116526051902242,mixed,2.6356202501337975,22.477784916060045,8.528461152519586
s1_recipient_withdrawal,sisa_replay,420,8,0.19467440103876385,0.6491935483870968,0.02512316212023865,0.2904761904761905,0.3119047619047619,-0.021428571428571408,0.020013146102428436,0.020805081352591515,-0.0007919352501630783,0.016636763187125325,0.02515178839676082,0.4951689342403628,0.4955277777777778,worsened,6.73171241604723,36.94112924998626,5.4876273623818275
s2_living_donor_withdrawal,sisa_replay,2100,28,0.19335145612422394,0.6411290322580645,0.02520321185854741,0.24285714285714285,0.3157142857142857,-0.07285714285714287,0.01258973777294159,0.013778669759631157,-0.0011889319866895676,0.011929512885399163,0.015782858757302166,0.4983770294784581,0.4998424603174604,worsened,6.2438529171049595,28.041029500076547,4.490981749947775
s3_hospital_withdrawal,sisa_replay,4200,131,0.1801787241734199,0.6261682242990654,0.024290035389167353,0.31166666666666665,0.37452380952380954,-0.06285714285714289,0.020747801288962364,0.022889329120516777,-0.002141527831554413,0.020778397237882017,0.025091781001538038,0.5080848667800454,0.5075156930272109,worsened,6.444651249796152,26.190132166957483,4.063855614807069
s4_invalid_consent,sisa_replay,4200,133,0.19302039498774706,0.6192660550458715,0.024696834312471078,0.26666666666666666,0.32666666666666666,-0.06,0.022152191027998924,0.02410208247601986,-0.001949891448020935,0.022037019627168773,0.026464152336120605,0.5024642984693878,0.5012719954648526,worsened,4.474830167135224,28.528546083020046,6.375336050191143
s5_retention_expiry,sisa_replay,6300,176,0.16497564258749176,0.6320754716981132,0.02542801870522095,0.29428571428571426,0.3984126984126984,-0.10412698412698412,0.01771693490445614,0.02084353007376194,-0.0031265951693058014,0.01974432049319148,0.02217408902943134,0.511289903628118,0.5108707999496095,worsened,6.499693542020395,22.477784916060045,3.4582838053427585
