attack,attack_score_column,attack_auroc,attack_balanced_accuracy,threshold,member_count,non_member_count,calibration_method,evaluation_split,random_seed,attack_auc_ci_low,attack_auc_ci_high,attack_auc_bootstrap_samples,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.05,one_sided_above_chance_permutation_p_value,permutation_resamples,test,display_name,scenario
negative_loss,negative_model_loss,0.5012103396839734,0.5025931486283608,-0.2940543055534363,7327,7327,threshold selected on shadow auxiliary records,baseline_overall_class_matched_train_vs_test,42,0.4915761531795128,0.5105070754326643,2000,0.0,0.007642964378326737,0.046540193803739596,0.3946053946053946,1000,Real baseline overall,Overall training set vs test,baseline_overall_train_vs_test
true_class_confidence,true_class_confidence,0.501210367624776,0.5025931486283608,0.7452360212802887,7327,7327,threshold selected on shadow auxiliary records,baseline_overall_class_matched_train_vs_test,42,0.49157661560422455,0.5105066337258155,2000,0.0,0.008188890405350075,0.046540193803739596,0.3946053946053946,1000,Real baseline overall,Overall training set vs test,baseline_overall_train_vs_test
entropy,negative_entropy,0.49927775819541464,0.49918111095946505,-0.501452162861824,7327,7327,threshold selected on shadow auxiliary records,baseline_overall_class_matched_train_vs_test,42,0.48993564365504594,0.5085996789560114,2000,0.0,0.008188890405350075,0.046267230790227924,0.5634365634365635,1000,Real baseline overall,Overall training set vs test,baseline_overall_train_vs_test
shadow_logistic,shadow_logistic_score,0.5038116004586688,0.504162685956053,0.5,7327,7327,frozen class-balanced shadow logistic attack,baseline_overall_class_matched_train_vs_test,42,0.49447922357516494,0.5129515674955846,2000,0.0015012965743141805,0.009690186979664256,0.05568445475638051,0.22077922077922077,1000,Real baseline overall,Overall training set vs test,baseline_overall_train_vs_test
shadow_random_forest,shadow_random_forest_score,0.49566587859322675,0.4948819434966562,0.5,7327,7327,frozen class-balanced shadow random forest attack,baseline_overall_class_matched_train_vs_test,42,0.48631458027910424,0.505146307193799,2000,0.0006824075337791729,0.009280742459396751,0.04926982393885628,0.8271728271728271,1000,Real baseline overall,Overall training set vs test,baseline_overall_train_vs_test
negative_loss,negative_model_loss,0.4748341369994186,0.48391812865497075,-0.2940543055534363,342,342,threshold selected on shadow auxiliary records,baseline_s1_random_1_percent_class_matched_forget_vs_test,42,0.43239483320585137,0.5190718127327708,2000,0.0,0.008771929824561403,0.04093567251461988,0.8751248751248751,1000,,Random 1%,s1_random_1_percent
true_class_confidence,true_class_confidence,0.47484696145822647,0.48391812865497075,0.7452360212802887,342,342,threshold selected on shadow auxiliary records,baseline_s1_random_1_percent_class_matched_forget_vs_test,42,0.4323951483214143,0.5191107772458194,2000,0.0,0.008771929824561403,0.04093567251461988,0.8751248751248751,1000,,Random 1%,s1_random_1_percent
entropy,negative_entropy,0.48689340309838924,0.4824561403508772,-0.501452162861824,342,342,threshold selected on shadow auxiliary records,baseline_s1_random_1_percent_class_matched_forget_vs_test,42,0.4437197183603023,0.531218632255214,2000,0.0,0.008771929824561403,0.04093567251461988,0.7212787212787213,1000,,Random 1%,s1_random_1_percent
shadow_logistic,shadow_logistic_score,0.48055812044731716,0.48099415204678364,0.5,342,342,frozen class-balanced shadow logistic attack,baseline_s1_random_1_percent_class_matched_forget_vs_test,42,0.4384020857562026,0.525449424918758,2000,0.0,0.0029239766081871343,0.05263157894736842,0.8161838161838162,1000,,Random 1%,s1_random_1_percent
shadow_random_forest,shadow_random_forest_score,0.4803486542867891,0.47953216374269003,0.5,342,342,frozen class-balanced shadow random forest attack,baseline_s1_random_1_percent_class_matched_forget_vs_test,42,0.43740787615312715,0.5223323613913875,2000,0.0,0.005847953216374269,0.0847953216374269,0.7852147852147852,1000,,Random 1%,s1_random_1_percent
negative_loss,negative_model_loss,0.5024733957594136,0.5073142188414278,-0.2940543055534363,1709,1709,threshold selected on shadow auxiliary records,baseline_s2_random_5_percent_class_matched_forget_vs_test,42,0.4832468499222969,0.5213084869014949,2000,0.0,0.0076067875950848445,0.038033937975424224,0.3986013986013986,1000,,Random 5%,s2_random_5_percent
true_class_confidence,true_class_confidence,0.5024756212677797,0.5073142188414278,0.7452360212802887,1709,1709,threshold selected on shadow auxiliary records,baseline_s2_random_5_percent_class_matched_forget_vs_test,42,0.4832487288257155,0.5213104856546814,2000,0.0,0.009362200117027502,0.038033937975424224,0.3986013986013986,1000,,Random 5%,s2_random_5_percent
entropy,negative_entropy,0.4986474044923085,0.5032182562902282,-0.501452162861824,1709,1709,threshold selected on shadow auxiliary records,baseline_s2_random_5_percent_class_matched_forget_vs_test,42,0.47966814595436774,0.5175272302751334,2000,0.0,0.00994733762434172,0.038033937975424224,0.5534465534465535,1000,,Random 5%,s2_random_5_percent
shadow_logistic,shadow_logistic_score,0.5031780259466885,0.5020479812755998,0.5,1709,1709,frozen class-balanced shadow logistic attack,baseline_s2_random_5_percent_class_matched_forget_vs_test,42,0.48363834641442666,0.52353899400796,2000,0.0,0.014043300175541252,0.05441778818022235,0.37162837162837165,1000,,Random 5%,s2_random_5_percent
shadow_random_forest,shadow_random_forest_score,0.5065197123547556,0.5038033937975425,0.5,1709,1709,frozen class-balanced shadow random forest attack,baseline_s2_random_5_percent_class_matched_forget_vs_test,42,0.48685051113278727,0.5264070390612904,2000,0.0005851375073142189,0.012287887653598596,0.04564072557050907,0.2517482517482518,1000,,Random 5%,s2_random_5_percent
