display_name,scenario,label,precision,recall,f1-score,support
Random 1%,s1_random_1_percent,0,0.8868214407647661,0.9320057409400789,0.908852344296711,5574.0
Random 1%,s1_random_1_percent,1,0.742001361470388,0.6217912150598973,0.6765983860955928,1753.0
Random 1%,s1_random_1_percent,accuracy,,,0.8577862699604204,
Random 1%,s1_random_1_percent,macro avg,0.814411401117577,0.7768984779999881,0.7927253651961519,7327.0
Random 1%,s1_random_1_percent,weighted avg,0.8521729353733309,0.8577862699604204,0.8532851013969484,7327.0
Random 5%,s2_random_5_percent,0,0.887555707919095,0.9289558665231432,0.9077840112201964,5574.0
Random 5%,s2_random_5_percent,1,0.7347622237106497,0.6257843696520251,0.6759088108441158,1753.0
Random 5%,s2_random_5_percent,accuracy,,,0.856421454892862,
Random 5%,s2_random_5_percent,macro avg,0.8111589658148723,0.7773701180875842,0.7918464110321561,7327.0
Random 5%,s2_random_5_percent,weighted avg,0.850999548806579,0.856421454892862,0.852307386918399,7327.0
Simulated Data Provider Withdrawal (~5%),s3_simulated_data_provider_withdrawal,0,0.8827714721328138,0.9348762109795479,0.9080770236124422,5574.0
Simulated Data Provider Withdrawal (~5%),s3_simulated_data_provider_withdrawal,1,0.7450842696629213,0.6052481460353679,0.6679257160843564,1753.0
Simulated Data Provider Withdrawal (~5%),s3_simulated_data_provider_withdrawal,accuracy,,,0.8560120103725946,
Simulated Data Provider Withdrawal (~5%),s3_simulated_data_provider_withdrawal,macro avg,0.8139278708978676,0.770062178507458,0.7880013698483993,7327.0
Simulated Data Provider Withdrawal (~5%),s3_simulated_data_provider_withdrawal,weighted avg,0.8498295223676,0.8560120103725946,0.8506203234491101,7327.0
Random 10%,s4_random_10_percent,0,0.88702211554946,0.9282382490132759,0.9071622687823266,5574.0
Random 10%,s4_random_10_percent,1,0.7322623828647925,0.6240730176839704,0.6738527871881737,1753.0
Random 10%,s4_random_10_percent,accuracy,,,0.8554660843455711,
Random 10%,s4_random_10_percent,macro avg,0.8096422492071262,0.7761556333486231,0.7905075279852501,7327.0
Random 10%,s4_random_10_percent,weighted avg,0.8499955273965704,0.8554660843455711,0.8513424897138744,7327.0
Simulated Retention Expiry,s5_retention_expiry,0,0.8822932521562659,0.9359526372443487,0.9083311569600417,5574.0
Simulated Retention Expiry,s5_retention_expiry,1,0.7475247524752475,0.602966343411295,0.6675086832964952,1753.0
Simulated Retention Expiry,s5_retention_expiry,accuracy,,,0.8562849733861062,
Simulated Retention Expiry,s5_retention_expiry,macro avg,0.8149090023157567,0.7694594903278218,0.7879199201282685,7327.0
Simulated Retention Expiry,s5_retention_expiry,weighted avg,0.8500496081081117,0.8562849733861062,0.8507138789018736,7327.0
