attack,attack_score_column,attack_auroc,attack_balanced_accuracy,threshold,member_count,non_member_count,calibration_method,evaluation_split,random_seed,attack_auc_ci_low,attack_auc_ci_high,attack_auc_bootstrap_samples,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.05,test,one_sided_above_chance_permutation_p_value,permutation_resamples
negative_loss,negative_model_loss,0.5062840356235553,0.4994116784509798,-0.2940543055534363,3663,3664,threshold selected on shadow auxiliary records,negative_control_test_group_a_vs_test_group_b,42,0.49299592756140725,0.5198573671432033,2000,0.0,0.01092001092001092,0.05296205296205296,Negative control,,
true_class_confidence,true_class_confidence,0.5062849669836569,0.4994116784509798,0.7452360212802887,3663,3664,threshold selected on shadow auxiliary records,negative_control_test_group_a_vs_test_group_b,42,0.49299608964081704,0.5198582938661643,2000,0.0,0.01173901173901174,0.05323505323505324,Negative control,,
entropy,negative_entropy,0.5117320079110472,0.5028211642567537,-0.501452162861824,3663,3664,threshold selected on shadow auxiliary records,negative_control_test_group_a_vs_test_group_b,42,0.49872119109077906,0.5251650550194068,2000,0.0,0.01092001092001092,0.05323505323505324,Negative control,,
shadow_logistic,shadow_logistic_score,0.4941364548351448,0.49792224737639584,0.5,3663,3664,frozen class-balanced shadow logistic attack,negative_control_test_group_a_vs_test_group_b,42,0.4807680719092355,0.5077946572521275,2000,0.0,0.006006006006006006,0.04586404586404586,Negative control,,
shadow_random_forest,shadow_random_forest_score,0.4992830389937377,0.5000904164386697,0.5,3663,3664,frozen class-balanced shadow random forest attack,negative_control_test_group_a_vs_test_group_b,42,0.4857134252185235,0.5125564922276887,2000,0.001911001911001911,0.012558012558012558,0.055692055692055695,Negative control,,
negative_loss,negative_model_loss,0.6018390655517578,0.6083984375,-0.2940543055534363,512,512,threshold selected on shadow auxiliary records,positive_control_overfit_train_vs_matched_test,42,0.5727689381018078,0.6318160715664516,2000,0.0,0.0,0.0,Positive control,0.000999000999000999,1000.0
true_class_confidence,true_class_confidence,0.6048851013183594,0.6083984375,0.7452360212802887,512,512,threshold selected on shadow auxiliary records,positive_control_overfit_train_vs_matched_test,42,0.573928937915821,0.6353127873648006,2000,0.0,0.0,0.0,Positive control,0.000999000999000999,1000.0
entropy,negative_entropy,0.5353069305419922,0.50390625,-0.501452162861824,512,512,threshold selected on shadow auxiliary records,positive_control_overfit_train_vs_matched_test,42,0.5018262644033865,0.5701100679622242,2000,0.0,0.0,0.0,Positive control,0.01998001998001998,1000.0
shadow_logistic,shadow_logistic_score,0.5993461608886719,0.6083984375,0.5,512,512,frozen class-balanced shadow logistic attack,positive_control_overfit_train_vs_matched_test,42,0.5638558247284899,0.6339030512226117,2000,0.0,0.00390625,0.046875,Positive control,0.000999000999000999,1000.0
shadow_random_forest,shadow_random_forest_score,0.58984375,0.5400390625,0.5,512,512,frozen class-balanced shadow random forest attack,positive_control_overfit_train_vs_matched_test,42,0.5566411299682874,0.622870410639077,2000,0.0,0.005859375,0.048828125,Positive control,0.000999000999000999,1000.0
negative_loss,negative_model_loss,0.5012103396839734,0.5025931486283608,-0.2940543055534363,7327,7327,threshold selected on shadow auxiliary records,baseline_overall_class_matched_train_vs_test,42,0.4915761531795128,0.5105070754326643,2000,0.0,0.007642964378326737,0.046540193803739596,Real baseline overall,0.3946053946053946,1000.0
true_class_confidence,true_class_confidence,0.501210367624776,0.5025931486283608,0.7452360212802887,7327,7327,threshold selected on shadow auxiliary records,baseline_overall_class_matched_train_vs_test,42,0.49157661560422455,0.5105066337258155,2000,0.0,0.008188890405350075,0.046540193803739596,Real baseline overall,0.3946053946053946,1000.0
entropy,negative_entropy,0.49927775819541464,0.49918111095946505,-0.501452162861824,7327,7327,threshold selected on shadow auxiliary records,baseline_overall_class_matched_train_vs_test,42,0.48993564365504594,0.5085996789560114,2000,0.0,0.008188890405350075,0.046267230790227924,Real baseline overall,0.5634365634365635,1000.0
shadow_logistic,shadow_logistic_score,0.5038116004586688,0.504162685956053,0.5,7327,7327,frozen class-balanced shadow logistic attack,baseline_overall_class_matched_train_vs_test,42,0.49447922357516494,0.5129515674955846,2000,0.0015012965743141805,0.009690186979664256,0.05568445475638051,Real baseline overall,0.22077922077922077,1000.0
shadow_random_forest,shadow_random_forest_score,0.49566587859322675,0.4948819434966562,0.5,7327,7327,frozen class-balanced shadow random forest attack,baseline_overall_class_matched_train_vs_test,42,0.48631458027910424,0.505146307193799,2000,0.0006824075337791729,0.009280742459396751,0.04926982393885628,Real baseline overall,0.8271728271728271,1000.0
