scenario,seed,label,precision,recall,f1-score,support
s1_random_1_percent,42,0,0.8868214407647661,0.9320057409400789,0.908852344296711,5574.0
s1_random_1_percent,42,1,0.742001361470388,0.6217912150598973,0.6765983860955928,1753.0
s1_random_1_percent,42,accuracy,,,0.8577862699604204,
s1_random_1_percent,42,macro avg,0.814411401117577,0.7768984779999881,0.7927253651961519,7327.0
s1_random_1_percent,42,weighted avg,0.8521729353733309,0.8577862699604204,0.8532851013969484,7327.0
s1_random_1_percent,43,0,0.8891933550265456,0.9314675278076785,0.9098396565320249,5574.0
s1_random_1_percent,43,1,0.7432795698924731,0.6309184255561894,0.6825053995680346,1753.0
s1_random_1_percent,43,accuracy,,,0.8595605295482462,
s1_random_1_percent,43,macro avg,0.8162364624595093,0.7811929766819339,0.7961725280500298,7327.0
s1_random_1_percent,43,weighted avg,0.8542831782365866,0.8595605295482462,0.8554494623928308,7327.0
s1_random_1_percent,44,0,0.8843031123139378,0.9379260853964837,0.9103256137907018,5574.0
s1_random_1_percent,44,1,0.7554770318021201,0.609811751283514,0.6748737373737373,1753.0
s1_random_1_percent,44,accuracy,,,0.8594240480414904,
s1_random_1_percent,44,macro avg,0.8198900720580289,0.7738689183399988,0.7925996755822196,7327.0
s1_random_1_percent,44,weighted avg,0.8534812044202273,0.8594240480414904,0.8539932623018334,7327.0
s2_random_5_percent,42,0,0.887555707919095,0.9289558665231432,0.9077840112201964,5574.0
s2_random_5_percent,42,1,0.7347622237106497,0.6257843696520251,0.6759088108441158,1753.0
s2_random_5_percent,42,accuracy,,,0.856421454892862,
s2_random_5_percent,42,macro avg,0.8111589658148723,0.7773701180875842,0.7918464110321561,7327.0
s2_random_5_percent,42,weighted avg,0.850999548806579,0.856421454892862,0.852307386918399,7327.0
s2_random_5_percent,43,0,0.884087442806304,0.9359526372443487,0.9092810457516339,5574.0
s2_random_5_percent,43,1,0.7496493688639552,0.609811751283514,0.6725385341302297,1753.0
s2_random_5_percent,43,accuracy,,,0.8579227514671762,
s2_random_5_percent,43,macro avg,0.8168684058351297,0.7728821942639313,0.7909097899409319,7327.0
s2_random_5_percent,43,weighted avg,0.8519228538038559,0.8579227514671762,0.8526399071038488,7327.0
s2_random_5_percent,44,0,0.8853989813242784,0.9355938284894152,0.909804605722261,5574.0
s2_random_5_percent,44,1,0.7501739735560194,0.6149458071876782,0.6758620689655173,1753.0
s2_random_5_percent,44,accuracy,,,0.858878122014467,
s2_random_5_percent,44,macro avg,0.8177864774401489,0.7752698178385466,0.7928333373438892,7327.0
s2_random_5_percent,44,weighted avg,0.8530461167661021,0.858878122014467,0.8538333668885538,7327.0
s3_different_random_5_percent,42,0,0.8853936405373236,0.9341585934696807,0.909122653862942,5574.0
s3_different_random_5_percent,42,1,0.7461964038727524,0.6155162578436966,0.6745858080650203,1753.0
s3_different_random_5_percent,42,accuracy,,,0.8579227514671762,
s3_different_random_5_percent,42,macro avg,0.8157950222050381,0.7748374256566886,0.7918542309639811,7327.0
s3_different_random_5_percent,42,weighted avg,0.8520904119481338,0.8579227514671762,0.8530092253541722,7327.0
s3_different_random_5_percent,43,0,0.8790713211959245,0.944205238607822,0.910474872415881,5574.0
s3_different_random_5_percent,43,1,0.767910447761194,0.5869937250427838,0.6653734238603298,1753.0
s3_different_random_5_percent,43,accuracy,,,0.8587416405077112,
s3_different_random_5_percent,43,macro avg,0.8234908844785592,0.7655994818253029,0.7879241481381054,7327.0
s3_different_random_5_percent,43,weighted avg,0.8524758508627618,0.8587416405077112,0.8518338407087864,7327.0
s3_different_random_5_percent,44,0,0.8854909955827387,0.9350556153570148,0.9095986038394416,5574.0
s3_different_random_5_percent,44,1,0.7487855655794587,0.6155162578436966,0.6756418284283031,1753.0
s3_different_random_5_percent,44,accuracy,,,0.8586051590009554,
s3_different_random_5_percent,44,macro avg,0.8171382805810987,0.7752859366003557,0.7926202161338723,7327.0
s3_different_random_5_percent,44,weighted avg,0.8527839369235671,0.8586051590009554,0.853623958378035,7327.0
s4_random_10_percent,42,0,0.88702211554946,0.9282382490132759,0.9071622687823266,5574.0
s4_random_10_percent,42,1,0.7322623828647925,0.6240730176839704,0.6738527871881737,1753.0
s4_random_10_percent,42,accuracy,,,0.8554660843455711,
s4_random_10_percent,42,macro avg,0.8096422492071262,0.7761556333486231,0.7905075279852501,7327.0
s4_random_10_percent,42,weighted avg,0.8499955273965704,0.8554660843455711,0.8513424897138744,7327.0
s4_random_10_percent,43,0,0.8869728529964146,0.9320057409400789,0.908931851981454,5574.0
s4_random_10_percent,43,1,0.7421768707482993,0.6223616657159156,0.6770089978281104,1753.0
s4_random_10_percent,43,accuracy,,,0.8579227514671762,
s4_random_10_percent,43,macro avg,0.814574861872357,0.7771837033279972,0.7929704249047822,7327.0
s4_random_10_percent,43,weighted avg,0.8523301128734522,0.8579227514671762,0.8534438264142625,7327.0
s4_random_10_percent,44,0,0.8872758326216909,0.9320057409400789,0.9090909090909091,5574.0
s4_random_10_percent,44,1,0.7425271739130435,0.623502567027952,0.6778294573643411,1753.0
s4_random_10_percent,44,accuracy,,,0.8581957144806879,
s4_random_10_percent,44,macro avg,0.8149015032673672,0.7777541539840155,0.7934601832276251,7327.0
s4_random_10_percent,44,weighted avg,0.8526444147540425,0.8581957144806879,0.853761125430929,7327.0
s5_retention_expiry,42,0,0.887331167720978,0.9311087190527448,0.9086929878315679,5574.0
s5_retention_expiry,42,1,0.7401894451962111,0.6240730176839704,0.677189724543485,1753.0
s5_retention_expiry,42,accuracy,,,0.8576497884536646,
s5_retention_expiry,42,macro avg,0.8137603064585945,0.7775908683683577,0.7929413561875265,7327.0
s5_retention_expiry,42,weighted avg,0.8521272043545367,0.8576497884536646,0.8533053502522026,7327.0
s5_retention_expiry,43,0,0.8882805816937553,0.9314675278076785,0.909361590331903,5574.0
s5_retention_expiry,43,1,0.7422402159244265,0.6274957216200798,0.6800618238021638,1753.0
s5_retention_expiry,43,accuracy,,,0.8587416405077112,
s5_retention_expiry,43,macro avg,0.815260398809091,0.7794816247138792,0.7947117070670334,7327.0
s5_retention_expiry,43,weighted avg,0.8533401202233536,0.8587416405077112,0.854501143938204,7327.0
s5_retention_expiry,44,0,0.8871987694411212,0.9312881234302117,0.9087089715536105,5574.0
s5_retention_expiry,44,1,0.7405149051490515,0.623502567027952,0.6769897801176835,1753.0
s5_retention_expiry,44,accuracy,,,0.8576497884536646,
s5_retention_expiry,44,macro avg,0.8138568372950863,0.7773953452290818,0.792849375835647,7327.0
s5_retention_expiry,44,weighted avg,0.8521043496098125,0.8576497884536646,0.853269672715453,7327.0
