table,display_name,scenario,attack_score,attack_auroc_mean,attack_auroc_std,attack_auc_ci_low_mean,attack_auc_ci_low_std,attack_auc_ci_high_mean,attack_auc_ci_high_std,bootstrap_resamples_mean,bootstrap_resamples_std,tpr_at_fpr_0.01_mean,tpr_at_fpr_0.01_std,tpr_at_fpr_0.05_mean,tpr_at_fpr_0.05_std,member_count_mean,member_count_std,non_member_count_mean,non_member_count_std,wasserstein_distance_mean,wasserstein_distance_std,mean_loss_difference_forget_minus_test_mean,mean_loss_difference_forget_minus_test_std,mean_true_class_confidence_difference_forget_minus_test_mean,mean_true_class_confidence_difference_forget_minus_test_std,baseline_mean_mean,baseline_mean_std,full_retraining_mean_mean,full_retraining_mean_std,mean_paired_change_mean,mean_paired_change_std,median_paired_change_mean,median_paired_change_std,paired_change_ci_low_mean,paired_change_ci_low_std,paired_change_ci_high_mean,paired_change_ci_high_std,percentage_decreased_mean,percentage_decreased_std,standardised_effect_size_mean,standardised_effect_size_std,record_count_mean,record_count_std
baseline,Date retention expiry,s5_retention_expiry,negative_loss,0.5058533666153835,0.00029180480280899485,0.4960320283744409,0.00038220808028584886,0.5161547419049336,0.00026895853181165924,2000.0,0.0,0.007522028798624544,0.00033553610565218133,0.05066623683644961,0.0007617368836641848,6204.0,0.0,6204.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
baseline,Date retention expiry,s5_retention_expiry,true_class_confidence,0.5058529682395377,0.00029180616607435986,0.49603135806377835,0.000381211994267295,0.5161538070207473,0.00026875331077108193,2000.0,0.0,0.007790672684289706,0.00040564337176395563,0.05077369439071566,0.0008529178952497053,6204.0,0.0,6204.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
baseline,Different random 5%,s3_different_random_5_percent,negative_loss,0.4899461803599913,0.0005694689457069649,0.47115698930032646,8.044784764610298e-05,0.5091696479919124,0.0007434213037705839,2000.0,0.0,0.0093622001170275,0.0005851375073142187,0.049541642285937194,0.0012180608539883728,1709.0,0.0,1709.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
baseline,Different random 5%,s3_different_random_5_percent,true_class_confidence,0.4899450390736498,0.0005686900576302098,0.47115519177433846,8.000950244265783e-05,0.5091689546604599,0.000742283741427004,2000.0,0.0,0.0093622001170275,0.0005851375073142187,0.049541642285937194,0.0012180608539883728,1709.0,0.0,1709.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
baseline,Random 1%,s1_random_1_percent,negative_loss,0.5184144979081884,0.0006715322989565247,0.4750004987289536,0.0006521349596814538,0.5612540325798251,0.0008134341911125081,2000.0,0.0,0.00682261208576998,0.0016881586818410109,0.05458089668615984,0.0016881586818410109,342.0,0.0,342.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
baseline,Random 1%,s1_random_1_percent,true_class_confidence,0.5184087981487181,0.0006729594395047207,0.47499479896948343,0.0006504347806107272,0.5612526788869509,0.0008071171463078457,2000.0,0.0,0.00682261208576998,0.0016881586818410109,0.05458089668615984,0.0016881586818410109,342.0,0.0,342.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
baseline,Random 10%,s4_random_10_percent,negative_loss,0.5022782577834474,0.00013881935313593023,0.4883935850257051,8.195578589474309e-06,0.5159640846791994,0.0002635102479257257,2000.0,0.0,0.004972214097689383,0.00029248318221702235,0.043287510968119336,0.0018265568875105013,3419.0,0.0,3419.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
baseline,Random 10%,s4_random_10_percent,true_class_confidence,0.5022773167729168,0.0001372066198883235,0.48839276841391505,7.847875762841623e-06,0.5159624910208348,0.0002661116350260891,2000.0,0.0,0.005167202885834064,0.000446775440670356,0.043287510968119336,0.0018265568875105013,3419.0,0.0,3419.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
baseline,Random 5%,s2_random_5_percent,negative_loss,0.4934534674162179,0.00045815460067563283,0.4747523537033544,0.0004354027571230126,0.5125885010493557,5.014398495255914e-05,2000.0,0.0,0.010727520967427346,0.000893812306408395,0.04778622976399454,0.0003378292973608103,1709.0,0.0,1709.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
baseline,Random 5%,s2_random_5_percent,true_class_confidence,0.4934528967730471,0.0004583622455892698,0.47475037357155175,0.00043491480704120096,0.5125895353401028,5.042535116646304e-05,2000.0,0.0,0.01150770431051297,0.00033782929736081034,0.04778622976399454,0.0003378292973608103,1709.0,0.0,1709.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
retrained_similarity,Date retention expiry,s5_retention_expiry,negative_loss,0.5038841298563921,0.00013392419611184145,0.49358730222198105,0.00042062502303880144,0.5143893771244691,0.0003311601862851465,2000.0,0.0,0.007575757575757576,0.0001611863313990972,0.0508274231678487,0.00033553610565218307,6204.0,0.0,6204.0,0.0,0.0075212977677448336,0.0002844120666940767,-0.0018568383327844384,0.00019951831879731457,0.0018135514159337192,0.00019019819318510088,,,,,,,,,,,,,,,,,,
retrained_similarity,Date retention expiry,s5_retention_expiry,true_class_confidence,0.503884636486544,0.00013291218614830841,0.49358758465746533,0.0004210145391581713,0.5143895238090538,0.0003306161644180326,2000.0,0.0,0.007790672684289706,9.3060971822957e-05,0.050934880722114766,0.00016118633139909633,6204.0,0.0,6204.0,0.0,0.002956619179947377,0.00030527043014173685,-0.0018568383327844384,0.00019951831879731457,0.0018135514159337192,0.00019019819318510088,,,,,,,,,,,,,,,,,,
retrained_similarity,Different random 5%,s3_different_random_5_percent,negative_loss,0.4875288788242651,0.0004713469343124001,0.4679732497888906,0.0005680321811410399,0.5068677747301629,0.0005917948692797125,2000.0,0.0,0.007996879266627658,0.0008938123064083947,0.048956504778622977,0.000893812306408397,1709.0,0.0,1709.0,0.0,0.030427110037085866,0.0027003086925429746,0.027269704605215828,0.0031581211445049218,-0.00932117559725539,0.00028306865656652644,,,,,,,,,,,,,,,,,,
retrained_similarity,Different random 5%,s3_different_random_5_percent,true_class_confidence,0.48752813698814307,0.0004734690831588601,0.46797340386254666,0.0005712663191073155,0.5068673167890183,0.0005931007554855517,2000.0,0.0,0.007996879266627658,0.0008938123064083947,0.048956504778622977,0.000893812306408397,1709.0,0.0,1709.0,0.0,0.00999933712443724,0.00022005918314559254,0.027269704605215828,0.0031581211445049218,-0.00932117559725539,0.00028306865656652644,,,,,,,,,,,,,,,,,,
retrained_similarity,Random 1%,s1_random_1_percent,negative_loss,0.5171762251632982,0.0010140607368546214,0.47417040000911964,0.0013663193221877788,0.5614876158476112,0.0012825278522828926,2000.0,0.0,0.005847953216374269,0.0,0.0594541910331384,0.004466448045765926,342.0,0.0,342.0,0.0,0.026372444255415486,0.00322187348984377,0.0017484332236041844,0.0012782896787724232,-0.0004774616635450091,0.0015133394658478686,,,,,,,,,,,,,,,,,,
retrained_similarity,Random 1%,s1_random_1_percent,true_class_confidence,0.5171790750430332,0.001016511593572671,0.47417193181947725,0.0013681676188124917,0.561490287609863,0.0012765371993482923,2000.0,0.0,0.005847953216374269,0.0,0.0594541910331384,0.004466448045765926,342.0,0.0,342.0,0.0,0.010524434101047106,0.0007839086000355751,0.0017484332236041844,0.0012782896787724232,-0.0004774616635450091,0.0015133394658478686,,,,,,,,,,,,,,,,,,
retrained_similarity,Random 10%,s4_random_10_percent,negative_loss,0.5003512678249137,0.0005819033548164573,0.4866103123262427,0.0005612660753776662,0.5140443993149102,0.0006313689424232419,2000.0,0.0,0.005362191673978747,0.0006088522958368333,0.041532611874817195,0.0008774495466510705,3419.0,0.0,3419.0,0.0,0.009494271202906067,0.00033278851867842273,-0.003001700020044018,0.0003832107229830282,0.0015951615077680985,0.0003332979202903986,,,,,,,,,,,,,,,,,,
retrained_similarity,Random 10%,s4_random_10_percent,true_class_confidence,0.5003509684124722,0.0005814906462297437,0.48661024638421696,0.0005618145473549429,0.5140435581085266,0.0006320166326764063,2000.0,0.0,0.005459686068051087,0.00044677544067035606,0.041532611874817195,0.0008774495466510705,3419.0,0.0,3419.0,0.0,0.002715239748882181,0.0002544534819534572,-0.003001700020044018,0.0003832107229830282,0.0015951615077680985,0.0003332979202903986,,,,,,,,,,,,,,,,,,
retrained_similarity,Random 5%,s2_random_5_percent,negative_loss,0.4917338342210829,0.000272259573913726,0.47184016045116417,0.00036556110478025384,0.5108453858877433,0.0007032851094046902,2000.0,0.0,0.009752291788570315,0.000893812306408395,0.04720109225668032,0.0014725637673631273,1709.0,0.0,1709.0,0.0,0.02221167273427195,0.0002475954946359347,-0.001581377281147008,0.0009349314266579849,-0.006016992805033428,0.00032786612667993803,,,,,,,,,,,,,,,,,,
retrained_similarity,Random 5%,s2_random_5_percent,true_class_confidence,0.49173486137879036,0.00027226979987275116,0.47184170689415694,0.0003630095130849647,0.5108469765555818,0.0007051800548109875,2000.0,0.0,0.010337429295884533,0.0006756585947216226,0.04720109225668032,0.0014725637673631273,1709.0,0.0,1709.0,0.0,0.00738787650831312,0.00022541819253558753,-0.001581377281147008,0.0009349314266579849,-0.006016992805033428,0.00032786612667993803,,,,,,,,,,,,,,,,,,
paired_changes,Date retention expiry,s5_retention_expiry,negative_loss,,,,,,,,,,,,,,,,,,,,,,,-0.31004621852562747,0.0010783295483208794,-0.320814213046534,0.000423938204530546,-0.010767994520906552,0.0014784630997273693,3.679593404134115e-05,3.577973705843217e-05,-0.012594411519290713,0.0014763716035918828,-0.008977266772369433,0.001479414253437669,46.09929078014184,1.338623126821057,-0.14348394852604032,0.018070877686590527,6204.0,0.0
