display_name,scenario,seed,attack_score,test,attack_auroc,attack_auc_ci_low,attack_auc_ci_high,bootstrap_resamples,tpr_at_fpr_0.01,tpr_at_fpr_0.05,member_count,non_member_count
Random 1%,s1_random_1_percent,42,negative_loss,baseline_forget_vs_matched_test,0.5190357716904347,0.4742909142984166,0.5608241638452857,2000,0.005847953216374269,0.05263157894736842,342,342
Random 1%,s1_random_1_percent,42,true_class_confidence,baseline_forget_vs_matched_test,0.5190357716904347,0.4742865326083239,0.5608201027666632,2000,0.005847953216374269,0.05263157894736842,342,342
Random 1%,s1_random_1_percent,43,negative_loss,baseline_forget_vs_matched_test,0.5177020279744196,0.4755735739201806,0.5607457209055778,2000,0.008771929824561403,0.05555555555555555,342,342
Random 1%,s1_random_1_percent,43,true_class_confidence,baseline_forget_vs_matched_test,0.5176977531548169,0.47556534489244556,0.5607540568038029,2000,0.008771929824561403,0.05555555555555555,342,342
Random 1%,s1_random_1_percent,44,negative_loss,baseline_forget_vs_matched_test,0.5185056940597107,0.4751370079682637,0.5621922129886118,2000,0.005847953216374269,0.05555555555555555,342,342
Random 1%,s1_random_1_percent,44,true_class_confidence,baseline_forget_vs_matched_test,0.5184928696009028,0.47513251940768103,0.5621838770903868,2000,0.005847953216374269,0.05555555555555555,342,342
Random 5%,s2_random_5_percent,42,negative_loss,baseline_forget_vs_matched_test,0.4932169928862481,0.4750211936873627,0.5126261349664684,2000,0.00994733762434172,0.047396138092451724,1709,1709
Random 5%,s2_random_5_percent,42,true_class_confidence,baseline_forget_vs_matched_test,0.49321647930739443,0.47501713641441845,0.5126270893671715,2000,0.011117612638970159,0.047396138092451724,1709,1709
Random 5%,s2_random_5_percent,43,negative_loss,baseline_forget_vs_matched_test,0.4931618687559511,0.4749858594622282,0.5125315765398548,2000,0.011702750146284377,0.04798127559976594,1709,1709
Random 5%,s2_random_5_percent,43,true_class_confidence,baseline_forget_vs_matched_test,0.4931610127911949,0.47498547427808796,0.5125322227932458,2000,0.011702750146284377,0.04798127559976594,1709,1709
Random 5%,s2_random_5_percent,44,negative_loss,baseline_forget_vs_matched_test,0.4939815406064545,0.47425000796047223,0.5126077916417439,2000,0.010532475131655939,0.04798127559976594,1709,1709
Random 5%,s2_random_5_percent,44,true_class_confidence,baseline_forget_vs_matched_test,0.493981198220552,0.4742485100221489,0.5126092938598908,2000,0.011702750146284377,0.04798127559976594,1709,1709
Different random 5%,s3_different_random_5_percent,42,negative_loss,baseline_forget_vs_matched_test,0.4896363211182597,0.47123084479270416,0.5089098783811036,2000,0.00994733762434172,0.05090696313633704,1709,1709
Different random 5%,s3_different_random_5_percent,42,true_class_confidence,baseline_forget_vs_matched_test,0.48963597873235726,0.47122796875112344,0.5089102892441866,2000,0.00994733762434172,0.05090696313633704,1709,1709
Different random 5%,s3_different_random_5_percent,43,negative_loss,baseline_forget_vs_matched_test,0.4895988298619397,0.47107126728321236,0.5085909673120755,2000,0.008777062609713282,0.04856641310708017,1709,1709
Different random 5%,s3_different_random_5_percent,43,true_class_confidence,baseline_forget_vs_matched_test,0.4895978027042323,0.4710695168352861,0.5085906120867018,2000,0.008777062609713282,0.04856641310708017,1709,1709
Different random 5%,s3_different_random_5_percent,44,negative_loss,baseline_forget_vs_matched_test,0.4906033900997746,0.4711688558250628,0.510008098282558,2000,0.009362200117027502,0.049151550614394385,1709,1709
Different random 5%,s3_different_random_5_percent,44,true_class_confidence,baseline_forget_vs_matched_test,0.4906013357843598,0.47116808973660596,0.5100059626504915,2000,0.009362200117027502,0.049151550614394385,1709,1709
Random 10%,s4_random_10_percent,42,negative_loss,baseline_forget_vs_matched_test,0.5023028666345981,0.4883847477249146,0.5162608608655193,2000,0.00467973091547236,0.04533489324363849,3419,3419
Random 10%,s4_random_10_percent,42,true_class_confidence,baseline_forget_vs_matched_test,0.5023032515934516,0.48838503002807376,0.5162618745905,2000,0.00467973091547236,0.04533489324363849,3419,3419
Random 10%,s4_random_10_percent,43,negative_loss,baseline_forget_vs_matched_test,0.5021287796864228,0.48840093524470257,0.5158738392742037,2000,0.004972214097689383,0.04270254460368529,3419,3419
Random 10%,s4_random_10_percent,43,true_class_confidence,baseline_forget_vs_matched_test,0.5021289935524524,0.4884007213786728,0.5158727367948206,2000,0.005264697279906405,0.04270254460368529,3419,3419
Random 10%,s4_random_10_percent,44,negative_loss,baseline_forget_vs_matched_test,0.5024031270293212,0.4883950721074983,0.5157575538978753,2000,0.005264697279906405,0.04182509505703422,3419,3419
Random 10%,s4_random_10_percent,44,true_class_confidence,baseline_forget_vs_matched_test,0.5023997051728462,0.4883925538349986,0.5157528616771836,2000,0.005557180462123428,0.04182509505703422,3419,3419
Date retention expiry,s5_retention_expiry,42,negative_loss,baseline_forget_vs_matched_test,0.5058227522976587,0.4959991095390508,0.5161356987817182,2000,0.007414571244358479,0.049806576402321084,6204,6204
Date retention expiry,s5_retention_expiry,42,true_class_confidence,baseline_forget_vs_matched_test,0.5058223366011237,0.49599803522331837,0.516134291583995,2000,0.007414571244358479,0.049806576402321084,6204,6204
Date retention expiry,s5_retention_expiry,43,negative_loss,baseline_forget_vs_matched_test,0.5055780759153325,0.4956673444079047,0.515895811028616,2000,0.007253384912959381,0.050934880722114766,6204,6204
Date retention expiry,s5_retention_expiry,43,true_class_confidence,baseline_forget_vs_matched_test,0.5055776861998311,0.4956679013763089,0.5158953433700144,2000,0.007736943907156673,0.05109606705351386,6204,6204
Date retention expiry,s5_retention_expiry,44,negative_loss,baseline_forget_vs_matched_test,0.5061592716331594,0.4964296311763671,0.5164327159044663,2000,0.00789813023855577,0.05125725338491296,6204,6204
Date retention expiry,s5_retention_expiry,44,true_class_confidence,baseline_forget_vs_matched_test,0.506158881917658,0.4964281375917078,0.5164317861082324,2000,0.008220502901353965,0.051418439716312055,6204,6204
