display_name,scenario,seed,model_type,subset,accuracy,mean_loss,mean_true_class_confidence,mean_predicted_probability,positive_prediction_rate
Random 1%,s1_random_1_percent,42,baseline,forget,0.847953216374269,0.30465790617949606,0.8065231582149863,0.23483753610547178,0.21637426900584794
Random 1%,s1_random_1_percent,42,baseline,retain,0.8599875912193105,0.29887027887731565,0.8053519180808056,0.24583806869832486,0.2105356456997666
Random 1%,s1_random_1_percent,42,baseline,test,0.8560120103725946,0.31255315462244204,0.8002792466602107,0.2437920633301503,0.20390337109321688
Random 1%,s1_random_1_percent,42,full_retraining,forget,0.847953216374269,0.3142617273522944,0.8050587579760461,0.22979174041138015,0.21052631578947367
Random 1%,s1_random_1_percent,42,full_retraining,retain,0.8600466806511655,0.29945005829802246,0.8069450823678971,0.24190774157440736,0.20533577569651668
Random 1%,s1_random_1_percent,42,full_retraining,test,0.8577862699604204,0.31208209675879783,0.8022105166721524,0.23981314117248734,0.20049133342432102
Random 1%,s1_random_1_percent,43,baseline,forget,0.8508771929824561,0.30795991379217574,0.8072519412983143,0.22049855689006534,0.195906432748538
Random 1%,s1_random_1_percent,43,baseline,retain,0.8597807782078175,0.2997897122731287,0.8062060101054063,0.23299990661468237,0.19029751528939048
Random 1%,s1_random_1_percent,43,baseline,test,0.8576497884536646,0.31153476320222084,0.8015725832107249,0.23135968445661395,0.18643373822847004
Random 1%,s1_random_1_percent,43,full_retraining,forget,0.8538011695906432,0.31280712453016674,0.8048572993472393,0.23234404344324694,0.21052631578947367
Random 1%,s1_random_1_percent,43,full_retraining,retain,0.8619966319023843,0.29630297531628563,0.806189411017488,0.24591464586420425,0.20988566194936037
Random 1%,s1_random_1_percent,43,full_retraining,test,0.8595605295482462,0.3126894279456099,0.8000012889439965,0.24396726726872134,0.20308448205268187
Random 1%,s1_random_1_percent,44,baseline,forget,0.8625730994152047,0.30756520959739275,0.8077354362310721,0.22767205390624035,0.20760233918128654
Random 1%,s1_random_1_percent,44,baseline,retain,0.8610512009927025,0.2976604606567361,0.8071242200735287,0.23919578611922163,0.201317694330369
Random 1%,s1_random_1_percent,44,baseline,test,0.8587416405077112,0.31186469278758894,0.8017820349870142,0.23742656656076275,0.19380373959328512
Random 1%,s1_random_1_percent,44,full_retraining,forget,0.8508771929824561,0.31768154858322867,0.8054658384579751,0.22584302601063355,0.20760233918128654
Random 1%,s1_random_1_percent,44,full_retraining,retain,0.861346648151978,0.29730229272046566,0.8090734928977568,0.23622948309679223,0.19836322273761336
Random 1%,s1_random_1_percent,44,full_retraining,test,0.8594240480414904,0.31269620841988083,0.8036090343790145,0.23402620667184207,0.19312133205950593
Random 5%,s2_random_5_percent,42,baseline,forget,0.8654183733177296,0.29454288686717756,0.8053480557282114,0.244273337563755,0.20245757753071972
Random 5%,s2_random_5_percent,42,baseline,retain,0.8595751231527093,0.2991589143909447,0.8053644539455369,0.24580456941760517,0.21102216748768474
Random 5%,s2_random_5_percent,42,baseline,test,0.8560120103725946,0.31255315462244204,0.8002792466602107,0.2437920633301503,0.20390337109321688
Random 5%,s2_random_5_percent,42,full_retraining,forget,0.863662960795787,0.30279540029820873,0.8009647607668197,0.24462387202914632,0.20304271503803395
Random 5%,s2_random_5_percent,42,full_retraining,retain,0.8602524630541872,0.29812557802828843,0.8044118681375751,0.2458238219404936,0.2104064039408867
Random 5%,s2_random_5_percent,42,full_retraining,test,0.856421454892862,0.31298956186577276,0.7986521509778048,0.2440371584258265,0.20376688958646103
Random 5%,s2_random_5_percent,43,baseline,forget,0.8601521357519017,0.2933422914030294,0.8068289065062172,0.23150398066308703,0.18431831480397892
Random 5%,s2_random_5_percent,43,baseline,retain,0.8596674876847291,0.3002149847850287,0.8061842483603012,0.23294698407297848,0.19067118226600985
Random 5%,s2_random_5_percent,43,baseline,test,0.8576497884536646,0.31153476320222084,0.8015725832107249,0.23135968445661395,0.18643373822847004
Random 5%,s2_random_5_percent,43,full_retraining,forget,0.8613224107665302,0.300141664075972,0.8035337596215121,0.2385394456162847,0.19016968987712113
Random 5%,s2_random_5_percent,43,full_retraining,retain,0.8611761083743842,0.2977162874081743,0.8057121881024519,0.2396675372389074,0.1998152709359606
Random 5%,s2_random_5_percent,43,full_retraining,test,0.8579227514671762,0.31236913850660253,0.8000745472926124,0.23792609708378956,0.19462262863382013
Random 5%,s2_random_5_percent,44,baseline,forget,0.8695143358689292,0.29101707487374723,0.8079350520526982,0.23721723963452737,0.19368051492100644
Random 5%,s2_random_5_percent,44,baseline,retain,0.860621921182266,0.29811430826883073,0.8070879923664314,0.23917855149870146,0.2017857142857143
Random 5%,s2_random_5_percent,44,baseline,test,0.8587416405077112,0.31186469278758894,0.8017820349870142,0.23742656656076275,0.19380373959328512
Random 5%,s2_random_5_percent,44,full_retraining,forget,0.8613224107665302,0.2995269582473339,0.8034985043068137,0.23878801927053886,0.19368051492100644
Random 5%,s2_random_5_percent,44,full_retraining,retain,0.8608066502463054,0.29836232183005823,0.8058245594625243,0.2398730699969388,0.2002463054187192
Random 5%,s2_random_5_percent,44,full_retraining,test,0.858878122014467,0.3126029955490194,0.8002195088619515,0.23877781556126138,0.1961239252081343
Different random 5%,s3_different_random_5_percent,42,baseline,forget,0.8560561732007022,0.3198509678534641,0.7988468539517346,0.24907945743158827,0.2176711527208894
Different random 5%,s3_different_random_5_percent,42,baseline,retain,0.8600677339901478,0.29782727921835966,0.8057065276473842,0.24555168583219486,0.2102216748768473
Different random 5%,s3_different_random_5_percent,42,baseline,test,0.8560120103725946,0.31255315462244204,0.8002792466602107,0.2437920633301503,0.20390337109321688
Different random 5%,s3_different_random_5_percent,42,full_retraining,forget,0.8531304856641311,0.33036985638131255,0.7942712525538081,0.24484500979012647,0.20655354008191926
Different random 5%,s3_different_random_5_percent,42,full_retraining,retain,0.8592056650246306,0.301393762536449,0.8032166843585226,0.24034627586630042,0.20314039408866996
Different random 5%,s3_different_random_5_percent,42,full_retraining,test,0.8579227514671762,0.3115257722114083,0.7992249347447336,0.23886509119876814,0.1973522587689368
Different random 5%,s3_different_random_5_percent,43,baseline,forget,0.8519602106495027,0.3220048184838369,0.7995395609366509,0.23635230062897175,0.19133996489174956
Different random 5%,s3_different_random_5_percent,43,baseline,retain,0.8600985221674877,0.2987068487388126,0.8065677918202271,0.23269188004521688,0.19030172413793103
Different random 5%,s3_different_random_5_percent,43,baseline,test,0.8576497884536646,0.31153476320222084,0.8015725832107249,0.23135968445661395,0.18643373822847004
Different random 5%,s3_different_random_5_percent,43,full_retraining,forget,0.8496196606202457,0.3326747522524997,0.7977390032920882,0.23793935276223763,0.19133996489174956
Different random 5%,s3_different_random_5_percent,43,full_retraining,retain,0.8596366995073892,0.2987306122734926,0.8074071487063238,0.23417476441102594,0.18879310344827585
Different random 5%,s3_different_random_5_percent,43,full_retraining,test,0.8587416405077112,0.3105968479275783,0.8027294938847785,0.23234713822730402,0.18288521905281835
Different random 5%,s3_different_random_5_percent,44,baseline,forget,0.8537156231714453,0.31613570529855284,0.8005462526317537,0.24232637063850468,0.20128730251609128
