original_index,synthetic_collection_date
0,2015-03-05
2,2015-03-31
5,2020-10-23
6,2016-03-07
7,2019-12-14
8,2022-02-15
9,2022-03-11
10,2025-07-27
11,2016-10-08
12,2023-06-23
14,2019-11-16
15,2024-12-28
17,2015-12-29
19,2017-07-04
20,2015-03-21
21,2017-10-16
22,2017-04-12
23,2018-11-05
25,2018-08-17
26,2020-01-10
28,2021-08-25
29,2021-02-02
30,2015-11-13
32,2023-11-19
33,2018-08-08
34,2017-06-16
35,2018-06-17
37,2021-11-16
38,2019-06-27
41,2023-02-27
42,2019-09-22
43,2018-01-04
44,2020-08-09
47,2024-03-14
48,2024-02-01
49,2015-10-20
50,2025-06-30
52,2017-02-12
54,2024-05-24
55,2021-09-04
56,2016-03-08
57,2023-06-06
58,2022-11-12
59,2024-01-17
60,2019-06-01
61,2015-07-22
63,2022-10-04
64,2024-04-30
67,2025-04-06
68,2025-05-09
69,2018-06-21
70,2024-02-02
71,2019-02-03
72,2022-09-23
73,2017-06-01
75,2025-01-21
76,2022-02-05
78,2024-06-07
80,2019-12-28
81,2020-11-05
82,2015-02-04
83,2023-03-10
84,2019-11-07
85,2016-01-25
87,2018-04-07
89,2024-04-07
90,2018-07-08
91,2020-10-01
92,2019-10-24
93,2018-08-18
95,2015-06-10
96,2016-11-12
99,2015-06-08
100,2025-10-24
103,2023-04-15
104,2016-09-11
105,2022-05-01
107,2025-04-13
108,2018-04-27
109,2022-01-07
110,2023-07-04
111,2017-04-18
112,2017-02-09
113,2015-08-07
114,2020-06-07
115,2023-05-24
116,2021-01-18
117,2018-03-03
120,2022-11-24
121,2020-06-29
122,2025-06-28
124,2023-02-05
125,2016-12-12
126,2017-03-09
127,2020-08-07
129,2017-02-12
130,2019-02-20
131,2020-09-14
132,2016-07-01
136,2017-09-01
137,2016-11-25
138,2024-07-03
140,2023-06-26
141,2018-10-26
142,2023-10-06
143,2021-08-12
144,2016-12-06
146,2021-08-13
147,2019-06-02
148,2022-02-14
149,2022-07-15
150,2016-06-02
151,2018-08-13
154,2016-03-01
155,2024-06-18
157,2025-03-02
159,2023-08-21
160,2021-06-04
163,2025-11-16
164,2020-11-14
165,2025-05-24
166,2023-08-23
167,2019-01-18
168,2021-08-09
169,2023-04-30
170,2019-08-30
171,2024-06-23
173,2016-02-11
174,2020-08-03
175,2021-09-05
176,2024-08-06
178,2015-05-20
180,2019-09-23
181,2017-04-04
182,2022-03-03
184,2024-10-12
185,2021-04-18
187,2021-05-10
189,2020-04-07
190,2018-09-17
191,2017-04-24
193,2023-02-23
194,2024-04-06
196,2021-01-22
197,2019-04-11
198,2025-02-17
199,2024-08-30
200,2018-10-25
202,2015-08-07
204,2017-04-26
208,2021-12-31
210,2020-04-25
211,2024-08-03
213,2020-08-20
217,2017-11-18
218,2025-05-21
219,2021-03-12
220,2016-05-27
221,2018-04-09
222,2025-05-26
223,2016-07-24
224,2017-01-23
225,2025-05-15
226,2025-11-20
227,2021-08-30
229,2017-03-31
231,2015-06-02
232,2025-05-26
234,2017-08-20
237,2022-09-21
238,2025-03-07
239,2021-01-21
240,2019-08-17
241,2022-04-12
242,2025-07-25
243,2020-06-27
244,2015-01-01
245,2019-09-07
248,2017-11-13
252,2016-10-10
253,2016-10-06
254,2020-11-26
255,2016-09-11
258,2017-02-24
259,2025-10-26
260,2025-12-02
261,2017-08-02
263,2016-03-05
264,2016-10-28
265,2019-09-26
268,2020-09-27
270,2023-11-24
271,2018-03-20
272,2022-05-22
274,2018-08-28
276,2017-03-03
277,2021-09-07
278,2019-03-21
281,2018-04-03
282,2020-07-22
283,2016-04-01
284,2015-01-31
285,2015-07-19
287,2022-02-18
288,2019-11-28
289,2016-09-30
290,2019-09-17
292,2020-08-06
293,2022-05-19
294,2021-12-28
295,2020-12-12
296,2020-06-09
300,2018-07-21
301,2018-10-27
302,2025-02-27
303,2024-04-28
305,2016-10-05
307,2023-11-21
308,2016-06-05
310,2018-10-27
312,2021-07-05
313,2020-11-22
315,2015-10-22
316,2020-01-19
317,2022-07-17
318,2017-11-15
319,2022-09-17
320,2021-12-19
322,2024-01-02
323,2020-11-28
324,2025-09-26
325,2017-12-10
327,2020-05-07
328,2017-08-10
330,2019-03-28
331,2015-05-18
332,2023-02-05
334,2024-05-09
335,2024-09-28
336,2019-12-20
338,2018-11-21
341,2021-02-27
342,2018-05-06
344,2018-03-10
346,2021-12-14
348,2015-01-18
350,2023-10-19
351,2024-08-06
352,2025-08-05
353,2022-05-11
356,2020-02-16
358,2019-01-21
359,2016-09-23
360,2016-02-16
361,2022-12-16
366,2024-03-18
368,2018-11-27
369,2020-09-14
371,2017-07-15
372,2023-03-24
373,2023-09-02
374,2023-11-21
