scenario,subset,class_label,count,percentage
s1_random_1_percent,forget,0,266,77.77777777777779
s1_random_1_percent,forget,1,76,22.22222222222222
s1_random_1_percent,retain,0,25742,76.05400774071556
s1_random_1_percent,retain,1,8105,23.945992259284427
s2_random_5_percent,forget,0,1309,76.59449970743125
s2_random_5_percent,forget,1,400,23.405500292568753
s2_random_5_percent,retain,0,24699,76.04371921182266
s2_random_5_percent,retain,1,7781,23.956280788177338
s3_different_random_5_percent,forget,0,1289,75.42422469280281
s3_different_random_5_percent,forget,1,420,24.575775307197194
s3_different_random_5_percent,retain,0,24719,76.10529556650246
s3_different_random_5_percent,retain,1,7761,23.894704433497537
s4_random_10_percent,forget,0,2618,76.57209710441649
s4_random_10_percent,forget,1,801,23.427902895583504
s4_random_10_percent,retain,0,23390,76.01559961000976
s4_random_10_percent,retain,1,7380,23.984400389990252
s5_retention_expiry,forget,0,4659,75.09671179883945
s5_retention_expiry,forget,1,1545,24.903288201160542
s5_retention_expiry,retain,0,21349,76.28729676612471
s5_retention_expiry,retain,1,6636,23.712703233875292
