scenario,seed,epoch,train_loss,val_loss
s1_random_1_percent,42,1,0.4254944800228179,0.31829716228182575
s1_random_1_percent,42,2,0.32364931229784716,0.3082963371094608
s1_random_1_percent,42,3,0.3160932048814922,0.30508522208095606
s1_random_1_percent,42,4,0.31383266966876583,0.3038520324581671
s1_random_1_percent,42,5,0.312011558184452,0.3025598790829149
s1_random_1_percent,42,6,0.31058215325192573,0.30287815681286206
s1_random_1_percent,42,7,0.30889234689591,0.3021285371753709
s1_random_1_percent,42,8,0.30658094503803685,0.30174198237364974
s1_random_1_percent,42,9,0.3069112281466557,0.3009147726705157
s1_random_1_percent,42,10,0.3051658812869045,0.3010586407823768
s1_random_1_percent,42,11,0.3064038113913487,0.30094807867368584
s1_random_1_percent,42,12,0.303595336519126,0.302319780468062
s1_random_1_percent,43,1,0.42332914778877156,0.3140937018973756
s1_random_1_percent,43,2,0.32292370601154996,0.3070635032351148
s1_random_1_percent,43,3,0.3163751149149727,0.3054376886966871
s1_random_1_percent,43,4,0.31304382287065124,0.30397622444705824
s1_random_1_percent,43,5,0.3110693456737647,0.302821111490321
s1_random_1_percent,43,6,0.30974760142130475,0.30335103214161335
s1_random_1_percent,43,7,0.3088571331089954,0.30221195093862285
s1_random_1_percent,43,8,0.307343038934462,0.3018363765963368
s1_random_1_percent,43,9,0.30706012923809,0.3021745242904582
s1_random_1_percent,43,10,0.30527918873134174,0.301666051287681
s1_random_1_percent,43,11,0.30549329034291817,0.3011872208805121
s1_random_1_percent,43,12,0.30572450662161477,0.3011222775031919
s1_random_1_percent,43,13,0.3048664496899933,0.30128900864200453
s1_random_1_percent,43,14,0.3028408701074251,0.30044400178601827
s1_random_1_percent,43,15,0.30331380498931587,0.3007084385898964
s1_random_1_percent,43,16,0.30122939132638926,0.3016078182006188
s1_random_1_percent,43,17,0.30042908350312,0.30097302446233876
s1_random_1_percent,44,1,0.4434422109623084,0.3198332659800522
s1_random_1_percent,44,2,0.32469727487462935,0.3093862972346089
s1_random_1_percent,44,3,0.31849867608250165,0.30588276150153043
s1_random_1_percent,44,4,0.3137048011184017,0.30407882599989444
s1_random_1_percent,44,5,0.31260594672426556,0.3033402121167934
s1_random_1_percent,44,6,0.3103461680121516,0.30268772909330793
s1_random_1_percent,44,7,0.31028274399817146,0.3046041465736366
s1_random_1_percent,44,8,0.30786194777856407,0.3016069177766983
s1_random_1_percent,44,9,0.30820747424810435,0.3015238837143973
s1_random_1_percent,44,10,0.3068496529711266,0.3017888595961561
s1_random_1_percent,44,11,0.30630910197098393,0.30112743026208527
s1_random_1_percent,44,12,0.30528904900936993,0.3020839959488779
s1_random_1_percent,44,13,0.30422449467572893,0.30101581720455794
s1_random_1_percent,44,14,0.3034812550102798,0.30148809435521845
s1_random_1_percent,44,15,0.30266210204588806,0.3009763181925536
s1_random_1_percent,44,16,0.30264821762798716,0.3017369009759821
s2_random_5_percent,42,1,0.4308218795384092,0.3191806387126755
s2_random_5_percent,42,2,0.3249120671173622,0.3081729293292642
s2_random_5_percent,42,3,0.31775286235832817,0.3053123942334047
s2_random_5_percent,42,4,0.3133981020873403,0.30406121710692147
s2_random_5_percent,42,5,0.31207787755674915,0.3038474630046796
s2_random_5_percent,42,6,0.3097494041391194,0.3035663600473042
s2_random_5_percent,42,7,0.30920190720135354,0.3029598182272202
s2_random_5_percent,42,8,0.30889176004038654,0.3022639824902787
s2_random_5_percent,42,9,0.30773998930536467,0.3021363099839171
s2_random_5_percent,42,10,0.3064785085875413,0.3017031970227185
s2_random_5_percent,42,11,0.30585730786394016,0.30148644346277015
s2_random_5_percent,42,12,0.30444922776057803,0.30117423189262404
s2_random_5_percent,42,13,0.30360040553097656,0.30208288827555574
s2_random_5_percent,42,14,0.3034864822191558,0.3012208235644591
s2_random_5_percent,42,15,0.30352157297099164,0.30109927794531727
s2_random_5_percent,43,1,0.428095970981814,0.31540242474553626
s2_random_5_percent,43,2,0.32357059611475525,0.3070169573936051
s2_random_5_percent,43,3,0.31834814645386683,0.3065629120719846
s2_random_5_percent,43,4,0.31468927261277374,0.3037291120268952
s2_random_5_percent,43,5,0.3116526455127547,0.30392833700474253
s2_random_5_percent,43,6,0.3105074502858035,0.302420877268039
s2_random_5_percent,43,7,0.30987939118164515,0.30205318765369493
s2_random_5_percent,43,8,0.3081721049811452,0.30161588552575475
s2_random_5_percent,43,9,0.3074835205900258,0.3013339472653402
s2_random_5_percent,43,10,0.30702137245333255,0.3015779217442235
s2_random_5_percent,43,11,0.3050061207686739,0.30116429262691075
s2_random_5_percent,43,12,0.3053434334658637,0.30099398968423485
s2_random_5_percent,43,13,0.30528097140965205,0.3006406641302622
s2_random_5_percent,43,14,0.3037541569160123,0.30064893920109825
s2_random_5_percent,43,15,0.3031667114478614,0.30065285762476524
s2_random_5_percent,43,16,0.30324475991314853,0.30059453274687553
s2_random_5_percent,44,1,0.4503469041122004,0.3174644580897561
s2_random_5_percent,44,2,0.325053893668311,0.3085012853861571
s2_random_5_percent,44,3,0.3192574709507045,0.3053023130751164
s2_random_5_percent,44,4,0.31566467552349486,0.3031978515484539
s2_random_5_percent,44,5,0.31259244137209624,0.3034205860431618
s2_random_5_percent,44,6,0.3113411998513884,0.30214785541011896
s2_random_5_percent,44,7,0.31108774492893315,0.3018218597980461
s2_random_5_percent,44,8,0.309573124018796,0.30165536938031257
s2_random_5_percent,44,9,0.3080168892303711,0.30157231484772956
s2_random_5_percent,44,10,0.30651666501472735,0.30141977270606957
s2_random_5_percent,44,11,0.30706211569274,0.30109738241835365
s2_random_5_percent,44,12,0.3063591416246198,0.30263715432440685
s2_random_5_percent,44,13,0.305331921753625,0.30084057500087075
s2_random_5_percent,44,14,0.30449642583067194,0.302495739758096
s2_random_5_percent,44,15,0.3034173023084114,0.301229468442819
s2_random_5_percent,44,16,0.3034340275919496,0.30107901304952117
s3_different_random_5_percent,42,1,0.4299821317195892,0.32042172980738115
s3_different_random_5_percent,42,2,0.32443314306254456,0.30800945188320306
s3_different_random_5_percent,42,3,0.31610689125037544,0.3053959165640031
s3_different_random_5_percent,42,4,0.31322386611271374,0.3050336483932082
s3_different_random_5_percent,42,5,0.3101813047683885,0.3034715408954079
s3_different_random_5_percent,42,6,0.3092951866793515,0.30220474539120734
s3_different_random_5_percent,42,7,0.30840450666220903,0.30234605777696477
s3_different_random_5_percent,42,8,0.3053341776279393,0.30237709592347456
s3_different_random_5_percent,42,9,0.30468060397749464,0.3033186379284147
s3_different_random_5_percent,43,1,0.42613359525285915,0.3144313266636601
s3_different_random_5_percent,43,2,0.32062775081601635,0.3072577179649831
s3_different_random_5_percent,43,3,0.3161694455322961,0.30659752666803775
s3_different_random_5_percent,43,4,0.31284040500377785,0.30467431160585495
s3_different_random_5_percent,43,5,0.30992538641239037,0.30267467692905264
s3_different_random_5_percent,43,6,0.3086526431179986,0.30225598050569724
s3_different_random_5_percent,43,7,0.30682451730878485,0.30215331593921463
s3_different_random_5_percent,43,8,0.3060827283142823,0.3030816893938165
s3_different_random_5_percent,43,9,0.3051171382366143,0.3013898553319098
s3_different_random_5_percent,43,10,0.30413755730455144,0.30215939254569385
s3_different_random_5_percent,43,11,0.3031408477886557,0.3017658134187599
s3_different_random_5_percent,43,12,0.3024997275451134,0.30139263823258233
s3_different_random_5_percent,44,1,0.4510601674101036,0.31894408914517614
s3_different_random_5_percent,44,2,0.32567354687329,0.30994777375318106
s3_different_random_5_percent,44,3,0.3180941993673447,0.30536537106298145
s3_different_random_5_percent,44,4,0.3132571587128005,0.30359367888350647
s3_different_random_5_percent,44,5,0.3117294586644384,0.30257469828975614
s3_different_random_5_percent,44,6,0.31012258911367707,0.30204602693587157
s3_different_random_5_percent,44,7,0.3084589222969093,0.3025471987764659
s3_different_random_5_percent,44,8,0.30643120874912283,0.30188490045614136
s3_different_random_5_percent,44,9,0.3066177705532224,0.3014341246925545
s3_different_random_5_percent,44,10,0.3061930438861471,0.3018741982249396
s3_different_random_5_percent,44,11,0.3049730799761899,0.3029344523340309
s3_different_random_5_percent,44,12,0.3026147884394735,0.30184970351473545
s4_random_10_percent,42,1,0.43223594350786926,0.31905682301573374
s4_random_10_percent,42,2,0.32600310926008114,0.30938702411675045
s4_random_10_percent,42,3,0.31807608395514647,0.3066975490955131
s4_random_10_percent,42,4,0.3139957553531816,0.3049572098460186
s4_random_10_percent,42,5,0.3132564630007101,0.3035133991806422
s4_random_10_percent,42,6,0.3099174008649938,0.30261028664801376
s4_random_10_percent,42,7,0.30693868908124344,0.30246842827687587
s4_random_10_percent,42,8,0.30762907118234767,0.3023623737389359
s4_random_10_percent,42,9,0.30609248962772717,0.3042391418613373
