original_index,scenario,reference_model,comparison_role,true_membership,model_loss,model_confidence,attack_score
10,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.2938418,0.7453944,0.5002327
32,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.104349375,0.9009106,0.50137794
75,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.00022315979,0.99977696,0.5020754
87,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.7712935,0.4624145,0.49016514
90,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.08276534,0.9205672,0.50359994
99,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.001648426,0.99835306,0.5018174
113,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.00010681152,0.9998927,0.5049185
129,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.05333776,0.94805974,0.5040694
136,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.881773,0.4140482,0.49652857
154,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.12608328,0.88154143,0.50298893
166,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.6532881,0.52033204,0.49449873
168,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.00012207031,0.99987805,0.50508946
180,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.7296453,0.48207998,0.4974427
204,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.49237192,0.611175,0.49688044
283,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.014624119,0.98548216,0.50197893
317,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.00091171265,0.99908847,0.5018218
342,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.010110855,0.98994005,0.50200915
373,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.7912072,0.4532972,0.48975027
432,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.3601966,0.2566103,0.4832275
452,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.20098752,0.81792265,0.50205076
457,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.36891204,0.69148624,0.49960583
596,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.00079774857,0.99920267,0.50507826
599,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0011806488,0.9988199,0.50490135
618,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.043519974,0.9574135,0.5017854
631,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.02270627,0.9775496,0.5016909
643,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0060591344,0.9939592,0.50611335
680,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.11083341,0.8950879,0.5011613
726,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.043272678,0.95765024,0.50533783
747,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.73297924,0.48047537,0.4932276
781,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.46832463,0.62605023,0.49894
804,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.30090857,0.7401454,0.4999681
938,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0045280457,0.995482,0.5020465
978,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0026419994,0.9973615,0.5061846
1051,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.7417029,0.47630212,0.49308845
1061,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.00014591217,0.9998543,0.50491786
1076,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0030608177,0.99694395,0.50487137
1081,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0041589737,0.99584967,0.5018023
1143,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.11221719,0.89385,0.50132525
1149,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0010194778,0.99898106,0.5049039
1187,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.3471838,0.25997135,0.48343486
1194,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.002023697,0.99797827,0.50488794
1259,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0012454987,0.9987553,0.50181985
1346,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.6608453,0.51641464,0.49407098
1385,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,2.002716e-05,0.9999799,0.5050912
1399,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.1931117,0.3032761,0.48589045
1445,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.003639698,0.99636674,0.5061638
1446,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.3630662,0.6955403,0.499645
1460,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.499044,0.6071108,0.4967691
1517,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.6126885,0.19935095,0.47920522
