original_index,model_type,scenario,subset,true_historical_membership,true_class,model_probability,model_loss,negative_model_loss,true_class_confidence,max_probability,prediction_entropy,negative_entropy,probability_margin,correct_prediction,y_pred,shadow_logistic_score,shadow_random_forest_score
0,full_retraining_reference,s3_simulated_data_provider_withdrawal,retain_training_member,1,0,0.00036437306,0.0003643036,-0.0003643036,0.99963564,0.99963564,0.0032491593,-0.0032491593,0.49963564,1,0,0.5024286913068265,0.5885626268237788
2,full_retraining_reference,s3_simulated_data_provider_withdrawal,retain_training_member,1,1,0.44236928,0.81561023,-0.81561023,0.44236928,0.5576307,0.6864898,-0.6864898,0.057630718,0,0,0.5018379030460626,0.4953184694534655
5,full_retraining_reference,s3_simulated_data_provider_withdrawal,retain_training_member,1,0,0.0013066839,0.0013074875,-0.0013074875,0.9986933,0.9986933,0.009982583,-0.009982583,0.49869332,1,0,0.5024741535980937,0.5091521015656614
6,full_retraining_reference,s3_simulated_data_provider_withdrawal,retain_training_member,1,0,0.0014195808,0.0014204979,-0.0014204979,0.9985804,0.9985804,0.010727346,-0.010727346,0.49858043,1,0,0.5024789065011692,0.5012428521961384
7,full_retraining_reference,s3_simulated_data_provider_withdrawal,retain_training_member,1,1,0.75417846,0.28212622,-0.28212622,0.75417846,0.75417846,0.5576979,-0.5576979,0.25417846,1,1,0.5077188796555548,0.500193508379259
9,full_retraining_reference,s3_simulated_data_provider_withdrawal,retain_training_member,1,0,0.017737893,0.017897129,-0.017897129,0.98226213,0.98226213,0.08909972,-0.08909972,0.4822621,1,0,0.5028332735407102,0.5071615394288377
10,full_retraining_reference,s3_simulated_data_provider_withdrawal,retain_training_member,1,1,0.7113474,0.34059438,-0.34059438,0.7113474,0.7113474,0.6009408,-0.6009408,0.2113474,1,1,0.5073930270410415,0.5000879550912494
11,full_retraining_reference,s3_simulated_data_provider_withdrawal,retain_training_member,1,0,0.6831342,1.1492771,-1.1492771,0.3168658,0.6831342,0.6244844,-0.6244844,0.1831342,0,1,0.47952721923286074,0.48335795741347204
12,full_retraining_reference,s3_simulated_data_provider_withdrawal,retain_training_member,1,0,0.0030643444,0.003068924,-0.003068924,0.99693567,0.99693567,0.02079582,-0.02079582,0.49693567,1,0,0.5025393314029489,0.5001973769590101
14,full_retraining_reference,s3_simulated_data_provider_withdrawal,retain_training_member,1,1,0.6295079,0.4628168,-0.4628168,0.6295079,0.6295079,0.65921706,-0.65921706,0.1295079,1,1,0.5061264558606443,0.4968322785112172
15,full_retraining_reference,s3_simulated_data_provider_withdrawal,retain_training_member,1,1,0.8200723,0.19836278,-0.19836278,0.8200723,0.8200723,0.47128385,-0.47128385,0.3200723,1,1,0.5077788950997468,0.5136890840028552
17,full_retraining_reference,s3_simulated_data_provider_withdrawal,retain_training_member,1,0,0.42872152,0.5598784,-0.5598784,0.57127845,0.57127845,0.6829512,-0.6829512,0.07127848,1,0,0.49182390652645547,0.48665225269162576
19,full_retraining_reference,s3_simulated_data_provider_withdrawal,retain_training_member,1,1,0.7330782,0.3105029,-0.3105029,0.7330782,0.7330782,0.58017313,-0.58017313,0.23307818,1,1,0.5075865678013578,0.4953300080899535
21,full_retraining_reference,s3_simulated_data_provider_withdrawal,retain_training_member,1,0,0.0008498932,0.00085020065,-0.00085020065,0.9991501,0.9991501,0.006858626,-0.006858626,0.4991501,1,0,0.5024536857455794,0.4960041201722183
