original_index,model_type,scenario,subset,true_historical_membership,true_class,model_probability,model_loss,negative_model_loss,true_class_confidence,max_probability,prediction_entropy,negative_entropy,probability_margin,correct_prediction,y_pred,shadow_logistic_score,shadow_random_forest_score
5,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.0013813284,0.0013823509,-0.0013823509,0.99861866,0.99861866,0.0104760295,-0.0104760295,0.49861866,1,0,0.5024773019052631,0.5025333567470324
6,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.001263043,0.0012640953,-0.0012640953,0.998737,0.998737,0.009692065,-0.009692065,0.49873695,1,0,0.5024722750580664,0.5162920848018913
7,full_retraining_reference,s4_random_10_percent,retain_training_member,1,1,0.8291439,0.18736155,-0.18736155,0.8291439,0.8291439,0.45724112,-0.45724112,0.32914388,1,1,0.5077443883940632,0.5115352015764544
8,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.0013902348,0.001390934,-0.001390934,0.9986098,0.9986098,0.01053461,-0.01053461,0.49860975,1,0,0.5024776859082676,0.48695105733829847
9,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.01654731,0.016685486,-0.016685486,0.9834527,0.9834527,0.08427897,-0.08427897,0.48345268,1,0,0.5028177971893143,0.5092883200746963
10,full_retraining_reference,s4_random_10_percent,retain_training_member,1,1,0.80958724,0.21123071,-0.21123071,0.80958724,0.80958724,0.48682088,-0.48682088,0.30958724,1,1,0.5078056215554225,0.5091435214552079
11,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.7131513,1.2488004,-1.2488004,0.28684872,0.7131513,0.5993059,-0.5993059,0.21315128,0,1,0.47724401732565697,0.4912688663769198
12,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.0037122224,0.003718853,-0.003718853,0.99628776,0.99628776,0.024479397,-0.024479397,0.49628776,1,0,0.5025599517289449,0.5000794564950921
14,full_retraining_reference,s4_random_10_percent,retain_training_member,1,1,0.6812661,0.38380218,-0.38380218,0.6812661,0.6812661,0.62591136,-0.62591136,0.18126613,1,1,0.5070279251776392,0.502148085509893
15,full_retraining_reference,s4_random_10_percent,retain_training_member,1,1,0.8601521,0.15064599,-0.15064599,0.8601521,0.8601521,0.40468723,-0.40468723,0.36015213,1,1,0.5075440741287792,0.5125922448653607
17,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.39286458,0.4990034,-0.4990034,0.6071354,0.6071354,0.67001224,-0.67001224,0.107135415,1,0,0.4936997636346205,0.47402718853488623
19,full_retraining_reference,s4_random_10_percent,retain_training_member,1,1,0.792565,0.23248073,-0.23248073,0.792565,0.792565,0.51053834,-0.51053834,0.292565,1,1,0.5078194532190107,0.5087457551650456
20,full_retraining_reference,s4_random_10_percent,retain_training_member,1,1,0.6590161,0.4170073,-0.4170073,0.6590161,0.6590161,0.64168596,-0.64168596,0.15901607,1,1,0.5066836535844551,0.4983398599575206
22,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.000895462,0.000895977,-0.000895977,0.99910456,0.99910456,0.007179545,-0.007179545,0.49910453,1,0,0.5024558248894332,0.5090381098486669
23,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.027911723,0.02830863,-0.02830863,0.9720883,0.9720883,0.12740643,-0.12740643,0.47208828,1,0,0.5029311761936217,0.49868385590009473
25,full_retraining_reference,s4_random_10_percent,retain_training_member,1,1,0.75512916,0.28086647,-0.28086647,0.75512916,0.75512916,0.5566297,-0.5566297,0.25512916,1,1,0.5077235551792835,0.5035781237638743
26,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.00036533966,0.00036525726,-0.00036525726,0.9996347,0.9996347,0.0032567976,-0.0032567976,0.49963465,1,0,0.5024287460497288,0.6028782880476179
28,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.28788024,0.33950925,-0.33950925,0.71211976,0.71211976,0.6002428,-0.6002428,0.21211976,1,0,0.4981732003396094,0.5011394594795864
29,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.16034478,0.17476392,-0.17476392,0.8396552,0.8396552,0.44024116,-0.44024116,0.33965522,1,0,0.50173982820433,0.5009475971749932
30,full_retraining_reference,s4_random_10_percent,retain_training_member,1,1,0.9363558,0.06575968,-0.06575968,0.9363558,0.9363558,0.23687902,-0.23687902,0.43635583,1,1,0.5064303259610402,0.5014353581237194
32,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.09552647,0.100402355,-0.100402355,0.90447354,0.90447354,0.31514093,-0.31514093,0.40447354,1,0,0.5027312117117565,0.50351120343667
33,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.15528361,0.16875434,-0.16875434,0.84471637,0.84471637,0.43176565,-0.43176565,0.34471637,1,0,0.5018388925365282,0.5009781106802358
34,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.009284925,0.009328365,-0.009328365,0.9907151,0.9907151,0.05268921,-0.05268921,0.4907151,1,0,0.5026977557771903,0.5010672561949889
35,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.2263645,0.25665438,-0.25665438,0.7736355,0.7736355,0.53484607,-0.53484607,0.2736355,1,0,0.5001452967276583,0.5052361508740149
37,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,3.0114265e-05,3.0517578e-05,-3.0517578e-05,0.9999699,0.9999699,0.0003436048,-0.0003436048,0.4999699,1,0,0.5024067513761291,0.48106999667318534
38,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.00043618443,0.000436306,-0.000436306,0.9995638,0.9995638,0.0038110449,-0.0038110449,0.4995638,1,0,0.5024326970979847,0.4579619354738203
41,full_retraining_reference,s4_random_10_percent,retain_training_member,1,1,0.6706858,0.3994544,-0.3994544,0.6706858,0.6706858,0.6336919,-0.6336919,0.17068583,1,1,0.5068722039408159,0.5025117685169558
42,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.095154434,0.09999108,-0.09999108,0.9048456,0.9048456,0.3143038,-0.3143038,0.40484557,1,0,0.5027350187673908,0.50351120343667
43,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.033702552,0.034283638,-0.034283638,0.96629745,0.96629745,0.14738591,-0.14738591,0.46629745,1,0,0.5029647572874522,0.5023373574904391
44,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.0001890565,0.00018882751,-0.00018882751,0.99981093,0.99981093,0.0018099172,-0.0018099172,0.49981093,1,0,0.5024181465674378,0.4643307451059375
47,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.7339684,1.32414,-1.32414,0.26603162,0.7339684,0.57927173,-0.57927173,0.23396838,0,1,0.47540944615837355,0.5083045179470238
48,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,7.406614e-05,7.43866e-05,-7.43866e-05,0.9999259,0.9999259,0.00077849574,-0.00077849574,0.49992594,1,0,0.5024102292152073,0.48106999667318534
50,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.00016512336,0.00016498566,-0.00016498566,0.9998349,0.9998349,0.0016031205,-0.0016031205,0.49983487,1,0,0.5024165867258175,0.4631768989520914
52,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.0015116098,0.0015130043,-0.0015130043,0.99848837,0.99848837,0.011327761,-0.011327761,0.4984884,1,0,0.502482692538086,0.49191518134642725
54,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.025643768,0.025978327,-0.025978327,0.97435623,0.97435623,0.1192569,-0.1192569,0.47435623,1,0,0.5029140452566266,0.5001626784735952
55,full_retraining_reference,s4_random_10_percent,retain_training_member,1,0,0.001469249,0.001470089,-0.001470089,0.99853075,0.99853075,0.011052093,-0.011052093,0.49853075,1,0,0.5024809688789578,0.4929845394243817
