original_index,model_type,scenario,subset,true_historical_membership,true_class,model_probability,model_loss,negative_model_loss,true_class_confidence,max_probability,prediction_entropy,negative_entropy,probability_margin,correct_prediction,y_pred,shadow_logistic_score,shadow_random_forest_score
0,full_retraining_reference,s5_retention_expiry,retain_training_member,1,0,0.00038157174,0.00038146973,-0.00038146973,0.9996184,0.9996184,0.003384948,-0.003384948,0.49961844,1,0,0.5024296678349705,0.5133072577665309
5,full_retraining_reference,s5_retention_expiry,retain_training_member,1,0,0.0015131019,0.0015144348,-0.0015144348,0.9984869,0.9984869,0.011337447,-0.011337447,0.4984869,1,0,0.5024827557934457,0.48867162884224635
6,full_retraining_reference,s5_retention_expiry,retain_training_member,1,0,0.0014231536,0.0014243126,-0.0014243126,0.9985768,0.9985768,0.010750768,-0.010750768,0.49857685,1,0,0.5024790468971064,0.5061747380462548
7,full_retraining_reference,s5_retention_expiry,retain_training_member,1,1,0.82183355,0.19621737,-0.19621737,0.82183355,0.82183355,0.46860176,-0.46860176,0.32183355,1,1,0.5077730277548591,0.51110593195433
8,full_retraining_reference,s5_retention_expiry,retain_training_member,1,0,0.00112226,0.0011229515,-0.0011229515,0.99887776,0.99887776,0.008744458,-0.008744458,0.49887773,1,0,0.502466144423492,0.4949721776054223
9,full_retraining_reference,s5_retention_expiry,retain_training_member,1,0,0.025595099,0.025928259,-0.025928259,0.97440493,0.97440493,0.1190798,-0.1190798,0.4744049,1,0,0.5029136541847468,0.5001626784735953
10,full_retraining_reference,s5_retention_expiry,retain_training_member,1,1,0.76036423,0.27395773,-0.27395773,0.76036423,0.76036423,0.5506597,-0.5506597,0.26036423,1,1,0.5077473215558659,0.5019835283546492
12,full_retraining_reference,s5_retention_expiry,retain_training_member,1,0,0.0031832533,0.0031881332,-0.0031881332,0.99681675,0.99681675,0.021481408,-0.021481408,0.49681675,1,0,0.5025432251475537,0.5019867599349528
14,full_retraining_reference,s5_retention_expiry,retain_training_member,1,1,0.60176545,0.5078875,-0.5078875,0.60176545,0.60176545,0.6722894,-0.6722894,0.101765454,1,1,0.5054936181360732,0.5014631331574751
15,full_retraining_reference,s5_retention_expiry,retain_training_member,1,1,0.80689454,0.21456228,-0.21456228,0.80689454,0.80689454,0.4906947,-0.4906947,0.30689454,1,1,0.5078102323489111,0.5373969417549275
17,full_retraining_reference,s5_retention_expiry,retain_training_member,1,0,0.44063276,0.58094895,-0.58094895,0.55936724,0.55936724,0.6860816,-0.6860816,0.05936724,1,0,0.491157746198797,0.49712183590822456
19,full_retraining_reference,s5_retention_expiry,retain_training_member,1,1,0.7280436,0.31739432,-0.31739432,0.7280436,0.7280436,0.585195,-0.585195,0.22804362,1,1,0.5075469168963873,0.5023792442149408
20,full_retraining_reference,s5_retention_expiry,retain_training_member,1,1,0.6249513,0.47008157,-0.47008157,0.6249513,0.6249513,0.6615881,-0.6615881,0.1249513,1,1,0.5060298994886525,0.4990558398270706
21,full_retraining_reference,s5_retention_expiry,retain_training_member,1,0,0.0011771825,0.0011777878,-0.0011777878,0.9988228,0.9988228,0.009116161,-0.009116161,0.4988228,1,0,0.5024685676298682,0.5134818134305644
