original_index,model_type,scenario,subset,true_historical_membership,true_class,model_probability,model_loss,negative_model_loss,true_class_confidence,max_probability,prediction_entropy,negative_entropy,probability_margin,correct_prediction,y_pred,shadow_model_id
17579,shadow_model,shadow_0,shadow_in,1,0,0.011374768,0.0114398,-0.0114398,0.9886252,0.9886252,0.062227365,-0.062227365,0.48862523,1,0,0
26338,shadow_model,shadow_0,shadow_in,1,0,0.16959287,0.18583918,-0.18583918,0.83040714,0.83040714,0.45524007,-0.45524007,0.33040714,1,0,0
2675,shadow_model,shadow_0,shadow_in,1,0,0.020735342,0.020953417,-0.020953417,0.9792647,0.9792647,0.10088728,-0.10088728,0.47926465,1,0,0
15997,shadow_model,shadow_0,shadow_in,1,0,0.60258937,0.9227851,-0.9227851,0.39741063,0.60258937,0.67194784,-0.67194784,0.10258937,0,1,0
45656,shadow_model,shadow_0,shadow_in,1,0,0.009844092,0.0098929405,-0.0098929405,0.99015594,0.99015594,0.05528386,-0.05528386,0.4901559,1,0,0
6225,shadow_model,shadow_0,shadow_in,1,0,0.2513995,0.28954983,-0.28954983,0.7486005,0.7486005,0.56386745,-0.56386745,0.24860051,1,0,0
46148,shadow_model,shadow_0,shadow_in,1,1,0.39880356,0.9192862,-0.9192862,0.39880356,0.6011964,0.6725236,-0.6725236,0.10119644,0,0,0
40655,shadow_model,shadow_0,shadow_in,1,0,0.04487114,0.045909166,-0.045909166,0.95512885,0.95512885,0.18312728,-0.18312728,0.45512885,1,0,0
45431,shadow_model,shadow_0,shadow_in,1,0,0.0053719874,0.0053863525,-0.0053863525,0.994628,0.994628,0.033434533,-0.033434533,0.494628,1,0,0
16530,shadow_model,shadow_0,shadow_in,1,0,0.3224482,0.38926935,-0.38926935,0.6775518,0.6775518,0.6287011,-0.6287011,0.1775518,1,0,0
8628,shadow_model,shadow_0,shadow_in,1,0,0.0048301048,0.0048418045,-0.0048418045,0.9951699,0.9951699,0.030576842,-0.030576842,0.4951699,1,0,0
34564,shadow_model,shadow_0,shadow_in,1,0,0.3951839,0.50283086,-0.50283086,0.6048161,0.6048161,0.6710105,-0.6710105,0.10481611,1,0,0
24303,shadow_model,shadow_0,shadow_in,1,0,0.012040016,0.012113094,-0.012113094,0.98796,0.98796,0.065178335,-0.065178335,0.48795998,1,0,0
23560,shadow_model,shadow_0,shadow_in,1,0,0.033677947,0.034258127,-0.034258127,0.96632206,0.96632206,0.14730331,-0.14730331,0.46632206,1,0,0
21697,shadow_model,shadow_0,shadow_in,1,0,0.20010936,0.22328031,-0.22328031,0.79989064,0.79989064,0.50055397,-0.50055397,0.29989064,1,0,0
11971,shadow_model,shadow_0,shadow_in,1,0,0.3734806,0.46757555,-0.46757555,0.62651944,0.62651944,0.6607821,-0.6607821,0.12651941,1,0,0
1822,shadow_model,shadow_0,shadow_in,1,1,0.6201133,0.477853,-0.477853,0.6201133,0.6201133,0.6640086,-0.6640086,0.12011331,1,1,0
19009,shadow_model,shadow_0,shadow_in,1,0,0.0028571386,0.002861023,-0.002861023,0.99714285,0.99714285,0.019589994,-0.019589994,0.49714285,1,0,0
21674,shadow_model,shadow_0,shadow_in,1,0,0.16625845,0.18183184,-0.18183184,0.83374155,0.83374155,0.4499036,-0.4499036,0.33374155,1,0,0
7977,shadow_model,shadow_0,shadow_in,1,0,0.08911472,0.09333825,-0.09333825,0.9108853,0.9108853,0.3004848,-0.3004848,0.41088527,1,0,0
11617,shadow_model,shadow_0,shadow_in,1,1,0.05299461,2.937565,-2.937565,0.05299461,0.9470054,0.20724002,-0.20724002,0.4470054,0,0,0
9789,shadow_model,shadow_0,shadow_in,1,0,0.12954795,0.13874257,-0.13874257,0.87045205,0.87045205,0.38552648,-0.38552648,0.37045205,1,0,0
42249,shadow_model,shadow_0,shadow_in,1,0,0.014586113,0.014693737,-0.014693737,0.9854139,0.9854139,0.07614469,-0.07614469,0.48541388,1,0,0
13725,shadow_model,shadow_0,shadow_in,1,0,0.016012413,0.016141891,-0.016141891,0.98398757,0.98398757,0.08208512,-0.08208512,0.4839876,1,0,0
10614,shadow_model,shadow_0,shadow_in,1,0,0.04303953,0.043993235,-0.043993235,0.95696044,0.95696044,0.17748648,-0.17748648,0.45696047,1,0,0
28874,shadow_model,shadow_0,shadow_in,1,0,0.05556145,0.05716467,-0.05716467,0.9444386,0.9444386,0.21457583,-0.21457583,0.44443855,1,0,0
1430,shadow_model,shadow_0,shadow_in,1,0,0.060239792,0.06213045,-0.06213045,0.9397602,0.9397602,0.22762682,-0.22762682,0.4397602,1,0,0
34110,shadow_model,shadow_0,shadow_in,1,0,0.031010048,0.031501055,-0.031501055,0.96898997,0.96898997,0.13823584,-0.13823584,0.46898994,1,0,0
34227,shadow_model,shadow_0,shadow_in,1,0,0.02238464,0.022639036,-0.022639036,0.97761536,0.97761536,0.10717998,-0.10717998,0.47761536,1,0,0
34857,shadow_model,shadow_0,shadow_in,1,0,0.019765623,0.019963503,-0.019963503,0.9802344,0.9802344,0.097125545,-0.097125545,0.48023438,1,0,0
6539,shadow_model,shadow_0,shadow_in,1,0,0.039832145,0.04064727,-0.04064727,0.9601679,0.9601679,0.16741031,-0.16741031,0.46016786,1,0,0
20228,shadow_model,shadow_0,shadow_in,1,0,0.017510919,0.017665863,-0.017665863,0.9824891,0.9824891,0.08818712,-0.08818712,0.48248908,1,0,0
5431,shadow_model,shadow_0,shadow_in,1,0,0.15908596,0.17326581,-0.17326581,0.840914,0.840914,0.43815112,-0.43815112,0.34091404,1,0,0
12017,shadow_model,shadow_0,shadow_in,1,0,0.010271893,0.010324955,-0.010324955,0.9897281,0.9897281,0.05724723,-0.05724723,0.4897281,1,0,0
48188,shadow_model,shadow_0,shadow_in,1,1,0.7524731,0.28439,-0.28439,0.7524731,0.7524731,0.5596018,-0.5596018,0.25247312,1,1,0
28788,shadow_model,shadow_0,shadow_in,1,0,0.008639464,0.008677006,-0.008677006,0.99136055,0.99136055,0.049651705,-0.049651705,0.49136055,1,0,0
20891,shadow_model,shadow_0,shadow_in,1,0,0.14423686,0.1557616,-0.1557616,0.85576314,0.85576314,0.41258067,-0.41258067,0.35576314,1,0,0
