scenario,label,precision,recall,f1-score,support
s1_random_1_percent,0,0.8884290394895672,0.9242913527090061,0.9060054515079574,5574.0
s1_random_1_percent,1,0.7238219895287958,0.6309184255561894,0.6741846997866504,1753.0
s1_random_1_percent,macro avg,0.8061255145091815,0.7776048891325977,0.790095075647304,7327.0
s1_random_1_percent,weighted avg,0.8490464601827251,0.8541012692780128,0.8505418541601409,7327.0
s2_random_5_percent,0,0.8908964558721334,0.9199856476498026,0.905207413945278,5574.0
s2_random_5_percent,1,0.7161043921069382,0.6417569880205363,0.6768953068592057,1753.0
s2_random_5_percent,macro avg,0.8035004239895358,0.7808713178351694,0.7910513604022419,7327.0
s2_random_5_percent,weighted avg,0.8490770908140759,0.8534188617442336,0.8505832671291343,7327.0
s3_simulated_data_provider_withdrawal,0,0.8901593901593902,0.9217796914244708,0.905693636523885,5574.0
s3_simulated_data_provider_withdrawal,1,0.7196141479099678,0.6383342840844267,0.6765417170495768,1753.0
s3_simulated_data_provider_withdrawal,macro avg,0.804886769034679,0.7800569877544488,0.791117676786731,7327.0
s3_simulated_data_provider_withdrawal,weighted avg,0.8493560859880734,0.853964787771257,0.8508685628459183,7327.0
s4_random_10_percent,0,0.8896957123098201,0.9232149264442052,0.9061454481422786,5574.0
s4_random_10_percent,1,0.7226182760855476,0.6360524814603536,0.6765776699029126,1753.0
s4_random_10_percent,macro avg,0.8061569941976838,0.7796337039522794,0.7913615590225955,7327.0
s4_random_10_percent,weighted avg,0.8497220879477143,0.8545107137982804,0.8512208793892272,7327.0
s5_retention_expiry,0,0.9028602266594711,0.9004305705059203,0.9016437617892751,5574.0
s5_retention_expiry,1,0.6860859728506787,0.6919566457501426,0.6890088043169554,1753.0
s5_retention_expiry,macro avg,0.7944730997550749,0.7961936081280314,0.7953262830531153,7327.0
s5_retention_expiry,weighted avg,0.8509965352541465,0.8505527501023611,0.850770405647747,7327.0
