scenario,display_name,model,attack_type,member_set,non_member_set,attack_auc,attack_auc_ci_low,attack_auc_ci_high,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.05,permutation_p_value,mean_member_score,mean_non_member_score,attack_auc_bootstrap_mean,threshold_balanced_attack_accuracy,attack_threshold,member_count,non_member_count
s1_random_1_percent,Random 1%,baseline,confidence,train,test,0.5049096995533419,0.49844854346476636,0.5113489333359439,0.0,0.008540758723566058,0.048904618444528945,0.115,0.805363655090332,0.8002792596817017,0.5048623252615267,0.5023823785317085,0.9931447505950928,34189,7327
s1_random_1_percent,Random 1%,baseline,loss,train,test,0.5049098771960647,0.4974179166806713,0.5127977127397375,0.0,0.008043522770481733,0.0488753692708181,0.1,-0.2989281713962555,-0.31255313754081726,0.5049064113203356,0.5023823785317085,-0.006878972053527832,34189,7327
s1_random_1_percent,Random 1%,fully_retrained,confidence,retain,forget,0.48645094013532175,0.45755756297622635,0.5250552821789465,0.0,0.009867935119803823,0.040594439684462434,0.83,0.8069450855255127,0.8050587773323059,0.48912591761160146,0.48598185297892804,0.9935173392295837,33847,342
s1_random_1_percent,Random 1%,fully_retrained,loss,retain,forget,0.4864505513890595,0.44757129463750206,0.5142431445533802,0.0,0.009838390403876266,0.04053535025260732,0.865,-0.2994500696659088,-0.3142617344856262,0.485608251503665,0.48598185297892804,-0.006503582000732422,33847,342
s1_random_1_percent,Random 1%,gradient_ascent,confidence,retain,forget,0.4853327331091045,0.45657237835100045,0.5166485903358744,0.0,0.012261057109935887,0.04396253730020386,0.73,0.804955005645752,0.8057197332382202,0.4841611119815566,0.48745861364098536,0.9930441379547119,33847,342
s1_random_1_percent,Random 1%,gradient_ascent,loss,retain,forget,0.48533221478075483,0.4501330292000931,0.5129836561366423,0.0,0.011995154666587881,0.04387390315242119,0.835,-0.2991684675216675,-0.3064410090446472,0.48432082331949095,0.48745861364098536,-0.006980419158935547,33847,342
s1_random_1_percent,Random 1%,overfit_control,confidence,retain,forget,0.4909143087478103,0.4595705592635473,0.5200095033653533,0.0,0.011788341655094986,0.03899902502437439,0.74,0.815340518951416,0.8096403479576111,0.49058566967408845,0.4889353743030428,0.9946691989898682,33847,342
s1_random_1_percent,Random 1%,overfit_control,loss,retain,forget,0.4909159501209174,0.45715146119469363,0.5219831708235746,0.0,0.011788341655094986,0.03891039087659172,0.775,-0.28629037737846375,-0.3106216490268707,0.4924269779820241,0.4889353743030428,-0.005344867706298828,33847,342
s2_random_5_percent,Random 5%,baseline,confidence,train,test,0.5049096995533419,0.49844854346476636,0.5113489333359439,0.0,0.008540758723566058,0.048904618444528945,0.115,0.805363655090332,0.8002792596817017,0.5048623252615267,0.5023823785317085,0.9931447505950928,34189,7327
s2_random_5_percent,Random 5%,baseline,loss,train,test,0.5049098771960647,0.4974179166806713,0.5127977127397375,0.0,0.008043522770481733,0.0488753692708181,0.1,-0.2989281713962555,-0.31255313754081726,0.5049064113203356,0.5023823785317085,-0.006878972053527832,34189,7327
s2_random_5_percent,Random 5%,fully_retrained,confidence,retain,forget,0.504221150991419,0.4918472372185263,0.5178066516989032,0.0,0.009759852216748768,0.054310344827586204,0.3,0.8044118285179138,0.8009648323059082,0.5047860670960673,0.5022442761733736,0.9932264685630798,32480,1709
s2_random_5_percent,Random 5%,fully_retrained,loss,retain,forget,0.5042209257999521,0.4912547794239486,0.5172525240834124,0.0,0.00960591133004926,0.0541564039408867,0.25,-0.29812559485435486,-0.30279541015625,0.5039794324922585,0.5022442761733736,-0.006796360015869141,32480,1709
