scenario,display_name,method,epoch,is_epoch_zero_control,is_selected_checkpoint,forget_probability_mae_to_retraining,relative_probability_improvement,forget_probability_wasserstein_to_retraining,forget_loss_mae_to_retraining,relative_loss_improvement,forget_loss_wasserstein_to_retraining,probability_records_moved_closer_percentage,loss_records_moved_closer_percentage,forget_prediction_agreement_with_retraining,retain_f1,validation_f1,test_f1,cumulative_optimizer_steps,runtime_seconds
s1_random_1_percent,Random 1%,NegGrad,0,True,False,0.01089129876345396,0.0,0.0064315773685113126,0.02585407007391586,0.0,0.015111543653278868,0.0,0.0,0.9883040935672515,0.6888582496224804,0.6884944920440637,0.6750846935632892,0,0.0
s1_random_1_percent,Random 1%,NegGrad,1,False,False,0.011080977506935596,-0.017415622103592376,0.00693946069798902,0.026121035618807423,-0.010325861426395022,0.014784876572629585,28.654970760233915,28.654970760233915,0.9824561403508771,0.6893934436956095,0.6892551892551892,0.6750382848392037,2,0.00889216607902199
s1_random_1_percent,Random 1%,NegGrad,2,False,False,0.011399783194065094,-0.04668721716801727,0.007438637894505368,0.026704329411940207,-0.03288686599802215,0.014730952413211484,33.04093567251462,33.04093567251462,0.97953216374269,0.6901684292988641,0.6889835666463786,0.6746104491292392,4,0.017261916073039174
s1_random_1_percent,Random 1%,NegGrad,3,False,True,0.011860844679176807,-0.08902022952268873,0.008141476913470662,0.027659831219658607,-0.06984436649936132,0.014730411379976086,32.45614035087719,32.748538011695906,0.97953216374269,0.6907149368407345,0.6901365705614567,0.6741846997866504,6,0.0251715830527246
s2_random_5_percent,Random 5%,NegGrad,0,True,False,0.013411344029009342,0.0,0.0034619916666749065,0.027194814919392286,0.0,0.00862177314643709,0.0,0.0,0.9842012873025161,0.6883498462589682,0.6884944920440637,0.6750846935632892,0,0.0
s2_random_5_percent,Random 5%,NegGrad,1,False,False,0.013012338429689407,0.029751350681696653,0.0033266116761251634,0.026674288299034187,0.019140656845835657,0.008041625031130914,52.25277940315974,52.25277940315974,0.9824458747805734,0.6901427600271924,0.6910420475319927,0.6744186046511628,7,0.02805924997664988
s2_random_5_percent,Random 5%,NegGrad,2,False,False,0.012892254628241062,0.03870524830661759,0.005006466186920093,0.026757828168691756,0.016068752517558793,0.00784894380207721,48.21533060269163,48.15681685196021,0.9818607372732592,0.6913213659063301,0.6920519794499849,0.6755609460278957,14,0.05608599993865937
s2_random_5_percent,Random 5%,NegGrad,3,False,True,0.013803054578602314,-0.029207404473830856,0.008341245497808934,0.028786345080040788,-0.05852329443557269,0.007846783453564715,41.66179052077238,41.60327677004096,0.9801053247513165,0.6931924568677277,0.6945028537098228,0.6768953068592057,21,0.08394387492444366
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad,0,True,False,0.013069559819996357,0.0,0.009647652049207991,0.02908051366806977,0.0,0.013180905071287203,0.0,0.0,0.9852767962308598,0.6890744797371303,0.6884944920440637,0.6750846935632892,0,0.0
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad,1,False,False,0.015204332768917084,-0.16333931504368926,0.01299606999070827,0.033300153282441125,-0.14510196286541177,0.013976725436817416,15.783274440518259,15.783274440518259,0.9846878680800942,0.6909609120521173,0.6911185207638678,0.6741846997866504,7,0.02915308391675353
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad,2,False,False,0.016370344907045364,-0.2525551841462039,0.014553978128050048,0.035487582942129135,-0.220321736651244,0.01499374616323156,14.546525323910483,14.546525323910483,0.9840989399293286,0.6911724884917412,0.6920519794499849,0.6753799392097265,14,0.05562591692432761
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad,3,False,True,0.018623560667037964,-0.42495699346691196,0.017395763240529855,0.03980119975834767,-0.3686553206262362,0.016359948201450165,12.426383981154299,12.426383981154299,0.9823321554770318,0.6918103448275862,0.6945531146554318,0.6765417170495768,21,0.08355404192116112
