scenario,display_name,epoch,model,original_index,normalised_entropy
s1_random_1_percent,Random 1%,0,baseline_epoch_0,353,0.4615932038008707
s1_random_1_percent,Random 1%,0,baseline_epoch_0,489,0.3855128172273767
s1_random_1_percent,Random 1%,0,baseline_epoch_0,946,0.5834425441621616
s1_random_1_percent,Random 1%,0,baseline_epoch_0,1059,0.0006297619257013833
s1_random_1_percent,Random 1%,0,baseline_epoch_0,1109,0.5766359915132391
s1_random_1_percent,Random 1%,0,baseline_epoch_0,1116,0.007845513198728206
s1_random_1_percent,Random 1%,0,baseline_epoch_0,1523,0.052335025367742816
s1_random_1_percent,Random 1%,0,baseline_epoch_0,1714,0.7458011191128118
s1_random_1_percent,Random 1%,0,baseline_epoch_0,1841,0.09384461711354553
s1_random_1_percent,Random 1%,0,baseline_epoch_0,1860,0.006802027158763894
s1_random_1_percent,Random 1%,0,baseline_epoch_0,2070,0.06680683804064332
s1_random_1_percent,Random 1%,0,baseline_epoch_0,2167,0.7247258716088664
s1_random_1_percent,Random 1%,0,baseline_epoch_0,2893,0.0027552050528371987
s1_random_1_percent,Random 1%,0,baseline_epoch_0,3127,0.04800049862874934
s1_random_1_percent,Random 1%,0,baseline_epoch_0,3204,0.05751455239558688
s1_random_1_percent,Random 1%,0,baseline_epoch_0,3320,0.6681779660918565
s1_random_1_percent,Random 1%,0,baseline_epoch_0,3729,0.43482855647138713
s1_random_1_percent,Random 1%,0,baseline_epoch_0,3882,0.009372567912372053
s1_random_1_percent,Random 1%,0,baseline_epoch_0,3894,0.4923117853762174
s1_random_1_percent,Random 1%,0,baseline_epoch_0,4062,0.5383900449819738
s1_random_1_percent,Random 1%,0,baseline_epoch_0,4148,0.2928330371203013
s1_random_1_percent,Random 1%,0,baseline_epoch_0,4194,0.0029100363984273145
s1_random_1_percent,Random 1%,0,baseline_epoch_0,4305,0.3814797015828619
s1_random_1_percent,Random 1%,0,baseline_epoch_0,4366,0.0852675067679093
s1_random_1_percent,Random 1%,0,baseline_epoch_0,4430,0.9699659432497717
s1_random_1_percent,Random 1%,0,baseline_epoch_0,4452,0.6320522706797675
s1_random_1_percent,Random 1%,0,baseline_epoch_0,4512,0.10502984577325285
s1_random_1_percent,Random 1%,0,baseline_epoch_0,4591,0.9865063976894475
s1_random_1_percent,Random 1%,0,baseline_epoch_0,4646,0.06270547610122609
s1_random_1_percent,Random 1%,0,baseline_epoch_0,4721,0.024960681302296152
s1_random_1_percent,Random 1%,0,baseline_epoch_0,4751,0.028254811146843372
s1_random_1_percent,Random 1%,0,baseline_epoch_0,5080,0.4456515051825011
s1_random_1_percent,Random 1%,0,baseline_epoch_0,5202,0.002418336138612997
s1_random_1_percent,Random 1%,0,baseline_epoch_0,5300,0.63068858825815
s1_random_1_percent,Random 1%,0,baseline_epoch_0,5339,0.012602893573435796
s1_random_1_percent,Random 1%,0,baseline_epoch_0,5610,0.5739759492581751
s1_random_1_percent,Random 1%,0,baseline_epoch_0,5795,5.8434861196991436e-05
s1_random_1_percent,Random 1%,0,baseline_epoch_0,5856,0.07088008118103276
s1_random_1_percent,Random 1%,0,baseline_epoch_0,6229,0.8952604204938415
s1_random_1_percent,Random 1%,0,baseline_epoch_0,6295,2.4696191620726135e-06
s1_random_1_percent,Random 1%,0,baseline_epoch_0,6304,0.787693724167362
s1_random_1_percent,Random 1%,0,baseline_epoch_0,6388,0.0005297614801519565
s1_random_1_percent,Random 1%,0,baseline_epoch_0,6868,0.7986027226406125
s1_random_1_percent,Random 1%,0,baseline_epoch_0,6872,0.010593246250878676
s1_random_1_percent,Random 1%,0,baseline_epoch_0,6918,0.9122729212239149
s1_random_1_percent,Random 1%,0,baseline_epoch_0,6931,0.8264563294737248
s1_random_1_percent,Random 1%,0,baseline_epoch_0,6987,0.0053781558397373785
s1_random_1_percent,Random 1%,0,baseline_epoch_0,7118,0.0017628523718924622
