scenario,model,original_index,y_true,probability_gt_50k,true_class_probability,binary_cross_entropy_loss,predicted_class,prediction_correct
s1_random_1_percent,gradient_ascent,353,1,0.09908113,0.09908113,2.3118162,0,0
s1_random_1_percent,gradient_ascent,489,0,0.077126,0.922874,0.08026266,0,1
s1_random_1_percent,gradient_ascent,946,0,0.14057253,0.85942745,0.1514889,0,1
s1_random_1_percent,gradient_ascent,1059,0,4.0299772e-05,0.9999597,4.005432e-05,0,1
s1_random_1_percent,gradient_ascent,1109,0,0.13775651,0.8622435,0.14821756,0,1
s1_random_1_percent,gradient_ascent,1116,0,0.0006868774,0.9993131,0.00068712234,0,1
s1_random_1_percent,gradient_ascent,1523,0,0.006121548,0.9938784,0.006140232,0,1
s1_random_1_percent,gradient_ascent,1714,0,0.21547917,0.78452086,0.24268222,0,1
s1_random_1_percent,gradient_ascent,1841,0,0.012361461,0.98763853,0.012438297,0,1
s1_random_1_percent,gradient_ascent,1860,0,0.0005814415,0.99941856,0.00058174133,0,1
s1_random_1_percent,gradient_ascent,2070,0,0.008215002,0.991785,0.008248806,0,1
s1_random_1_percent,gradient_ascent,2167,1,0.8025078,0.8025078,0.22001363,1,1
s1_random_1_percent,gradient_ascent,2893,0,0.00020938038,0.9997906,0.00020980835,0,1
s1_random_1_percent,gradient_ascent,3127,0,0.0055271573,0.99447286,0.0055422783,0,1
s1_random_1_percent,gradient_ascent,3204,0,0.0070034903,0.9929965,0.007028103,0,1
s1_random_1_percent,gradient_ascent,3320,0,0.17986588,0.8201341,0.19828737,0,1
s1_random_1_percent,gradient_ascent,3729,1,0.08989584,0.08989584,2.4091036,0,0
s1_random_1_percent,gradient_ascent,3882,0,0.00084539194,0.9991546,0.0008459091,0,1
s1_random_1_percent,gradient_ascent,3894,0,0.10814158,0.8918584,0.11444783,0,1
s1_random_1_percent,gradient_ascent,4062,0,0.12389252,0.87610745,0.1322664,0,1
s1_random_1_percent,gradient_ascent,4148,0,0.052606784,0.94739324,0.054041147,0,1
s1_random_1_percent,gradient_ascent,4194,0,0.0002223379,0.9997777,0.00022220612,0,1
s1_random_1_percent,gradient_ascent,4305,0,0.077004425,0.92299557,0.080130816,0,1
s1_random_1_percent,gradient_ascent,4366,0,0.010883596,0.98911643,0.010943413,0,1
s1_random_1_percent,gradient_ascent,4430,0,0.61499804,0.38500196,0.9545068,1,0
s1_random_1_percent,gradient_ascent,4452,0,0.16422032,0.83577967,0.17939019,0,1
s1_random_1_percent,gradient_ascent,4512,0,0.014400583,0.9855994,0.014505386,0,1
s1_random_1_percent,gradient_ascent,4591,1,0.5742082,0.5742082,0.55476314,1,1
s1_random_1_percent,gradient_ascent,4646,0,0.0073815966,0.9926184,0.0074090958,0,1
s1_random_1_percent,gradient_ascent,4721,0,0.0025285785,0.9974714,0.0025320053,0,1
s1_random_1_percent,gradient_ascent,4751,0,0.0029687465,0.9970313,0.0029730797,0,1
s1_random_1_percent,gradient_ascent,5080,1,0.093084,0.093084,2.3742528,0,0
s1_random_1_percent,gradient_ascent,5202,0,0.00018267185,0.9998173,0.00018310547,0,1
s1_random_1_percent,gradient_ascent,5300,0,0.16303259,0.8369674,0.17797017,0,1
s1_random_1_percent,gradient_ascent,5339,0,0.0011705306,0.9988295,0.0011711121,0,1
s1_random_1_percent,gradient_ascent,5610,1,0.8673948,0.8673948,0.14226104,1,1
s1_random_1_percent,gradient_ascent,5795,0,3.021823e-06,0.99999696,2.861023e-06,0,1
s1_random_1_percent,gradient_ascent,5856,0,0.0086428085,0.9913572,0.008680344,0,1
s1_random_1_percent,gradient_ascent,6229,1,0.69475085,0.69475085,0.36420196,1,1
s1_random_1_percent,gradient_ascent,6295,1,1.0,1.0,0.0,1,1
s1_random_1_percent,gradient_ascent,6304,1,0.23699354,0.23699354,1.4397223,0,0
s1_random_1_percent,gradient_ascent,6388,0,3.4122982e-05,0.9999659,3.4332275e-05,0,1
s1_random_1_percent,gradient_ascent,6868,1,0.24388675,0.24388675,1.4110512,0,0
s1_random_1_percent,gradient_ascent,6872,0,0.0009659325,0.99903405,0.0009665489,0,1
s1_random_1_percent,gradient_ascent,6918,1,0.6796312,0.6796312,0.38620502,1,1
s1_random_1_percent,gradient_ascent,6931,0,0.2637342,0.7362658,0.30616415,0,1
s1_random_1_percent,gradient_ascent,6987,0,0.0004411696,0.9995588,0.00044107437,0,1
s1_random_1_percent,gradient_ascent,7118,0,0.00012803894,0.99987197,0.00012779236,0,1
s1_random_1_percent,gradient_ascent,7476,0,0.101442225,0.8985578,0.10696435,0,1
s1_random_1_percent,gradient_ascent,7499,0,0.7435022,0.2564978,1.360635,1,0
s1_random_1_percent,gradient_ascent,7576,0,0.64601666,0.35398334,1.0385053,1,0
s1_random_1_percent,gradient_ascent,7891,1,0.90831923,0.90831923,0.09615936,1,1
s1_random_1_percent,gradient_ascent,7933,1,0.73207176,0.73207176,0.31187677,1,1
s1_random_1_percent,gradient_ascent,7946,1,0.3626027,0.3626027,1.0144475,0,0
s1_random_1_percent,gradient_ascent,8088,0,0.018568363,0.98143166,0.018743038,0,1
s1_random_1_percent,gradient_ascent,8161,0,0.25372368,0.7462763,0.29265928,0,1
s1_random_1_percent,gradient_ascent,8193,0,0.00045110306,0.9995489,0.00045108795,0,1
s1_random_1_percent,gradient_ascent,8380,0,6.2554194e-05,0.9999375,6.2942505e-05,0,1
s1_random_1_percent,gradient_ascent,8602,0,0.2961664,0.7038336,0.35121334,0,1
s1_random_1_percent,gradient_ascent,8668,1,0.83406395,0.83406395,0.18144521,1,1
s1_random_1_percent,gradient_ascent,8803,0,0.0036201302,0.99637985,0.0036268234,0,1
s1_random_1_percent,gradient_ascent,8899,1,0.89243436,0.89243436,0.113802314,1,1
s1_random_1_percent,gradient_ascent,9241,1,0.9262397,0.9262397,0.07662215,1,1
s1_random_1_percent,gradient_ascent,9254,0,0.035442274,0.9645577,0.036085606,0,1
s1_random_1_percent,gradient_ascent,9493,0,0.0022448986,0.9977551,0.0022473335,0,1
s1_random_1_percent,gradient_ascent,9777,0,0.34002754,0.6599724,0.41555715,0,1
s1_random_1_percent,gradient_ascent,9828,0,0.00037512268,0.99962485,0.00037527084,0,1
s1_random_1_percent,gradient_ascent,9923,0,0.05191109,0.9480889,0.053307056,0,1
s1_random_1_percent,gradient_ascent,9968,0,3.1827673e-05,0.9999682,3.1471252e-05,0,1
s1_random_1_percent,gradient_ascent,10483,0,0.014138741,0.98586124,0.014239788,0,1
