scenario,display_name,model,forget_count,accuracy,precision,recall,f1_score,balanced_accuracy,roc_auc
s1_random_1_percent,Random 1%,baseline,342,0.847953216374269,0.6621621621621622,0.6447368421052632,0.6533333333333333,0.775375939849624,0.9093292441630392
s1_random_1_percent,Random 1%,gradient_ascent,342,0.8567251461988304,0.6753246753246753,0.6842105263157895,0.6797385620915033,0.7951127819548872,0.9085377918480412
s1_random_1_percent,Random 1%,fully_retrained,342,0.847953216374269,0.6666666666666666,0.631578947368421,0.6486486486486487,0.7706766917293233,0.9034922833399288
s2_random_5_percent,Random 5%,baseline,1709,0.8654183733177296,0.7456647398843931,0.645,0.6916890080428955,0.7888865546218488,0.9186487776928954
s2_random_5_percent,Random 5%,gradient_ascent,1709,0.8624926857811586,0.7223719676549866,0.67,0.695201037613489,0.7956569900687548,0.9178580977845683
s2_random_5_percent,Random 5%,fully_retrained,1709,0.863662960795787,0.7406340057636888,0.6425,0.6880856760374833,0.7868726126814363,0.9136506875477464
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),baseline,1698,0.8533568904593639,0.7237569060773481,0.6374695863746959,0.6778783958602846,0.7798847543373091,0.9185132250825682
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),gradient_ascent,1698,0.8551236749116607,0.7188328912466844,0.6593673965936739,0.6878172588832487,0.7885026571157958,0.9174847860979248
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),fully_retrained,1698,0.8515901060070671,0.729106628242075,0.6155717761557178,0.6675461741424802,0.7712668515588224,0.9131971029781247
s4_random_10_percent,Random 10%,baseline,3419,0.8645802866335186,0.75,0.6329588014981273,0.6865267433987813,0.7842028537666343,0.9191029833792558
s4_random_10_percent,Random 10%,gradient_ascent,3419,0.8622404211757824,0.7363896848137536,0.6416978776529338,0.685790527018012,0.7857076095674906,0.9181382801673615
s4_random_10_percent,Random 10%,fully_retrained,3419,0.8596080725358292,0.7406296851574213,0.616729088639201,0.6730245231607629,0.7753240553967586,0.9124077618790112
s5_retention_expiry,Simulated Retention Expiry,baseline,5585,0.8243509400179051,0.7258852258852259,0.6908773968622893,0.7079487942840131,0.7873382843524697,0.8901571953087124
s5_retention_expiry,Simulated Retention Expiry,gradient_ascent,5585,0.8155774395702775,0.6829010058231869,0.7495642068564788,0.7146814404432132,0.7972717514613656,0.888068681480626
s5_retention_expiry,Simulated Retention Expiry,fully_retrained,5585,0.8051924798567591,0.7205574912891987,0.600813480534573,0.6552598225602028,0.7485175063128351,0.8739234495809287
