candidate_index,scenario,display_name,method,learning_rate,retain_weight,selected_epoch,actual_epochs_completed,optimizer_steps,runtime_seconds,forget_loss_change,selection_valid,validation_loss,validation_accuracy,validation_f1,validation_balanced_accuracy,validation_auroc,validation_safety_score,early_stopping_reason
0,s1_random_1_percent,Random 1%,NegGrad,1e-05,0.0,3,3,6,0.033093416946940124,0.00017264128079885754,True,0.30105240512440967,0.8610428610428611,0.6886850152905198,0.7860838700649954,0.9165711053487146,-0.0,no_validation_acceptable_forget_loss_improvement
1,s1_random_1_percent,Random 1%,NegGrad,5e-05,0.0,3,3,6,0.025124541949480772,0.000898366521673577,True,0.30111397347618185,0.8607698607698607,0.6888346552776083,0.7864909546260908,0.9165611764569804,-0.0,no_validation_acceptable_forget_loss_improvement
2,s1_random_1_percent,Random 1%,NegGrad,0.0001,0.0,3,3,6,0.0251715830527246,0.0017831064107124983,True,0.3012173304442594,0.8606333606333606,0.6901365705614567,0.7879652926888862,0.9165255552783882,-0.0,no_validation_acceptable_forget_loss_improvement
3,s1_random_1_percent,Random 1%,NegGrad+,1e-05,0.1,3,3,6,0.041440875036641955,0.00017309415410138307,True,0.30105392102364664,0.8611793611793612,0.6888956867543591,0.7861735883495817,0.9165707982695886,-0.0,no_validation_acceptable_forget_loss_improvement
4,s1_random_1_percent,Random 1%,NegGrad+,1e-05,0.5,3,3,6,0.04384866601321846,0.00016229604071343884,True,0.30105253171308943,0.8610428610428611,0.6884944920440637,0.7858883630215726,0.9165707982695886,-0.0,no_validation_acceptable_forget_loss_improvement
5,s1_random_1_percent,Random 1%,NegGrad+,5e-05,0.1,3,3,6,0.040046875132247806,0.00087562952822412,True,0.3011110133969195,0.8609063609063609,0.6890448581019225,0.7865806729106771,0.9165599481404771,-0.0,no_validation_acceptable_forget_loss_improvement
6,s1_random_1_percent,Random 1%,NegGrad+,5e-05,0.5,3,3,6,0.04229758307337761,0.0008039795167265051,True,0.3011010315146174,0.8610428610428611,0.6892551892551892,0.7866703911952635,0.9165668062409533,-0.0,no_validation_acceptable_forget_loss_improvement
0,s2_random_5_percent,Random 5%,NegGrad,1e-05,0.0,3,3,21,0.09425295807886869,0.00023080461760444093,True,0.30107088242597735,0.8613158613158614,0.6896762370189371,0.7868498277644362,0.9165718218666746,-0.0,no_validation_acceptable_forget_loss_improvement
1,s2_random_5_percent,Random 5%,NegGrad,5e-05,0.0,3,3,21,0.09490466606803238,0.0011603207948125416,True,0.30124645464380617,0.8604968604968605,0.690677966101695,0.7886576025779907,0.9165595387016428,-0.0,no_validation_acceptable_forget_loss_improvement
2,s2_random_5_percent,Random 5%,NegGrad,0.0001,0.0,3,3,21,0.08394387492444366,0.002608493606970297,True,0.30167481116899664,0.8611793611793612,0.6945028537098228,0.7920387996522635,0.9165287284293548,-0.0,no_validation_acceptable_forget_loss_improvement
3,s2_random_5_percent,Random 5%,NegGrad+,1e-05,0.1,3,3,21,0.13566416699904948,0.0002267209844605822,True,0.30106906570471803,0.8613158613158614,0.6896762370189371,0.7868498277644362,0.9165729478234692,-0.0,no_validation_acceptable_forget_loss_improvement
4,s2_random_5_percent,Random 5%,NegGrad+,1e-05,0.5,3,3,21,0.12814083299599588,0.00017114120523020748,True,0.30105340608540304,0.8611793611793612,0.6890859064506267,0.7863690953930045,0.9165798059239453,-0.0,no_validation_acceptable_forget_loss_improvement
5,s2_random_5_percent,Random 5%,NegGrad+,5e-05,0.1,3,3,21,0.13279891619458795,0.0011678102282908775,True,0.3012373540087733,0.8604968604968605,0.690677966101695,0.7886576025779907,0.9165629165720266,-0.0,no_validation_acceptable_forget_loss_improvement
6,s2_random_5_percent,Random 5%,NegGrad+,5e-05,0.5,3,3,21,0.1370511669665575,0.000900611168045018,True,0.3011404349525347,0.8610428610428611,0.6907654921020656,0.7882344475426453,0.9165711565285687,-0.0,no_validation_acceptable_forget_loss_improvement
0,s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad,1e-05,0.0,3,3,21,0.22568987496197224,0.00018243939211010085,True,0.3010634941918714,0.8610428610428611,0.6888753056234719,0.786279377108418,0.9165729478234692,-0.0,no_validation_acceptable_forget_loss_improvement
1,s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad,5e-05,0.0,3,3,21,0.08550062426365912,0.0010861262977474584,True,0.3012718992369311,0.8609063609063609,0.6914925825007568,0.7891222644751725,0.9165253505589711,-0.0,no_validation_acceptable_forget_loss_improvement
2,s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad,0.0001,0.0,3,3,21,0.08355404192116112,0.002241817639769883,True,0.30165060750129213,0.8614523614523615,0.6945531146554318,0.7918272221345909,0.9164812335245651,-0.0,no_validation_acceptable_forget_loss_improvement
3,s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad+,1e-05,0.1,3,3,21,0.12340895785018802,0.0001821826849444652,True,0.30105973637367645,0.8610428610428611,0.6888753056234719,0.786279377108418,0.916572231305509,-0.0,no_validation_acceptable_forget_loss_improvement
4,s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad+,1e-05,0.5,3,3,21,0.12463358300738037,0.00013960503015419956,True,0.30104135676156685,0.8610428610428611,0.6886850152905198,0.7860838700649954,0.9165818531181174,-0.0,no_validation_acceptable_forget_loss_improvement
5,s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad+,5e-05,0.1,3,3,21,0.12434558302629739,0.0010002435166366896,True,0.3012111136049577,0.8603603603603603,0.6891522333637192,0.7871993349894452,0.9165286260696461,-0.0,no_validation_acceptable_forget_loss_improvement
