scenario,display_name,model,attack_type,member_set,non_member_set,attack_auc,attack_auc_ci_low,attack_auc_ci_high,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.05,permutation_p_value,mean_member_score,mean_non_member_score,attack_auc_bootstrap_mean,threshold_balanced_attack_accuracy,attack_threshold,member_count,non_member_count
s1_random_1_percent,Random 1%,baseline,loss,train,test,0.5049098771960647,0.4974179166806713,0.5127977127397375,0.0,0.008043522770481733,0.0488753692708181,0.1,-0.2989281713962555,-0.31255313754081726,0.5049064113203356,0.5023823785317085,-0.006878972053527832,34189,7327
s1_random_1_percent,Random 1%,fully_retrained,loss,retain,forget,0.4864505513890595,0.44757129463750206,0.5142431445533802,0.0,0.009838390403876266,0.04053535025260732,0.865,-0.2994500696659088,-0.3142617344856262,0.485608251503665,0.48598185297892804,-0.006503582000732422,33847,342
s1_random_1_percent,Random 1%,gradient_ascent,loss,retain,forget,0.48533221478075483,0.4501330292000931,0.5129836561366423,0.0,0.011995154666587881,0.04387390315242119,0.835,-0.2991684675216675,-0.3064410090446472,0.48432082331949095,0.48745861364098536,-0.006980419158935547,33847,342
s1_random_1_percent,Random 1%,overfit_control,loss,retain,forget,0.4909159501209174,0.45715146119469363,0.5219831708235746,0.0,0.011788341655094986,0.03891039087659172,0.775,-0.28629037737846375,-0.3106216490268707,0.4924269779820241,0.4889353743030428,-0.005344867706298828,33847,342
s2_random_5_percent,Random 5%,baseline,loss,train,test,0.5049098771960647,0.4974179166806713,0.5127977127397375,0.0,0.008043522770481733,0.0488753692708181,0.1,-0.2989281713962555,-0.31255313754081726,0.5049064113203356,0.5023823785317085,-0.006878972053527832,34189,7327
s2_random_5_percent,Random 5%,fully_retrained,loss,retain,forget,0.5042209257999521,0.4912547794239486,0.5172525240834124,0.0,0.00960591133004926,0.0541564039408867,0.25,-0.29812559485435486,-0.30279541015625,0.5039794324922585,0.5022442761733736,-0.006796360015869141,32480,1709
s2_random_5_percent,Random 5%,gradient_ascent,loss,retain,forget,0.5022873778201178,0.48875563112469805,0.5172263324546263,0.0,0.008620689655172414,0.05224753694581281,0.345,-0.30027663707733154,-0.2971513569355011,0.5024470364549465,0.5016283504887196,-0.0076770782470703125,32480,1709
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),baseline,loss,train,test,0.5049098771960647,0.4974179166806713,0.5127977127397375,0.0,0.008043522770481733,0.0488753692708181,0.1,-0.2989281713962555,-0.31255313754081726,0.5049064113203356,0.5023823785317085,-0.006878972053527832,34189,7327
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),fully_retrained,loss,retain,forget,0.505528041669526,0.4893601851626213,0.5192457394422133,0.0,0.009356437167215537,0.04650518605152196,0.195,-0.30013328790664673,-0.3096705973148346,0.5045357697442469,0.5063635271798924,-0.006087779998779297,32491,1698
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),gradient_ascent,loss,retain,forget,0.5046534586238052,0.4910349341779779,0.5181260293865807,0.0,0.01027976978240128,0.04604351974392909,0.22,-0.2998317778110504,-0.30327096581459045,0.5049949174624367,0.5060536742275898,-0.007832050323486328,32491,1698
s4_random_10_percent,Random 10%,baseline,loss,train,test,0.5049098771960647,0.4974179166806713,0.5127977127397375,0.0,0.008043522770481733,0.0488753692708181,0.1,-0.2989281713962555,-0.31255313754081726,0.5049064113203356,0.5023823785317085,-0.006878972053527832,34189,7327
s4_random_10_percent,Random 10%,fully_retrained,loss,retain,forget,0.4995160197040701,0.4897991062100649,0.5083370918760335,0.0,0.013454663633409164,0.051998700032499186,0.5,-0.29905611276626587,-0.30809640884399414,0.49930971606913216,0.49704672307146697,-0.006486415863037109,30770,3419
s4_random_10_percent,Random 10%,gradient_ascent,loss,retain,forget,0.4973605080025091,0.4870656104957146,0.5082955480447494,0.0,0.013292167695807605,0.049658758531036726,0.725,-0.30008259415626526,-0.2994581460952759,0.49746483229548305,0.498509143735285,-0.00806570053100586,30770,3419
s5_retention_expiry,Simulated Retention Expiry,baseline,loss,train,test,0.5049098771960647,0.4974179166806713,0.5127977127397375,0.0,0.008043522770481733,0.0488753692708181,0.1,-0.2989281713962555,-0.31255313754081726,0.5049064113203356,0.5023823785317085,-0.006878972053527832,34189,7327
s5_retention_expiry,Simulated Retention Expiry,fully_retrained,loss,retain,forget,0.5930767863757966,0.5847435816345389,0.5994514113894877,0.0,0.019787442315760035,0.11138302335337714,0.0,-0.28167837858200073,-0.40561553835868835,0.5929889217555193,0.55771587310788,-0.006457805633544922,28604,5585
s5_retention_expiry,Simulated Retention Expiry,gradient_ascent,loss,retain,forget,0.6020966103118721,0.5945359947801816,0.6090058593871522,0.0,0.025590826457838063,0.13428191861278144,0.0,-0.28957399725914,-0.3892558813095093,0.6020702735426096,0.5682024206817835,-0.009040355682373047,28604,5585
