scenario,display_name,model,retain_count,accuracy,precision,recall,f1_score,balanced_accuracy,roc_auc,loss,probabilities,predictions
s1_random_1_percent,Random 1%,baseline,33847,0.8599875912193105,0.7361773786135279,0.647254780999383,0.6888582496224804,0.7871111912921707,0.9187655217332185,0.29887027864910937,"[2.9861281e-04 4.7161740e-01 1.7284638e-03 ... 2.8950499e-02 3.3972581e-04
 9.8453170e-01]",[0 0 0 ... 0 0 1]
s1_random_1_percent,Random 1%,fully_retrained,33847,0.8600466806511655,0.7423021582733813,0.6365206662553979,0.6853537030886748,0.7834728263294704,0.9181892941254343,0.2994500588568767,"[4.0331579e-04 4.0436119e-01 1.4973639e-03 ... 2.6708620e-02 3.5174476e-04
 9.8448652e-01]",[0 0 0 ... 0 0 1]
s1_random_1_percent,Random 1%,gradient_ascent,33847,0.8596625993441073,0.7312836067834,0.6544108574953732,0.6907149368407345,0.789349007335209,0.9187209111665702,0.29916845741923753,"[3.1150284e-04 4.7811630e-01 1.7742070e-03 ... 2.9228391e-02 3.5609218e-04
 9.8502690e-01]",[0 0 0 ... 0 0 1]
s2_random_5_percent,Random 5%,baseline,32480,0.8595751231527093,0.7348993288590604,0.6473460994730754,0.6883498462589682,0.7868901840334728,0.9186793364294774,0.29915891401286193,"[2.9861281e-04 4.7161740e-01 1.7284638e-03 ... 2.8950499e-02 3.3972581e-04
 9.8453170e-01]",[0 0 0 ... 0 0 1]
s2_random_5_percent,Random 5%,fully_retrained,32480,0.8602524630541872,0.7371963710857478,0.6474746176583986,0.6894286691755046,0.7873795615519816,0.919522811493981,0.2981255781474372,"[2.8284432e-04 5.1977348e-01 1.7414809e-03 ... 2.4607489e-02 3.2327152e-04
 9.8513317e-01]",[0 1 0 ... 0 0 1]
s2_random_5_percent,Random 5%,gradient_ascent,32480,0.858743842364532,0.7225707514289698,0.666109754530266,0.6931924568677277,0.7927698454824698,0.9185949975085976,0.3002766438305672,"[3.5765974e-04 4.9200588e-01 2.0538568e-03 ... 3.2039236e-02 4.0415119e-04
 9.8491341e-01]",[0 0 0 ... 0 0 1]
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),baseline,32491,0.8602074420608784,0.7360339280491371,0.6477477477477478,0.6890744797371303,0.787366451034992,0.9186588401203506,0.29881837507910225,"[2.9861281e-04 4.7161740e-01 1.7284638e-03 ... 2.8950499e-02 3.3972581e-04
 9.8453170e-01]",[0 0 0 ... 0 0 1]
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),fully_retrained,32491,0.859591886984088,0.7480668110114445,0.6225225225225225,0.6795448159595392,0.7783135649706581,0.917648056558295,0.30013331254210807,"[3.6437306e-04 4.4236928e-01 1.3066839e-03 ... 2.4975307e-02 3.0606415e-04
 9.8154664e-01]",[0 0 0 ... 0 0 1]
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),gradient_ascent,32491,0.8591609984303346,0.7256287086747669,0.661003861003861,0.6918103448275862,0.7912235841567179,0.918598168169383,0.2998317399754653,"[3.5690752e-04 4.9469998e-01 2.0939310e-03 ... 3.1527985e-02 4.1418141e-04
 9.8554415e-01]",[0 0 0 ... 0 0 1]
s4_random_10_percent,Random 10%,baseline,30770,0.8593435164120897,0.7339055793991416,0.6487804878048781,0.6887226697353279,0.7872803678870479,0.9186400535980562,0.2991088787417618,"[1.7284638e-03 1.2911457e-03 7.7009898e-01 ... 2.8950499e-02 3.3972581e-04
 9.8453170e-01]",[0 0 1 ... 0 0 1]
s4_random_10_percent,Random 10%,fully_retrained,30770,0.8589210269743256,0.7351803126451014,0.6436314363143631,0.6863665920092479,0.7852402585590628,0.9185870377515233,0.2990561440940565,"[1.3813284e-03 1.2630430e-03 8.2914388e-01 ... 2.6742274e-02 3.6533966e-04
 9.8855466e-01]",[0 0 1 ... 0 0 1]
s4_random_10_percent,Random 10%,gradient_ascent,30770,0.8586285342866429,0.7253123140987507,0.660840108401084,0.6915768576290414,0.7909373692924616,0.9185813720685303,0.3000825814343444,"[2.1006095e-03 1.5715072e-03 7.8782773e-01 ... 3.2907128e-02 4.2233689e-04
 9.8538798e-01]",[0 0 1 ... 0 0 1]
s5_retention_expiry,Simulated Retention Expiry,baseline,28604,0.8668018458956789,0.7382236605537577,0.6356037151702786,0.683081018133422,0.7849261350417867,0.923472991027488,0.28327122243980046,"[2.9861281e-04 1.7284638e-03 1.2911457e-03 ... 4.6759379e-01 2.8950499e-02
 3.3972581e-04]",[0 0 0 ... 0 0 0]
s5_retention_expiry,Simulated Retention Expiry,fully_retrained,28604,0.8683051321493498,0.7513533694231846,0.6230650154798761,0.6812219683506813,0.7814566406879149,0.9244032481175843,0.28167836256809725,"[3.8157174e-04 1.5131019e-03 1.4231536e-03 ... 4.1134760e-01 2.2499759e-02
 4.3660065e-04]",[0 0 0 ... 0 0 0]
s5_retention_expiry,Simulated Retention Expiry,gradient_ascent,28604,0.8636204726611663,0.6968764425296199,0.7010835913312693,0.6989736862412224,0.806060220521126,0.9228312829115142,0.28957400039107195,"[4.6486215e-04 2.5134913e-03 1.8437523e-03 ... 5.3517485e-01 3.4721963e-02
 5.4812618e-04]",[0 0 0 ... 1 0 0]
